Sinx,SKod,RKod,BedKod,Mevcut,Sayim,Asorti,Seri,Fiyat,ParaCinsi,Lot,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
3,006- 8797,16547,0,1.0000000000,0E-10,A593,,,,,15,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,006- 8797,19398,0,1.0000000000,0E-10,A593,,,,,157,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,009- 400,16813,0,2.0000000000,0E-10,A060,,,,,37,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,009- 401,18331,0,1.0000000000,0E-10,A01,,,,,106,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,009- 401,18332,0,1.0000000000,0E-10,A01,,,,,107,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,009- 413,17543,0,1.0000000000,0E-10,A698,,,,,66,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,009- 413,17543,0,1.0000000000,0E-10,A700,,,,,67,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,009- 416,16813,0,1.0000000000,0E-10,A423,,,,,38,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,009- 416,16813,0,1.0000000000,0E-10,A679,,,,,39,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,009- 416,18414,0,1.0000000000,0E-10,A01,,,,,108,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,009- 416,19505,0,1.0000000000,0E-10,A121,,,,,159,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,011- 387,17756,0,1.0000000000,0E-10,A01,,,,,82,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,020- A1003,17683,0,1.0000000000,0E-10,A01,,,,,71,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,020- B1002,17683,0,1.0000000000,0E-10,A060,,,,,72,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,020- B1002,17683,0,1.0000000000,0E-10,A712,,,,,73,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,020- B1007,17683,0,2.0000000000,0E-10,A01,,,,,74,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,020- B1007,17683,0,1.0000000000,0E-10,A686,,,,,75,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,020- B1007,17683,0,1.0000000000,0E-10,A688,,,,,76,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,020- B1007,17683,0,1.0000000000,0E-10,A694,,,,,77,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,020- B1010,17683,0,6.0000000000,0E-10,A01,,,,,78,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,020- B1010,17683,0,2.0000000000,0E-10,A058,,,,,79,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,020- B1010,17683,0,1.0000000000,0E-10,A143,,,,,80,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,020- B1010,17683,0,1.0000000000,0E-10,A492,,,,,81,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,023- 1601,16603,0,1.0000000000,0E-10,A172,,,,,18,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,023- 8004,16603,0,1.0000000000,0E-10,A01,,,,,19,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,029- 492,19017,0,1.0000000000,0E-10,A01,,,,,147,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,029- 492,19018,0,1.0000000000,0E-10,A01,,,,,148,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,031- 0281,18098,0,1.0000000000,0E-10,A01,,,,,92,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,031- 0281,18700,0,1.0000000000,0E-10,A01,,,,,129,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,031- 104-03,18700,0,1.0000000000,0E-10,A01,,,,,130,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,031- 104-03,18700,0,1.0000000000,0E-10,A429,,,,,131,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,031- 104-03,18813,0,1.0000000000,0E-10,A093,,,,,141,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,031- 104-03,18814,0,1.0000000000,0E-10,A02,,,,,142,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
3,031- 104-03,18816,0,1.0000000000,0E-10,A02,,,,,143,3,yulya,2024-12-19 13:01:48.520000,KGShop,,,
