Kod,Tanim,kgid,insUN,insDT,insApp,updUN,updDT,updApp
1 cm,1 cm,1,,,,,,
"1,5cm","1,5 cm",2,,,,,,
1.5 cm,1.5 cm,3,,,,,,
10cm,10 cm,4,,,,,,
11cm,11 cm,5,,,,,,
13 cm,13 cm,6,,,,,,
1cm,1 cm,7,,,,,,
2 cm,2 cm,8,,,,,,
"2,5cm","2,5 cm",9,,,,,,
2.5 cm,"2,5 cm",10,,,,,,
2cm,2 cm,11,,,,,,
3 cm,3 cm,12,,,,,,
"3,5cm","3,5 cm",13,,,,,,
3.5 cm,"3,5 cm",14,,,,,,
3cm,3 cm,15,,,,,,
4 cm,4 cm,16,,,,,,
"4,5cm","4,5 cm",17,,,,,,
4.5 cm,4.5 cm,18,,,,,,
47,47,19,,,,,,
4cm,4 cm,20,,,,,,
5 cm,5 cm,21,,,,,,
"5,5cm","5,5 cm",22,,,,,,
5cm,5 cm,23,,,,,,
"6,5cm","6,5cm",24,,,,,,
6cm,6cm,25,,,,,,
7 cm,7 cm,26,,,,,,
"7,5cm","7,5 cm",27,,,,,,
"8,5cm","8,5 cm",28,,,,,,
8cm,8 cm,29,,,,,,
9 cm,9 cm,30,,,,,,
Cabani Erkek Klasik Ayakkabı 7494N,Cabani Erkek Klasik Ayakkabı 7494N,31,,,,,,
Cabani Erkek Klasik Ayakkabı 7590 T,Cabani Erkek Klasik Ayakkabı 7590 T,32,,,,,,
Cabani Erkek Sardinia Lazer Baskılı Bağcıklı Günlük Ayakkabı 150M548A,Cabani Erkek Sardinia Lazer Baskılı Bağcıklı Günlük Ayakkabı 150B548A,33,,,,,,
Gerçek Deri Kahve Spor Erkek Ayakkabı 318B995,Gerçek Deri Kahve Spor Erkek Ayakkabı 318B995,34,,,,,,
