inx,Sehir,kgid,insUN,insDT,insApp,updUN,updDT,updApp
1,Malatya,1,,,,,,
2,İstanbul,2,,,,,,
3,İstanbul,3,,,,,,
4,Adana,4,,,,,,
5,Adıyaman,5,,,,,,
6,Afyon,6,,,,,,
7,Afyonkarahisar,7,,,,,,
8,Ağrı,8,,,,,,
9,Aksaray,9,,,,,,
10,Amasya,10,,,,,,
11,Ankara,11,,,,,,
12,Antalya,12,,,,,,
13,Ardahan,13,,,,,,
14,Artvin,14,,,,,,
15,Aydın,15,,,,,,
16,Balıkesir,16,,,,,,
17,Bartın,17,,,,,,
18,Batman,18,,,,,,
19,Bayburt,19,,,,,,
20,Bilecik,20,,,,,,
21,Bingöl,21,,,,,,
22,Bitlis,22,,,,,,
23,Bolu,23,,,,,,
24,Burdur,24,,,,,,
25,Bursa,25,,,,,,
26,Çanakkale,26,,,,,,
27,Çankırı,27,,,,,,
28,Çorum,28,,,,,,
29,Denizli,29,,,,,,
30,Diyarbakır,30,,,,,,
31,Düzce,31,,,,,,
32,Edirne,32,,,,,,
33,Elazığ,33,,,,,,
34,Erzincan,34,,,,,,
35,Erzurum,35,,,,,,
36,Eskişehir,36,,,,,,
37,Gaziantep,37,,,,,,
38,Giresun,38,,,,,,
39,Gümüşhane,39,,,,,,
40,Hakkari,40,,,,,,
41,Hatay,41,,,,,,
42,Iğdır,42,,,,,,
43,Isparta,43,,,,,,
44,İçel,44,,,,,,
45,İzmir,45,,,,,,
46,KahramanMaraş,46,,,,,,
47,Karabük,47,,,,,,
48,Karaman,48,,,,,,
49,Kars,49,,,,,,
50,Kastamonu,50,,,,,,
51,Kayseri,51,,,,,,
52,Kırıkkale,52,,,,,,
53,Kırklareli,53,,,,,,
54,Kırşehir,54,,,,,,
55,Kilis,55,,,,,,
56,Kocaeli,56,,,,,,
57,Konya,57,,,,,,
58,Kütahya,58,,,,,,
59,Magosa,59,,,,,,
60,Manisa,60,,,,,,
61,Mardin,61,,,,,,
62,Mersin,62,,,,,,
63,Muğla,63,,,,,,
64,Muş,64,,,,,,
65,Nevşehir,65,,,,,,
66,Niğde,66,,,,,,
67,Ordu,67,,,,,,
68,Osmaniye,68,,,,,,
69,Rize,69,,,,,,
70,Sakarya,70,,,,,,
71,Samsun,71,,,,,,
72,Siirt,72,,,,,,
73,Sinop,73,,,,,,
74,Sivas,74,,,,,,
75,Şanlıurfa,75,,,,,,
76,Şırnak,76,,,,,,
77,Tekirdağ,77,,,,,,
78,Tokat,78,,,,,,
79,Trabzon,79,,,,,,
80,Tunceli,80,,,,,,
81,Uşak,81,,,,,,
82,Van,82,,,,,,
83,Yalova,83,,,,,,
84,Yozgat,84,,,,,,
85,Zonguldak,85,,,,,,
86,,86,,,,,,
87,Baku,87,k,2024-06-03 15:44:49.233000,KGShop,,,
88,Almaty,88,Samet,2024-06-05 13:53:31.430000,KGShop,,,
