Kod,tanim,DBName
 ,,TANCA
%30 INECEKLER,%30 INECEKLER,TANCA
.,.,TANCA
1016,1016,TANCA
1022,1022,TANCA
1022b,1022b,TANCA
1023,1023,TANCA
1254k,1254k,TANCA
1255k,1255k,TANCA
1256k,1256k,TANCA
1257k,1257k,TANCA
1267k,1267k,TANCA
1552,1552,TANCA
1560,1560,TANCA
1610,1610,TANCA
24925N,24925N,TANCA
251N,251N,TANCA
260,260,TANCA
2679,2679,TANCA
270,270,TANCA
342 6843K,342 6843K,TANCA
342 6894 K,342 6894 K,TANCA
343,343,TANCA
38204,38204,TANCA
4102K,4102K,TANCA
4809,4809,TANCA
5006,5006,TANCA
5008,5008,TANCA
51926NT,51926NT,TANCA
520K,520K,TANCA
537 6843 K,537 6843 K,TANCA
537 6894 K,537 6894 K,TANCA
6004,6004,TANCA
6026,6026,TANCA
614B,614B,TANCA
6843 K,6843 K,TANCA
700,700,TANCA
713K,713K,TANCA
724,724,TANCA
807,807,TANCA
8123K,8123K,TANCA
8178k,8178k,TANCA
849,849,TANCA
AHSAP KALIP,AHSAP KALIP,TANCA
b4413p,b4413p,TANCA
KAMPANYA YOK,KAMPANYA YOK,TANCA
MERDANE KIS COK SATAN,MERDANE KIS COK SATAN,TANCA
RPT CALISMA HD,RPT CALISMA HD,TANCA
tamer bey,tamer bey,TANCA
TT391,TT391,TANCA
Valmenti,Valmenti,TANCA
YLK01,YLK01,TANCA
YLK521,YLK521,TANCA
