inx,FormName,CompName,Langid,Original,Translated,Hint,DBName
1,MessageBox,Message,0,Silmek istediğinizden emin misiniz?,Silmek istediğinizden emin misiniz?,,TANCA
2,MessageBox,Message,1,Silmek istediğinizden emin misiniz?,Are you sure you want to delete?,,TANCA
3,MessageBox,Message,2,Silmek istediğinizden emin misiniz?,,,TANCA
4,MessageBox,Message,3,Silmek istediğinizden emin misiniz?,?? ??? ????? ??? ???? ????,,TANCA
5,MessageBox,Message,4,Silmek istediğinizden emin misiniz?,??? ??? ????? ????? ?? ?? ?????? ??? ?????,,TANCA
6,MessageBox,Message,5,Silmek istediğinizden emin misiniz?,Silm?y? ?minsiniz?,,TANCA
7,f_alarmer,f_alarmer,0,KGCarmenta,KGCarmenta,,TANCA
8,f_alarmer,L_gor,0,Uyarilacak :,Uyarilacak :,,TANCA
9,f_alarmer,Label1,0,Label1,Label1,,TANCA
10,f_alarmer,ComboBox1,0,Hepsi,Hepsi,,TANCA
11,f_alarmer,ChatUsers,0,Kullanici seçiniz...,Kullanici seçiniz...,,TANCA
12,f_alarmer,btn_ekle,0,&Ekle,&Ekle,,TANCA
13,f_alarmer,btn_duzelt,0,&Düzelt,&Düzelt,,TANCA
14,f_alarmer,btn_sil,0,&Sil,&Sil,,TANCA
15,f_alarmer,Label2,0,Internet,Internet,,TANCA
16,f_alarmer,guncelle,0,guncelle,guncelle,,TANCA
17,f_alarmer,yetkilendir,0,yetkilendir,yetkilendir,,TANCA
18,f_alarmer,MainMenu1,0,&Program,&Program,,TANCA
19,f_alarmer,Program1,0,&Çalistir,&Çalistir,,TANCA
20,f_alarmer,Program1,0,&Durdur,&Durdur,,TANCA
21,f_alarmer,Program1,0,&Alt'a al,&Alt'a al,,TANCA
22,f_alarmer,Program1,0,Çikis,Çikis,,TANCA
23,f_alarmer,MainMenu1,0,&Düzenle,&Düzenle,,TANCA
24,f_alarmer,File1,0,&Ekle...,&Ekle...,,TANCA
25,f_alarmer,File1,0,&Düzelt...,&Düzelt...,,TANCA
26,f_alarmer,File1,0,&Sil,&Sil,,TANCA
27,f_alarmer,File1,0,Kullanici Ayarlari...,Kullanici Ayarlari...,,TANCA
28,f_alarmer,MainMenu1,0,&Yardim,&Yardim,,TANCA
29,f_alarmer,Yardm1,0,&Hakkinda...,&Hakkinda...,,TANCA
30,f_alarmer,PopupMenu1,0,Ayarlar...,Ayarlar...,,TANCA
31,f_alarmer,PopupMenu1,0,&Durdur,&Durdur,,TANCA
