FisNo,Fisinx,cbpg,tanim,ParaCinsi,EvrakNo,Tutar,Banka,Sube,Vade,MuhKod,KurFarkiMuhKod,MM,KurFarkiMM,StpjOran,KDVOran,StpjMuhKod,KDVMuhKod,_FKDVTop,_FOTVTop,_FFatTop,locked,Tanim2,KurFarkiDvz,BABSCODE,ExtraField1,ExtraField2,ExtraField3,TevKod,TevOran,TevMuhKod
2,2,G001,Depo Kirası - KADİR TAÇ Ödedi.,US,,4000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
3,3,G001,Magaza Kirasý (3.KAT),US,,21000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
4,4,G002,Yemek masrafı- KADİR TAÇ ödedi.,US,,300.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
5,5,G002,3250 TL karşılığı 100$ yemek masrafı - EMRAH GÜLMEZ ödedi.,US,,100.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
6,6,G004,Elektrikçi İbrahim - KADİR TAÇ ödedi.,US,,200.0,,,,,,,,,10.00,,,,,,,,,,,,,,,
7,7,G004,Elektrikçi İbrahim - KADİR TAÇ ödedi.,US,,400.0,,,,,,,,,10.00,,,,,,,,,,,,,,,
8,8,G004,Boyacı masrafı - KADİR TAÇ ödedi.,TL,,14000.0,,,,,,,,,10.00,,,,,,,,,,,,,,,
9,9,G004,Patent masrafı - KADİR TAÇ ödedi.,US,,255.0,,,,,,,,,10.00,,,,,,,,,,,,,,,
10,10,G004,Korgün ve Bilgisayar masrafı - KADİR TAÇ ödedi.,US,,2500.0,,,,,,,,,10.00,,,,,,,,,,,,,,,
11,11,G004,Camcı Masrafı - KADİR TAÇ ödedi.,TL,,2800.0,,,,,,,,,10.00,,,,,,,,,,,,,,,
12,12,G004,Temizlik Malzemeleri masrafı- KADİR TAÇ ödedi.,TL,,700.0,,,,,,,,,10.00,,,,,,,,,,,,,,,
13,13,G004,Temizlikçi masrafı- KADİR TAÇ ödedi.,TL,,4000.0,,,,,,,,,10.00,,,,,,,,,,,,,,,
14,14,G004,ÇAYCI masrafı- KADİR TAÇ ödedi.,TL,,2250.0,,,,,,,,,10.00,,,,,,,,,,,,,,,
15,15,G005,Havalimanı mastafı - KADİR TAÇ ödedi.,US,,110.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
1010,1010,320.011,1000$ ödeme yapıldı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
1012,1012,G004,16.400 TL Şirket açma masrafı- Muhasebeciye ödendi.,US,,500.0,,,,,,,,,10.00,,,,,,,,,,,,,,,
1014,1014,320.014,5000$ ödeme yapıldı.,US,,5000.0,,,,,,,,,,,,,,,,Borç verildi.,,,,,,,,
1016,1016,YS-001,1000$ ödeme yapıldı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
2012,2012,320.016,5000$ ödeme yapıldı.,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017,320.017,500$ nakit ödeme,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020,2020,320.019,1500$ nakit ödeme,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
2023,2023,TKNK- 001,Korgün Melanis  Program Paketi ,US,,5800.0,,,,,,,,,,,,,,,,,,,,,,,,
2024,2024,TKNK- 001,1500$ nakit ödeme ,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,TKNK- 001,1300$ nakit ödeme ,US,,1300.0,,,,,,,,,,,,,,,,,,,,,,,,
2026,2026,TKNK- 002,Bilgisayarlar ve Diğer Üürünler,US,,3360.0,,,,,,,,,,,,,,,,,,,,,,,,
2027,2027,TKNK- 002,1000$ nakit ödeme,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
2028,2028,TKNK- 002,1300$ nakit ödeme,US,,1300.0,,,,,,,,,,,,,,,,,,,,,,,,
2032,2032,320.017,450$ ödeme yapıldı.,US,,450.0,,,,,,,,,,,,,,,,,,,,,,,,
2034,2034,TKNK- 001,1500$ ödeme alındı.,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
2037,2037,TKNK- 002,1000$ ödeme yapıldı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
2038,2038,TKNK- 002,60$ iskonto yapıldı.,US,,60.0,,,,,,,,,,,,,,,,,,,,,,,,
