FisNo,DovKod,CDovKod,carpan,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
62,EU,TL,6.6506000000,1,62,,,,,,
63,US,TL,5.9402000000,2,63,,,,,,
65,EU,TL,6.6506000000,3,65,,,,,,
66,US,TL,5.9402000000,4,66,,,,,,
68,EU,TL,6.6506000000,5,68,,,,,,
69,US,TL,5.9402000000,6,69,,,,,,
74,US,TL,5.8713000000,7,74,,,,,,
106,US,TL,5.9716000000,8,106,,,,,,
110,EU,TL,6.5644000000,9,110,,,,,,
122,US,TL,5.9297000000,10,122,,,,,,
123,US,TL,5.9832990000,11,123,,,,,,
124,US,TL,6.0459000000,12,124,,,,,,
126,US,TL,5.9402000000,13,126,,,,,,
174,US,TL,6.2259000000,14,174,,,,,,
189,US,TL,6.2192000000,15,189,,,,,,
190,US,TL,6.2192000000,16,190,,,,,,
267,US,TL,6.0168000000,17,267,,,,,,
269,US,TL,6.0000000000,18,269,,,,,,
270,EU,TL,6.5568000000,19,270,,,,,,
271,US,TL,5.9608000000,20,271,,,,,,
274,US,TL,5.9510000000,21,274,,,,,,
275,EU,TL,6.5635000000,22,275,,,,,,
277,US,TL,5.8895000000,23,277,,,,,,
279,US,TL,5.9483000000,24,279,,,,,,
280,US,TL,5.8830000000,25,280,,,,,,
282,US,TL,5.9598000000,26,282,,,,,,
326,US,TL,5.9523000000,27,326,,,,,,
327,US,TL,5.9572000000,28,327,,,,,,
328,US,TL,5.9512000000,29,328,,,,,,
329,US,TL,6.1370000000,30,329,,,,,,
330,US,TL,5.8920000000,31,330,,,,,,
332,US,TL,5.8963000000,32,332,,,,,,
391,US,TL,6.0710000000,33,391,,,,,,
394,US,TL,6.0710000000,34,394,,,,,,
396,US,TL,6.3448000000,35,396,,,,,,
397,US,TL,6.3448000000,36,397,,,,,,
398,EU,TL,6.6506000000,37,398,,,,,,
400,US,TL,5.9402000000,38,400,,,,,,
435,US,TL,5.9612000000,39,435,,,,,,
437,US,TL,6.0409000000,40,437,,,,,,
439,US,TL,5.9314000000,41,439,,,,,,
440,US,TL,5.9322000000,42,440,,,,,,
441,US,TL,5.9653000000,43,441,,,,,,
442,US,TL,5.9730000000,44,442,,,,,,
443,US,TL,6.0261000000,45,443,,,,,,
444,US,TL,6.1047000000,46,444,,,,,,
