SipNo,AvTip,Coninx,Odinx,Fisinx,EvrakNo,Tutar,ParaCinsi,Vade,Tanim,PortfoyNo,kgid,insUN,insDT,insApp,updUN,updDT,updApp
15,k,446,0,572,,450.0000000000,US,,,,1,,,,,,
1045,k,3347,0,3511,,3368.0000000000,US,,,,2,,,,,,
1047,k,3356,0,3520,,1000.0000000000,US,,,,3,,,,,,
1066,k,3355,0,3519,,480.0000000000,US,,,,4,,,,,,
1072,k,3382,0,3546,,110.0000000000,US,,,,5,,,,,,
1084,k,3380,0,3544,,660.0000000000,US,,,,6,,,,,,
1085,k,3383,0,3547,,623.0000000000,US,,,,7,,,,,,
1091,k,3402,0,3568,,1394.0000000000,US,,,,8,,,,,,
1101,k,3405,0,3571,,1280.0000000000,US,,,,9,,,,,,
1138,k,3426,0,3592,,2500.0000000000,US,,,,10,,,,,,
1140,k,3407,0,3573,,218.0000000000,US,,,,11,,,,,,
1160,k,3409,0,3575,,700.0000000000,US,,,,12,,,,,,
1162,k,3411,0,3577,,50.0000000000,US,,,,13,,,,,,
1167,k,3420,0,3586,,500.0000000000,US,,,,14,,,,,,
1169,k,3424,0,3590,,400.0000000000,US,,,,15,,,,,,
1199,k,3436,0,3603,,450.0000000000,US,,,,16,,,,,,
1203,k,3441,0,3608,,400.0000000000,US,,,,17,,,,,,
1207,k,3483,0,3651,,2220.0000000000,US,,,,18,,,,,,
1208,k,3484,0,3652,,1980.0000000000,US,,,,19,,,,,,
1210,k,3474,0,3641,,320.0000000000,US,,,,20,,,,,,
1238,k,3540,0,3708,,5000.0000000000,US,,,,21,,,,,,
1238,k,3588,0,3756,,5000.0000000000,US,,,,22,,,,,,
1242,k,3526,0,3694,,290.0000000000,US,,,,23,,,,,,
1248,k,3530,0,3698,,5000.0000000000,US,,,,24,,,,,,
1258,k,3537,0,3705,,4000.0000000000,US,,,,25,,,,,,
1262,k,3538,0,3706,,1335.0000000000,US,,,,26,,,,,,
1263,k,3539,0,3707,,400.0000000000,US,,,,27,,,,,,
1295,k,3559,0,3727,,1045.0000000000,US,,,,28,,,,,,
1297,k,3560,0,3728,,1500.0000000000,US,,,,29,,,,,,
1303,k,3568,0,3736,,3000.0000000000,US,,,,30,,,,,,
1304,k,3567,0,3735,,3000.0000000000,US,,,,31,,,,,,
1305,k,3563,0,3731,,2000.0000000000,US,,,,32,,,,,,
1352,k,3591,0,3759,,1000.0000000000,US,,,,33,,,,,,
1363,k,3592,0,3760,,6790.0000000000,US,,,,34,,,,,,
1370,k,3589,0,3757,,24.0000000000,US,,,,35,,,,,,
1375,k,3736,0,3940,1413,500.0000000000,US,,,,36,,,,,,
1377,k,3735,0,3939,1412,500.0000000000,US,,,,37,,,,,,
1394,k,3590,0,3758,,580.0000000000,US,,,,38,,,,,,
1416,k,3743,0,3947,1416,2000.0000000000,US,,,,39,,,,,,
1417,k,3593,0,3761,,500.0000000000,US,,,,40,,,,,,
1426,k,3634,0,3802,,500.0000000000,US,,,,41,,,,,,
1440,k,3814,0,4333,1428,500.0000000000,US,,,,42,,,,,,
1442,k,3719,0,3890,,450.0000000000,US,,,,43,,,,,,
1449,k,3722,0,3902,,200.0000000000,US,,,,44,,,,,,
1455,k,3740,0,3944,1415,3216.0000000000,US,,,,45,,,,,,
1460,k,3755,0,4241,1420,500.0000000000,US,,,,46,,,,,,
1461,k,3737,0,3941,1414,445.0000000000,US,,,,47,,,,,,
1469,k,3752,0,4238,1417,1000.0000000000,US,,,,48,,,,,,
1482,k,3753,0,4239,1418,500.0000000000,US,,,,49,,,,,,
1483,k,3754,0,4240,1419,500.0000000000,US,,,,50,,,,,,
1496,k,3759,0,4253,1422,200.0000000000,US,,,,51,,,,,,
1510,k,3824,0,4349,1430,230.0000000000,US,,,,52,,,,,,
1537,k,3844,0,4392,1433,2294.0000000000,US,,,,53,,,,,,
1547,k,4078,0,4635,2613,3000.0000000000,US,,,,54,,,,,,
1560,k,4107,0,4692,2617,2400.0000000000,US,,,,55,,,,,,
1561,k,4105,0,4690,2616,3300.0000000000,US,,,,56,,,,,,
1590,k,4167,0,4899,2618,2600.0000000000,US,,,,57,,,,,,
1595,k,4169,0,4901,2619,400.0000000000,US,,,,58,,,,,,
1626,k,4247,0,5003,2623,1032.0000000000,US,,,,59,,,,,,
1628,k,4248,0,5004,2624,5000.0000000000,US,,,,60,,,,,,
1649,k,4318,0,5085,2627,3000.0000000000,US,,,,61,,,,,,
