FisNo,Bolum,FisTip,FisTar,BelgeNo,Kasa,Location,CariKod,OzKod1,OzKod2,MuhKod,MuhFisNo,iptal,MM,insUN,insDT,updUN,updDT,locked,CreaterApp,OzKod3,OzKod4,OzKod5,LastUpdate,LastCalculate,MakbuzSerino,MakbuzNo,NeedCalculate,NoBaBs
2,K,GO,2024-07-15 11:03:04,,K001,L001,,,,,0,,,ONUR,2024-07-29 11:04:09.467000,ONUR,2024-07-29 11:04:09.470000,,,,,,2024-07-29 11:04:09.533000,2024-07-29 11:04:09.687000,,,0,
3,K,GO,2024-07-15 11:05:02,,K001,L001,,,,,0,,,ONUR,2024-07-29 11:05:52.360000,ONUR,2025-02-23 22:21:21.373000,,,,,,2025-02-23 22:21:21.377000,2025-02-23 22:21:21.500000,,,0,
4,K,GO,2024-07-24 11:07:56,,K001,L001,,,,,0,,,ONUR,2024-07-29 11:08:55.193000,ONUR,2024-07-29 11:08:55.193000,,,,,,2024-07-29 11:08:55.203000,2024-07-29 11:08:55.300000,,,0,
5,K,GO,2024-07-25 11:10:11,,K001,L001,,,,,0,,,ONUR,2024-07-29 11:11:10.553000,ONUR,2024-07-29 11:31:23.277000,,,,,,2024-07-29 11:31:23.280000,2024-07-29 11:31:23.357000,,,0,
6,K,GO,2024-07-16 11:13:00,,K001,L001,,,,,0,,,ONUR,2024-07-29 11:14:54.680000,ONUR,2024-07-29 11:16:57.877000,,,,,,2024-07-29 11:16:57.880000,2024-07-29 11:16:57.963000,,,0,
7,K,GO,2024-07-20 11:15:21,,K001,L001,,,,,0,,,ONUR,2024-07-29 11:16:35.823000,ONUR,2024-07-29 11:16:35.823000,,,,,,2024-07-29 11:16:35.833000,2024-07-29 11:16:35.930000,,,0,
8,K,GO,2024-07-19 11:17:40,,K001,L001,,,,,0,,,ONUR,2024-07-29 11:18:38.293000,ONUR,2024-07-29 11:18:38.293000,,,,,,2024-07-29 11:18:38.300000,2024-07-29 11:18:38.410000,,,0,
9,K,GO,2024-07-16 11:19:21,,K001,L001,,,,,0,,,ONUR,2024-07-29 11:20:04.317000,ONUR,2024-07-29 11:20:04.317000,,,,,,2024-07-29 11:20:04.327000,2024-07-29 11:20:04.423000,,,0,
10,K,GO,2024-07-16 11:21:09,,K001,L001,,,,,0,,,ONUR,2024-07-29 11:23:16.020000,ONUR,2024-07-29 11:23:16.020000,,,,,,2024-07-29 11:23:16.030000,2024-07-29 11:23:16.137000,,,0,
11,K,GO,2024-07-16 11:23:55,,K001,L001,,,,,0,,,ONUR,2024-07-29 11:24:37.803000,ONUR,2024-07-29 11:24:37.803000,,,,,,2024-07-29 11:24:37.810000,2024-07-29 11:24:37.910000,,,0,
