BedKOD,Bedinx,Beden,OzKod1,OzKod2,OzKod3,sinirla,DBName
CCK,43,22,,,,,LINDON
CCK,44,23,,,,,LINDON
CCK,45,24,,,,,LINDON
CCK,46,25,,,,,LINDON
CCK,47,26,,,,,LINDON
CCK,48,27,,,,,LINDON
CCK,49,28,,,,,LINDON
CCK,50,29,,,,,LINDON
CCK,51,30,,,,,LINDON
CCK,52,31,,,,,LINDON
CCK,53,32,,,,,LINDON
CCK,54,33,,,,,LINDON
CCK,55,34,,,,,LINDON
CCK,56,35,,,,,LINDON
CCK,57,36,,,,,LINDON
CCK,58,37,,,,,LINDON
CCK,59,38,,,,,LINDON
CCK,60,39,,,,,LINDON
CCK,61,40,,,,,LINDON
CNT,68,Standart,,,,,LINDON
MR,1,39,,,,,LINDON
MR,2,40,,,,,LINDON
MR,3,41,,,,,LINDON
MR,4,42,,,,,LINDON
MR,5,43,,,,,LINDON
MR,6,44,,,,,LINDON
MR,7,45,,,,,LINDON
MR,8,46,,,,,LINDON
MR,9,47,,,,,LINDON
MR,62,38,,,,,LINDON
MR,66,37,,,,,LINDON
MR,67,36,,,,,LINDON
UNI,26,31,,,,,LINDON
UNI,27,32,,,,,LINDON
UNI,28,33,,,,,LINDON
UNI,29,34,,,,,LINDON
UNI,30,35,,,,,LINDON
UNI,31,36,,,,,LINDON
UNI,32,37,,,,,LINDON
UNI,33,38,,,,,LINDON
UNI,34,39,,,,,LINDON
UNI,35,40,,,,,LINDON
UNI,36,41,,,,,LINDON
UNI,37,42,,,,,LINDON
UNI,38,43,,,,,LINDON
UNI,39,44,,,,,LINDON
UNI,40,45,,,,,LINDON
UNI,41,46,,,,,LINDON
UNI,42,47,,,,,LINDON
UNI,64,48,,,,,LINDON
ZN,10,26,,,,,LINDON
ZN,11,27,,,,,LINDON
ZN,12,28,,,,,LINDON
ZN,13,29,,,,,LINDON
ZN,14,30,,,,,LINDON
ZN,15,31,,,,,LINDON
ZN,16,32,,,,,LINDON
ZN,17,33,,,,,LINDON
ZN,18,34,,,,,LINDON
ZN,19,35,,,,,LINDON
ZN,20,36,,,,,LINDON
ZN,21,37,,,,,LINDON
ZN,22,38,,,,,LINDON
ZN,23,39,,,,,LINDON
ZN,24,40,,,,,LINDON
ZN,25,41,,,,,LINDON
ZN,63,42,,,,,LINDON
ZN,65,,,,,,LINDON
