UserName,CatalogName,AccessinvUretici,ReadLoc,WriteLoc,DBName
365,TANCA, ,,,TANCA
ACITY,TANCA, ,,,TANCA
ACITYFIRSAT,TANCA, ,,,TANCA
ADANA,TANCA, ,,,TANCA
ADAOPT,TANCA, ,,,TANCA
ADIYAMAN,TANCA, ,,,TANCA
AFYON,TANCA, ,,,TANCA
AFYONPARK,TANCA, ,,,TANCA
AKMERKEZ,TANCA, ,,,TANCA
AKSARAY,TANCA, ,,,TANCA
ALANYA,TANCA, ,,,TANCA
ANATOLIUM,TANCA, ,,,TANCA
ANKARA,TANCA, ,,,TANCA
ANKARACEPA,TANCA, ,,,TANCA
ANKARAKENT,TANCA, ,,,TANCA
ANKARAONETOWER,TANCA, ,,,TANCA
ANTAKYA,TANCA, ,,,TANCA
ANTALYA,TANCA, ,,,TANCA
ANTARES,TANCA, ,,,TANCA
AREAL,TANCA, ,,,TANCA
ATASHRPALKIDS,TANCA, ,,,TANCA
ATASHRPALLADIUM,TANCA, ,,,TANCA
ATLASPARK,TANCA, ,,,TANCA
AYDIN,TANCA, ,,,TANCA
BAHARIYE,TANCA, ,,,TANCA
BALIKESIR10,TANCA, ,,,TANCA
BATMAN,TANCA, ,,,TANCA
BAYRAMPASAAXIS,TANCA, ,,,TANCA
BEYAZIT,TANCA, ,,,TANCA
BODRUM,TANCA, ,,,TANCA
BOLU,TANCA, ,,,TANCA
BOLUCADIR,TANCA, ,,,TANCA
BURSA,TANCA, ,,,TANCA
BURSAOZDILEK,TANCA, ,,,TANCA
BURSASURYAPI,TANCA, ,,,TANCA
BUYAKA,TANCA, ,,,TANCA
CADIRASMERKEZ,TANCA, ,,,TANCA
CADIRSAMSUN,TANCA, ,,,TANCA
CADIRSOKE,TANCA, ,,,TANCA
CAPITOL,TANCA, ,,,TANCA
CKCAPI,TANCA, ,,,TANCA
CKMETRO,TANCA, ,,,TANCA
CORLU,TANCA, ,,,TANCA
CORLUTREND,TANCA, ,,,TANCA
CORUMAHL,TANCA, ,,,TANCA
CORUMGARAJ,TANCA, ,,,TANCA
DBAKIRWINSTON,TANCA, ,,,TANCA
DENIZLI,TANCA, ,,,TANCA
DYRBKR,TANCA, ,,,TANCA
EDIRNE,TANCA, ,,,TANCA
EDIRNEERASTA,TANCA, ,,,TANCA
EDREMIT,TANCA, ,,,TANCA
ELAZIG,TANCA, ,,,TANCA
EMAARSQUARE,TANCA, ,,,TANCA
ENNTEPE,TANCA, ,,,TANCA
ERZINCANCADDE,TANCA, ,,,TANCA
ERZINCANPARK,TANCA, ,,,TANCA
ERZMNGGARAJ,TANCA, ,,,TANCA
ERZURUM,TANCA, ,,,TANCA
ESPARK,TANCA, ,,,TANCA
FRMIST,TANCA, ,,,TANCA
GAZIANTEP,TANCA, ,,,TANCA
GEBZE,TANCA, ,,,TANCA
GORDION,TANCA, ,,,TANCA
GORDIONX,TANCA, ,,,TANCA
HATAY,TANCA, ,,,TANCA
ISKENDERUN,TANCA, ,,,TANCA
ISPARTA,TANCA, ,,,TANCA
IZMIR,TANCA, ,,,TANCA
IZMIRAGORA,TANCA, ,,,TANCA
IZMIRMAVIBAHCE,TANCA, ,,,TANCA
IZMIROPT,TANCA, ,,,TANCA
IZMIRWEST,TANCA, ,,,TANCA
IZMIT,TANCA, ,,,TANCA
KADIKOY,TANCA, ,,,TANCA
KASTAMONUBAYII,TANCA, ,,,TANCA
KASTAMONUCADDE,TANCA, ,,,TANCA
KAYSERI,TANCA, ,,,TANCA
KAYSERIFORUM,TANCA, ,,,TANCA
KIPA,TANCA, ,,,TANCA
KNKENT,TANCA, ,,,TANCA
KNREAL,TANCA, ,,,TANCA
KOCA,TANCA, ,,,TANCA
KOCAELI,TANCA, ,,,TANCA
KOCAELI41,TANCA, ,,,TANCA
KONYA,TANCA, ,,,TANCA
KORUPARK,TANCA, ,,,TANCA
KOZZY,TANCA, ,,,TANCA
KUTAHYA,TANCA, ,,,TANCA
KYAKAHILLTOWN,TANCA, ,,,TANCA
LALELI1,TANCA, ,,,TANCA
LALELI2,TANCA, ,,,TANCA
LALELI3,TANCA, ,,,TANCA
LALELI4,TANCA, ,,,TANCA
LBAHTIYAR,TANCA, ,,,TANCA
LULEBURGAZ,TANCA, ,,,TANCA
MALATYA,TANCA, ,,,TANCA
MALTEPE,TANCA, ,,,TANCA
MARDIN,TANCA, ,,,TANCA
MARDINEMIRGAN,TANCA, ,,,TANCA
MARDINMARDIAN,TANCA, ,,,TANCA
MARKANTALYA,TANCA, ,,,TANCA
MERKEZ,TANCA, ,,,TANCA
MERTERMYDN,TANCA, ,,,TANCA
METROPOL,TANCA, ,,,TANCA
MIDTOWN,TANCA, ,,,TANCA
NATA,TANCA, ,,,TANCA
NATI,TANCA, ,,,TANCA
NINOVA,TANCA, ,,,TANCA
OKMEYDANI,TANCA, ,,,TANCA
OPTIMUM,TANCA, ,,,TANCA
ORA,TANCA, ,,,TANCA
ORDU,TANCA, ,,,TANCA
OSMANIYE328,TANCA, ,,,TANCA
PELICAN,TANCA, ,,,TANCA
PENDORYA,TANCA, ,,,TANCA
PIAZZAMALTEPE,TANCA, ,,,TANCA
SAMSUN,TANCA, ,,,TANCA
SANKO,TANCA, ,,,TANCA
SAPPHIRE,TANCA, ,,,TANCA
SASKIN,TANCA, ,,,TANCA
SDTRN,TANCA, ,,,TANCA
SERDIVAN,TANCA, ,,,TANCA
SIVASPRIME,TANCA, ,,,TANCA
TEKIRDAG,TANCA, ,,,TANCA
TERRACITY,TANCA, ,,,TANCA
TNC,TANCA, ,,,TANCA
TNCNATI,TANCA, ,,,TANCA
TNCVIA,TANCA, ,,,TANCA
TPOPTIMUM,TANCA, ,,,TANCA
TRABZON,TANCA, ,,,TANCA
TRACEV,TANCA, ,,,TANCA
TTANCA,TANCA, ,,,TANCA
UMRANIYE,TANCA, ,,,TANCA
UMRANIYEMEYDAN,TANCA, ,,,TANCA
UMRDEPO,TANCA, ,,,TANCA
URFA,TANCA, ,,,TANCA
URFACD,TANCA, ,,,TANCA
VADIISTANBUL,TANCA, ,,,TANCA
VAN,TANCA, ,,,TANCA
VENEZIA,TANCA, ,,,TANCA
VIAPORT,TANCA, ,,,TANCA
VLMNTMARMARAPRK,TANCA, ,,,TANCA
VLMNTOSMANBEY,TANCA, ,,,TANCA
WESTPARKKIDS,TANCA, ,,,TANCA
YENIELAZIG,TANCA, ,,,TANCA
ZFRPLZ,TANCA, ,,,TANCA
ZONGULDAK,TANCA, ,,,TANCA
