SKod,Modul,MKod,kgid,insUN,insDT,insApp,updUN,updDT,updApp
ARS01,B,20,1,,,,,,
ARS01,B,21,2,,,,,,
ARS01,B,22,3,,,,,,
ARS01,B,23,4,,,,,,
ARS01,B,24,5,,,,,,
CS320,B,2,6,,,,,,
CS320,B,3,7,,,,,,
CS320,B,4,8,,,,,,
CS320,B,5,9,,,,,,
CS320,B,6,10,,,,,,
DRG1190,B,2,14,,,,,,
DRG1190,B,3,15,,,,,,
DRG1190,B,4,16,,,,,,
DRG1190,B,5,17,,,,,,
DRG1190,B,6,18,,,,,,
LN1RCNG355,B,31,19,,,,,,
LN1RCNG355,B,32,20,,,,,,
LN1RCNG355,B,33,21,,,,,,
LN1RCNG355,B,34,22,,,,,,
LN1RCNG355,B,35,23,,,,,,
LN1RCNG355,B,36,24,,,,,,
LN1RCNG355,B,37,25,,,,,,
LN1RCNG355,B,38,26,,,,,,
LN1RCNG355,B,39,27,,,,,,
LNRCN104,B,2,28,,,,,,
LNRCN104,B,3,29,,,,,,
LNRCN104,B,4,30,,,,,,
LNRCN104,B,5,31,,,,,,
LNRCN104,B,6,32,,,,,,
LNRCN117,B,2,33,,,,,,
LNRCN117,B,3,34,,,,,,
LNRCN117,B,4,35,,,,,,
LNRCN117,B,5,36,,,,,,
LNRCN117,B,6,37,,,,,,
LNRCN133,B,2,38,,,,,,
LNRCN133,B,3,39,,,,,,
LNRCN133,B,4,40,,,,,,
LNRCN133,B,5,41,,,,,,
LNRCN133,B,6,42,,,,,,
LNRCN134,B,2,43,,,,,,
LNRCN134,B,3,44,,,,,,
LNRCN134,B,4,45,,,,,,
LNRCN134,B,5,46,,,,,,
LNRCN134,B,6,47,,,,,,
LNRCN149,B,2,48,,,,,,
LNRCN149,B,3,49,,,,,,
LNRCN149,B,4,50,,,,,,
LNRCN149,B,5,51,,,,,,
LNRCN149,B,6,52,,,,,,
LNRCN176,B,2,53,,,,,,
LNRCN176,B,3,54,,,,,,
LNRCN176,B,4,55,,,,,,
LNRCN176,B,5,56,,,,,,
LNRCN176,B,6,57,,,,,,
LNRCN192,B,2,58,,,,,,
LNRCN192,B,3,59,,,,,,
LNRCN192,B,4,60,,,,,,
LNRCN192,B,5,61,,,,,,
LNRCN192,B,6,62,,,,,,
LNRCN197,B,35,63,,,,,,
LNRCN197,B,36,64,,,,,,
LNRCN197,B,37,65,,,,,,
LNRCN197,B,38,66,,,,,,
LNRCN197,B,39,67,,,,,,
LNRCN1KKYS06,B,20,68,,,,,,
LNRCN1KKYS06,B,21,69,,,,,,
LNRCN1KKYS06,B,22,70,,,,,,
LNRCN1KKYS06,B,23,71,,,,,,
LNRCN1KKYS06,B,24,72,,,,,,
LNRCN206,B,2,73,,,,,,
LNRCN206,B,3,74,,,,,,
LNRCN206,B,4,75,,,,,,
LNRCN206,B,5,76,,,,,,
LNRCN206,B,6,77,,,,,,
LNRCN209,B,2,78,,,,,,
LNRCN209,B,3,79,,,,,,
LNRCN209,B,4,80,,,,,,
LNRCN209,B,5,81,,,,,,
LNRCN209,B,6,82,,,,,,
LNRCN219,B,35,83,,,,,,
LNRCN219,B,36,84,,,,,,
LNRCN219,B,37,85,,,,,,
LNRCN219,B,38,86,,,,,,
LNRCN219,B,39,87,,,,,,
LNRCN232,B,2,88,,,,,,
LNRCN232,B,3,89,,,,,,
LNRCN232,B,4,90,,,,,,
LNRCN232,B,5,91,,,,,,
LNRCN232,B,6,92,,,,,,
LNRCN263,B,2,93,,,,,,
LNRCN263,B,3,94,,,,,,
LNRCN263,B,4,95,,,,,,
LNRCN263,B,5,96,,,,,,
LNRCN263,B,6,97,,,,,,
LNRCN347,B,2,98,,,,,,
LNRCN347,B,3,99,,,,,,
LNRCN347,B,4,100,,,,,,
LNRCN347,B,5,101,,,,,,
LNRCN347,B,6,102,,,,,,
LNRCN350,B,2,103,,,,,,
LNRCN350,B,3,104,,,,,,
LNRCN350,B,4,105,,,,,,
LNRCN350,B,5,106,,,,,,
LNRCN350,B,6,107,,,,,,
LNRCN364,B,2,108,,,,,,
LNRCN364,B,3,109,,,,,,
LNRCN364,B,4,110,,,,,,
LNRCN364,B,5,111,,,,,,
LNRCN364,B,6,112,,,,,,
LNRCN366,B,2,113,,,,,,
LNRCN366,B,3,114,,,,,,
LNRCN366,B,4,115,,,,,,
LNRCN366,B,5,116,,,,,,
LNRCN366,B,6,117,,,,,,
LNRCN367,B,2,6897,MUAZ,2025-01-18 16:42:07.427000,KGShop,,,
LNRCN367,B,3,6898,MUAZ,2025-01-18 16:42:07.430000,KGShop,,,
LNRCN367,B,4,6899,MUAZ,2025-01-18 16:42:07.433000,KGShop,,,
LNRCN367,B,5,6900,MUAZ,2025-01-18 16:42:07.440000,KGShop,,,
