UserName,AccessTip,DBName
09998,1,TANCA
09998,10,TANCA
09998,11,TANCA
09998,12,TANCA
09998,2,TANCA
09998,3,TANCA
09998,4,TANCA
09998,5,TANCA
09998,6,TANCA
09998,7,TANCA
09998,8,TANCA
09998,9,TANCA
7819,9,TANCA
ABASAK,9,TANCA
ABBAS,9,TANCA
ABOZKURT,9,TANCA
ACITY,9,TANCA
ACITYFIRSAT,9,TANCA
ADACENTER,9,TANCA
ADANA,9,TANCA
ADANACADIR,9,TANCA
ADANAREALSEL,9,TANCA
ADAOPT,9,TANCA
ADAOPTGARAJ,9,TANCA
ADIYAMAN,9,TANCA
AFYON,9,TANCA
AFYONPARK,9,TANCA
AKASYA,9,TANCA
AKASYALUXURY,9,TANCA
AKASYAOUTLET,9,TANCA
AKBATI,9,TANCA
AKMERKEZ,9,TANCA
AKSARAY,9,TANCA
ALANYA,9,TANCA
ANATOLIUM,9,TANCA
ANKARA,9,TANCA
ANKARACEPA,9,TANCA
ANKARAGIMART,9,TANCA
ANKARAKENT,9,TANCA
ANKARAONETOWER,9,TANCA
ANKARAPODIUM,9,TANCA
ANTAKYA,9,TANCA
ANTAKYAPLDM,9,TANCA
ANTAKYAPRMGRJ,9,TANCA
ANTALYA,9,TANCA
ANTALYADEEPO,9,TANCA
ANTALYAMALLOF,9,TANCA
ANTALYAMIGROS,9,TANCA
ANTALYAMIGROS2,9,TANCA
ANTARES,9,TANCA
AREAL,9,TANCA
ARIZA,9,TANCA
ATASHRPALKIDS,9,TANCA
ATASHRPALLADIUM,9,TANCA
ATLASPARK,9,TANCA
AXIS,9,TANCA
AYDIN,9,TANCA
BAHARIYE,9,TANCA
BALIKESIR10,9,TANCA
BATMAN,9,TANCA
BATMANPETROLCTY,9,TANCA
BAYCAN,9,TANCA
BAYII,9,TANCA
BAYRAMPASAAXIS,9,TANCA
BCICEK,9,TANCA
BERK,9,TANCA
BEYAZIT,9,TANCA
BEYAZITTOPTAN,9,TANCA
BEYAZITTOPTAN2,9,TANCA
BILSEN,9,TANCA
BOLU,9,TANCA
BOLUCADIR,9,TANCA
BRANDIUM,9,TANCA
BRTNC,9,TANCA
BSAHIN,9,TANCA
BURAK,9,TANCA
BURCU,9,TANCA
BURSA,9,TANCA
BURSAKENT,9,TANCA
BURSAOZDILEK,9,TANCA
BURSASURYAPI,9,TANCA
BUYAKA,9,TANCA
BVARLIK,9,TANCA
CADIR,9,TANCA
CADIR212,9,TANCA
CADIRANKARAOPT,9,TANCA
CADIRASMERKEZ,9,TANCA
CADIRAVCILAR,9,TANCA
CADIRAXIS,9,TANCA
CADIRBAGDAT,9,TANCA
CADIRBAYRAMPASA,9,TANCA
CADIRBDUZU,9,TANCA
CADIRBOSTANCI,9,TANCA
CADIRCORLU,9,TANCA
CADIRESENYURT,9,TANCA
CADIRFYT,9,TANCA
CADIRGEBZE,9,TANCA
CADIRGOKTURK,9,TANCA
CADIRHARAMIDERE,9,TANCA
CADIRISTINYE,9,TANCA
CADIRKALE,9,TANCA
CADIRKOZZY,9,TANCA
CADIRNOVADA,9,TANCA
CADIRSAMSUN,9,TANCA
CADIRSOKE,9,TANCA
CADIRSULTANGAZI,9,TANCA
CADIRTUZLA,9,TANCA
CADIRUMRANIYE,9,TANCA
CADIRVIALAND,9,TANCA
CADIRWESTPARK,9,TANCA
CAGLA,9,TANCA
cagrimrkz,9,TANCA
CANAKKALE,9,TANCA
CANPARK,9,TANCA
CAPITOL,9,TANCA
CARMENT,9,TANCA
CDEMIR,9,TANCA
CDRMALATYA,9,TANCA
CDRMALTEPE,9,TANCA
CDROPTIMUM,9,TANCA
CDRYENIBOSNA,9,TANCA
CEMILUCAN,9,TANCA
CEYHUN,9,TANCA
CEYLANGARAJ,9,TANCA
CGRMRK1,9,TANCA
CGRMRK10,9,TANCA
CGRMRK11,9,TANCA
CGRMRK12,9,TANCA
CGRMRK14,9,TANCA
CGRMRK15,9,TANCA
CGRMRK2,9,TANCA
CGRMRK3,9,TANCA
CGRMRK4,9,TANCA
CGRMRK5,9,TANCA
CGRMRK6,9,TANCA
CGRMRK7,9,TANCA
CGRMRK8,9,TANCA
CGRMRK9,9,TANCA
CKCAPI,9,TANCA
CKMETRO,9,TANCA
CKTERRACITY,9,TANCA
CNKBURDA,9,TANCA
CNKKIPA,9,TANCA
CORLU,9,TANCA
CORLUTREND,9,TANCA
CORUMAHL,9,TANCA
CORUMGARAJ,9,TANCA
COZOL,9,TANCA
CYUCEPUR,9,TANCA
DBAKIRCEYLAN,9,TANCA
DBAKIRWINSTON,9,TANCA
DENIZLI,9,TANCA
depo20,9,TANCA
DOGUBEYAZIT,9,TANCA
DUYGU,9,TANCA
DYRBKR,9,TANCA
DYRBKRFORUM,9,TANCA
EALTUG,9,TANCA
EBRU,9,TANCA
ECALISKAN,9,TANCA
EDIRNE,9,TANCA
EDIRNEERASTA,9,TANCA
EDREMIT,9,TANCA
ELAZIG,9,TANCA
EMAARSQUARE,9,TANCA
ENNTEPE,9,TANCA
ERDIM,9,TANCA
ERKAN,9,TANCA
ERKANBAYRAKTAR,9,TANCA
ERZINCANCADDE,9,TANCA
ERZINCANPARK,9,TANCA
ERZMNGGARAJ,9,TANCA
ERZURUM,9,TANCA
ERZURUMGARAJ,9,TANCA
ESEN,9,TANCA
ESENYURTOUT,9,TANCA
ESPARK,9,TANCA
ESRA,9,TANCA
EUGE,9,TANCA
FATIH,9,TANCA
FCAKMAK,9,TANCA
FERHAN,9,TANCA
FETHIYEERASTA,9,TANCA
FIRAT,9,TANCA
FKAPLAN,9,TANCA
FORUMGARAJ,9,TANCA
FORUMTRABZON,9,TANCA
FRMIST,9,TANCA
frmistgaraj,9,TANCA
FTEKATLI,9,TANCA
GALATAPORT,9,TANCA
GAZIANTEP,9,TANCA
GAZIANTEPPRIME,9,TANCA
GEBZE,9,TANCA
GIMART1,9,TANCA
GORDION,9,TANCA
GORDIONX,9,TANCA
GOZOPTGARAJ,9,TANCA
GULCAN,9,TANCA
HASAN,9,TANCA
HATAY,9,TANCA
HAYIK,9,TANCA
HILLTOWN,9,TANCA
HILLTOWNKIDS,9,TANCA
HISTORIA,9,TANCA
HLTGZGN,9,TANCA
HPALA,9,TANCA
HYILDIRIM,9,TANCA
IALIS,9,TANCA
ICERENKOY,9,TANCA
ICERENKOYBAYAN,9,TANCA
IDEALTEPE,9,TANCA
INEGOL,9,TANCA
ISKENDERUN,9,TANCA
ISKENDERUNFORB,9,TANCA
ISKPRMGARAJ,9,TANCA
ISMAIL,9,TANCA
ISPARTA,9,TANCA
ITHAL,9,TANCA
ITUKAN,9,TANCA
IZMIR,9,TANCA
IZMIRAGORA,9,TANCA
IZMIRMAVIBAHCE,9,TANCA
IZMIROPT,9,TANCA
IZMIRVALMENTI,9,TANCA
IZMIRWEST,9,TANCA
IZMIT,9,TANCA
irfanPPR,9,TANCA
k,9,TANCA
KADIKOY,9,TANCA
KADIOGLU,9,TANCA
KALE,9,TANCA
KALTINEL,9,TANCA
KASTAMONUBAYII,9,TANCA
KASTAMONUCADDE,9,TANCA
KAYSERI,9,TANCA
KAYSERIFORUM,9,TANCA
KEREM,9,TANCA
KILYOS,9,TANCA
KIPA,9,TANCA
KMARAS,9,TANCA
KMARASGARAJ,9,TANCA
KNKENT,9,TANCA
KNREAL,9,TANCA
KOCA,9,TANCA
KOCAELI,9,TANCA
KOCAELI41,9,TANCA
KOCAELISYMBOL,9,TANCA
KONYA,9,TANCA
Korgun_Admin,9,TANCA
korgunumut,9,TANCA
KORPAK,9,TANCA
KORUPARK,9,TANCA
KOZZY,9,TANCA
KTANPA,9,TANCA
KUTAHYA,9,TANCA
KYAKAHILLTOWN,9,TANCA
LALELI1,9,TANCA
LALELI2,9,TANCA
LALELI3,9,TANCA
LALELI4,9,TANCA
LBAHTIYAR,9,TANCA
LEVENT,9,TANCA
LGUNES,9,TANCA
LULEBURGAZ,9,TANCA
MALATYA,9,TANCA
MALKABUL1,9,TANCA
MALLISTANBUL,9,TANCA
MALTEPE,9,TANCA
MALTEPEPARKCDR,9,TANCA
MARDIN,9,TANCA
