Code,Name,Rate,ID
201,Yapım İşleri ile Bu İşlerle Birlikte İfa Edilen Mühendislik-Mimarlık ve Etüt-Proje Hizmetleri[KDVGUT-(I/C-2.1.3.2.1)],4/10,66
202,"Etüt, Plan-Proje, Danışmanlık, Denetim ve Benzeri Hizmetler[KDVGUT-(I/C-2.1.3.2.2)]",9/10,67
203,"Makine, Teçhizat, Demirbaş ve Taşıtlara Ait Tadil, Bakım ve Onarım Hizmetleri[KDVGUT- (I/C-2.1.3.2.3)]",7/10,68
204,Yemek Servis Hizmeti[KDVGUT-(I/C-2.1.3.2.4)],5/10,69
205,Organizasyon Hizmeti[KDVGUT-(I/C-2.1.3.2.4)],5/10,70
206,İşgücü Temin Hizmetleri[KDVGUT-(I/C-2.1.3.2.5)],9/10,71
207,Özel Güvenlik Hizmeti[KDVGUT-(I/C-2.1.3.2.5)],9/10,72
208,Yapı Denetim Hizmetleri[KDVGUT-(I/C-2.1.3.2.6)],9/10,73
209,"Fason Olarak Yaptırılan Tekstil ve Konfeksiyon İşleri, Çanta ve Ayakkabı Dikim İşleri ve Bu İşlere Aracılık Hizmetleri[KDVGUT-(I/C-2.1.3.2.7)]",7/10,74
210,Turistik Mağazalara Verilen Müşteri Bulma/ Götürme Hizmetleri[KDVGUT-(I/C-2.1.3.2.8)],9/10,75
211,"Spor Kulüplerinin Yayın, Reklâm ve İsim Hakkı Gelirlerine Konu İşlemleri[KDVGUT-(I/C-2.1.3.2.9)]",9/10,76
212,Temizlik Hizmeti[KDVGUT-(I/C-2.1.3.2.10)],9/10,77
213,Çevreve Bahçe Bakım Hizmetleri[KDVGUT-(I/C-2.1.3.2.10)],7/10,78
214,Servis Taşımacılığı Hizmeti[KDVGUT-(I/C-2.1.3.2.11)],5/10,79
215,Her Türlü Baskı ve Basım Hizmetleri[KDVGUT-(I/C-2.1.3.2.12)],7/10,80
216,"5018 Sayılı Kanuna Ekli Cetvellerdeki İdare, Kurum ve Kuruşlara Yapılan Diğer Hizmetler[KDVGUT-(I/C-2.1.3.2.13)]",5/10,81
217,Hurda Metalden Elde Edilen Külçe Teslimleri[KDVGUT-(I/C-2.1.3.3.1)],7/10,82
218,"Hurda Metalden Elde Edilenler Dışındaki Bakır, Çinko,Alüminyum ve Kurşun Külçe Teslimi[KDVGUT-(I/C-2.1.3.3.1)]",7/10,83
219,"Bakır, Çinko, Alüminyum ve Kurşun Ürünlerinin Teslimi[KDVGUT-(I/C-2.1.3.3.2)]",7/10,84
220,İstisnadan Vazgeçenlerin Hurda ve Atık Teslimi[KDVGUT-(I/C-2.1.3.3.3)],7/10,85
221,"Metal, Plastik, Lastik, Kauçuk, Kâğıt ve Cam Hurda ve Atıklardan Elde Edilen Hammadde Teslimi[KDVGUT-(I/C-2.1.3.3.4)]",9/10,86
222,"Pamuk, Tiftik, Yün ve Yapağı İle Ham Post ve Deri Teslimleri[KDVGUT-(I/C-2.1.3.3.5)]",9/10,87
223,Ağaç ve Orman Ürünleri Teslimi[KDVGUT-(I/C-2.1.3.3.6)],5/10,88
250,Diğerleri,,89
101,"İKAMETGÂHI, İŞYERİ, KANUNİ MERKEZİ VE İŞ MERKEZİ TÜRKİYEDE BULUNMAYANLAR TARAFINDAN YAPILAN İŞLEMLER [KDVGUT-(I/C-2.1.2.1)]",100/100,90
102,SERBEST MESLEK FAALİYETİ ÇERÇEVESİNDE YAPILAN TESLİM VE HİZMETLER [KDVGUT-(I/C-2.1.2.2)],100/100,91
103,KİRALAMA İŞLEMLERİ [KDVGUT-(I/C-2.1.2.3)],100/100,92
104,REKLÂM VERME İŞLEMLERİ [KDVGUT-(I/C-2.1.2.4)],100/100,93
601,Yapım İşleri ile Bu İşlerle Birlikte İfa Edilen Mühendislik-Mimarlık ve Etüt-Proje Hizmetleri[KDVGUT-(I/C-2.1.3.2.1)],4/10,94
602,"Etüt, Plan-Proje, Danışmanlık, Denetim ve Benzeri Hizmetler[KDVGUT-(I/C-2.1.3.2.2)]",9/10,95
603,"Makine, Teçhizat, Demirbaş ve Taşıtlara Ait Tadil, Bakım ve Onarım Hizmetleri[KDVGUT- (I/C-2.1.3.2.3)]",7/10,96
604,Yemek Servis Hizmeti[KDVGUT-(I/C-2.1.3.2.4)],5/10,97
605,Organizasyon Hizmeti[KDVGUT-(I/C-2.1.3.2.4)],5/10,98
606,İşgücü Temin Hizmetleri[KDVGUT-(I/C-2.1.3.2.5)],9/10,99
607,Özel Güvenlik Hizmeti[KDVGUT-(I/C-2.1.3.2.5)],9/10,100
608,Yapı Denetim Hizmetleri[KDVGUT-(I/C-2.1.3.2.6)],9/10,101
609,"Fason Olarak Yaptırılan Tekstil ve Konfeksiyon İşleri, Çanta ve Ayakkabı Dikim İşleri ve Bu İşlere Aracılık Hizmetleri[KDVGUT-(I/C-2.1.3.2.7)]",7/10,102
610,Turistik Mağazalara Verilen Müşteri Bulma/ Götürme Hizmetleri[KDVGUT-(I/C-2.1.3.2.8)],9/10,103
611,"Spor Kulüplerinin Yayın, Reklâm ve İsim Hakkı Gelirlerine Konu İşlemleri[KDVGUT-(I/C-2.1.3.2.9)]",9/10,104
612,Temizlik Hizmeti[KDVGUT-(I/C-2.1.3.2.10)],9/10,105
613,Çevreve Bahçe Bakım Hizmetleri[KDVGUT-(I/C-2.1.3.2.10)],7/10,106
614,Servis Taşımacılığı Hizmeti[KDVGUT-(I/C-2.1.3.2.11)],5/10,107
615,Her Türlü Baskı ve Basım Hizmetleri[KDVGUT-(I/C-2.1.3.2.12)],7/10,108
616,"5018 Sayılı Kanuna Ekli Cetvellerdeki İdare, Kurum ve Kuruşlara Yapılan Diğer Hizmetler[KDVGUT-(I/C-2.1.3.2.13)]",5/10,109
617,Hurda Metalden Elde Edilen Külçe Teslimleri[KDVGUT-(I/C-2.1.3.3.1)],7/10,110
618,"Hurda Metalden Elde Edilenler Dışındaki Bakır, Çinko,Alüminyum ve Kurşun Külçe Teslimi[KDVGUT-(I/C-2.1.3.3.1)]",7/10,111
619,"Bakır, Çinko, Alüminyum ve Kurşun Ürünlerinin Teslimi[KDVGUT-(I/C-2.1.3.3.2)]",7/10,112
