inx,CompName,CompType,Deger
1,CB_SipTip,TComboBox,0
1,CLB_Location,TCheckListBox,0
1,clb_SumFieldList,TCheckListBox,"0,7,8,9,10,11,12,13,14"
1,CB_ParaC,TComboBox,3
1,cb_ParaC2,TComboBox,2
1,CBKapa,TCheckBox,*
1,CB_StokSekli,TComboBox,0
1,RG_OzKodBag,TRadioGroup,0
1,rg_SipCreated,TRadioGroup,0
1,cb_OnayKademe,TComboBox,-1
1,RadioGroup1,TRadioGroup,0
1,rg_ConvertBirim,TRadioGroup,0
1,rg_NetKalan,TRadioGroup,0
1,rg_TutarHesTip,TRadioGroup,0
1,CB_MDPLocation,TComboBox,1
1,rg_SipPrintOp,TRadioGroup,0
1,rg_YurticDis,TRadioGroup,0
1,clb_SevkTip,TCheckListBox,"0,1,2,3"
1,RGX_RapKriter,TRadioGroup,0
1,xcb_Script,TCheckBox,*
1,CBX_Script,TComboBox,9
5,CB_SipTip,TComboBox,0
5,CLB_Location,TCheckListBox,0
5,clb_SumFieldList,TCheckListBox,"0,7,8,9,10,11,12,13,14"
5,CB_ParaC,TComboBox,3
5,cbCevir,TCheckBox,*
5,cb_ParaC2,TComboBox,2
5,CBKapa,TCheckBox,*
5,CB_StokSekli,TComboBox,0
5,RG_OzKodBag,TRadioGroup,0
5,rg_SipCreated,TRadioGroup,0
5,cb_OnayKademe,TComboBox,-1
5,RadioGroup1,TRadioGroup,0
5,rg_ConvertBirim,TRadioGroup,0
5,rg_NetKalan,TRadioGroup,0
5,rg_TutarHesTip,TRadioGroup,0
5,CB_MDPLocation,TComboBox,1
5,rg_SipPrintOp,TRadioGroup,0
5,rg_YurticDis,TRadioGroup,0
5,clb_SevkTip,TCheckListBox,"0,1,2,3"
5,RGX_RapKriter,TRadioGroup,0
5,xcb_Script,TCheckBox,*
5,CBX_Script,TComboBox,4
4,CB_SipTip,TComboBox,0
4,CLB_Location,TCheckListBox,0
58,cbPazKalanToplam,TcxCheckBox,
58,E_SKod1,TcxTextEdit,
58,E_SKod2,TcxTextEdit,
58,cbGrupKod,TcxCheckBox,
58,cbStokTip,TcxCheckBox,
58,cbBEDKod,TcxCheckBox,
58,cbRKod,TcxCheckBox,
58,cbCinsKod,TcxCheckBox,
58,cbReyon,TcxCheckBox,
58,e_rkod,TcxTextEdit,
58,cbUreticiKodu,TcxCheckBox,
58,cbUMarka,TcxCheckBox,
58,CB_StokSekli,TcxComboBox,0
58,E_GrupKod,TcxTextEdit,
58,E_StokTip,TcxTextEdit,
58,E_UreticiKodu,TcxTextEdit,
58,E_Renk,TcxTextEdit,
58,E_CinsKod,TcxTextEdit,
58,E_Reyon,TcxTextEdit,
58,E_UMarka,TcxTextEdit,
58,E_BEDKod,TcxTextEdit,
58,cbOzKod1,TcxCheckBox,
7,CB_SipTip,TComboBox,0
7,CLB_Location,TCheckListBox,0
7,clb_SumFieldList,TCheckListBox,"0,7,8,9,10,11,12,13,14"
7,CB_ParaC,TComboBox,3
7,cbCevir,TCheckBox,*
7,cb_ParaC2,TComboBox,2
7,CBKapa,TCheckBox,*
7,CB_StokSekli,TComboBox,0
7,RG_OzKodBag,TRadioGroup,0
7,rg_SipCreated,TRadioGroup,0
7,cb_OnayKademe,TComboBox,-1
7,RadioGroup1,TRadioGroup,0
7,rg_ConvertBirim,TRadioGroup,0
7,rg_NetKalan,TRadioGroup,0
7,rg_TutarHesTip,TRadioGroup,0
7,CB_MDPLocation,TComboBox,1
7,rg_SipPrintOp,TRadioGroup,0
