ModulName,OptRealName,OptVisible,OptTableConnect,Protect,DBName
Cari,btOzKod1,*,,G,LINDON
Cari,btOzKod10,*,,G,LINDON
Cari,btOzKod2,*,,G,LINDON
Cari,btOzKod3,*,,G,LINDON
Cari,btOzKod4,*,,G,LINDON
Cari,btOzKod5,*,,G,LINDON
Cari,btOzKod6,*,,G,LINDON
Cari,btOzKod7,*,,G,LINDON
Cari,btOzKod8,*,,G,LINDON
Cari,btOzKod9,*,,G,LINDON
Musteri,btOzKod1,*,,G,LINDON
Musteri,btOzKod10,*,,G,LINDON
Musteri,btOzKod2,*,,G,LINDON
Musteri,btOzkod3,*,,G,LINDON
Musteri,btOzKod4,*,,G,LINDON
Musteri,btOzKod5,*,,G,LINDON
Musteri,btOzKod6,*,,G,LINDON
Musteri,btOzKod7,*,,G,LINDON
Musteri,btOzKod8,*,,G,LINDON
Musteri,btOzKod9,*,,G,LINDON
Stok,btOzKod1,*,,G,LINDON
Stok,btOzKod10,*,Par_Stok_OzKod10,G,LINDON
Stok,btOzKod11,*,Par_Stok_OzKod11,G,LINDON
Stok,btOzKod12,*,Par_Stok_OzKod12,G,LINDON
Stok,btOzKod13,*,Par_Stok_OzKod13,G,LINDON
Stok,btOzKod14,*,Par_Stok_OzKod14,G,LINDON
Stok,btOzKod15,*,Par_Stok_OzKod15,G,LINDON
Stok,btOzKod16,*,,G,LINDON
Stok,btOzKod17,*,,G,LINDON
Stok,btOzKod18,*,,G,LINDON
Stok,btOzKod19,*,,G,LINDON
Stok,btOzKod2,*,,G,LINDON
Stok,btOzKod20,*,,G,LINDON
Stok,btOzKod3,*,,G,LINDON
Stok,btOzKod4,*,,G,LINDON
Stok,btOzKod5,*,,G,LINDON
Stok,btOzKod6,*,,G,LINDON
Stok,btOzKod7,*,,G,LINDON
Stok,btOzKod8,*,Par_Stok_OzKod8,G,LINDON
Stok,btOzKod9,*,Par_Stok_OzKod9,G,LINDON
Cari,btOzKod1,*,,G,LINDONSENTOS
Cari,btOzKod10,*,,G,LINDONSENTOS
Cari,btOzKod2,*,,G,LINDONSENTOS
Cari,btOzKod3,*,,G,LINDONSENTOS
Cari,btOzKod4,*,,G,LINDONSENTOS
Cari,btOzKod5,*,,G,LINDONSENTOS
Cari,btOzKod6,*,,G,LINDONSENTOS
Cari,btOzKod7,*,,G,LINDONSENTOS
Cari,btOzKod8,*,,G,LINDONSENTOS
Cari,btOzKod9,*,,G,LINDONSENTOS
Musteri,btOzKod1,*,,G,LINDONSENTOS
Musteri,btOzKod10,*,,G,LINDONSENTOS
Musteri,btOzKod2,*,,G,LINDONSENTOS
Musteri,btOzkod3,*,,G,LINDONSENTOS
Musteri,btOzKod4,*,,G,LINDONSENTOS
Musteri,btOzKod5,*,,G,LINDONSENTOS
Musteri,btOzKod6,*,,G,LINDONSENTOS
Musteri,btOzKod7,*,,G,LINDONSENTOS
Musteri,btOzKod8,*,,G,LINDONSENTOS
Musteri,btOzKod9,*,,G,LINDONSENTOS
Stok,btOzKod1,*,,G,LINDONSENTOS
Stok,btOzKod10,*,Par_Stok_OzKod10,G,LINDONSENTOS
Stok,btOzKod11,*,Par_Stok_OzKod11,G,LINDONSENTOS
Stok,btOzKod12,*,Par_Stok_OzKod12,G,LINDONSENTOS
Stok,btOzKod13,*,Par_Stok_OzKod13,G,LINDONSENTOS
Stok,btOzKod14,*,Par_Stok_OzKod14,G,LINDONSENTOS
Stok,btOzKod15,*,Par_Stok_OzKod15,G,LINDONSENTOS
Stok,btOzKod16,*,,G,LINDONSENTOS
Stok,btOzKod17,*,,G,LINDONSENTOS
Stok,btOzKod18,*,,G,LINDONSENTOS
Stok,btOzKod19,*,,G,LINDONSENTOS
Stok,btOzKod2,*,,G,LINDONSENTOS
Stok,btOzKod20,*,,G,LINDONSENTOS
Stok,btOzKod3,*,,G,LINDONSENTOS
Stok,btOzKod4,*,,G,LINDONSENTOS
Stok,btOzKod5,*,,G,LINDONSENTOS
Stok,btOzKod6,*,,G,LINDONSENTOS
Stok,btOzKod7,*,,G,LINDONSENTOS
Stok,btOzKod8,*,Par_Stok_OzKod8,G,LINDONSENTOS
Stok,btOzKod9,*,Par_Stok_OzKod9,G,LINDONSENTOS
