FisNo,Fisinx,cbpg,tanim,ParaCinsi,EvrakNo,Tutar,Banka,Sube,Vade,MuhKod,KurFarkiMuhKod,MM,KurFarkiMM,StpjOran,KDVOran,StpjMuhKod,KDVMuhKod,locked,Tanim2,KurFarkiDvz,BABSCODE,ExtraField1,ExtraField2,ExtraField3,TevKod,TevOran,TevMuhKod,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
3,3,001,,TL,,2000.0000000000,,,,,,,,,0E-10,,,,,,,,,,,,,3,3,,,,,,
11,11,120.010,KIŞLIK BORC,US,,4672.0000000000,,,,,,,,,,,,,,,,,,,,,,11,11,,,,,,
12,12,120.010,İADE DÜŞÜLDÜ,US,,328.0000000000,,,,,,,,,,,,,,,,,,,,,,12,12,,,,,,
12,13,120.010,ÖDEME,US,,3000.0000000000,,,,,,,,,,,,,,,,,,,,,,13,12,,,,,,
14,15,120.018,KISLIK BORC,US,,1714.0000000000,,,,,,,,,,,,,,,,,,,,,,15,14,,,,,,
15,16,120.018,ODEME,US,,4000.0000000000,,,,,,,,,,,,,,,,,,,,,,16,15,,,,,,
16,17,120.019 ,ODEME,US,,500.0000000000,,,,,,,,,,,,,,,,,,,,,,17,16,,,,,,
17,18,120.023,YAZLIK ODEME,US,,2000.0000000000,,,,,,,,,,,,,,,,,,,,,,18,17,,,,,,
18,19,120.021 ,YAZLIK ODEME,US,,220.0000000000,,,,,,,,,,,,,,,,,,,,,,19,18,,,,,,
19,20,120.017,YAZLIK ODEME,US,,300.0000000000,,,,,,,,,,,,,,,,,,,,,,20,19,,,,,,
20,21,120.016 ,YAZLIK ODEME,US,,425.0000000000,,,,,,,,,,,,,,,,,,,,,,21,20,,,,,,
21,22,120.015,YAZLIK ODEME,US,,900.0000000000,,,,,,,,,,,,,,,,,,,,,,22,21,,,,,,
22,23,120.013,YAZLIK ODEME,US,,320.0000000000,,,,,,,,,,,,,,,,,,,,,,23,22,,,,,,
23,24,120.011,YAZLIK ODEME,US,,500.0000000000,,,,,,,,,,,,,,,,,,,,,,24,23,,,,,,
26,27,120.027,YAZLIK ODEME,US,,1032.0000000000,,,1899-12-30 00:00:00,,,,,,,,,,,,,,,,,,,27,26,,,,,,
29,30,320.144,Kutu Koli ,US,,26.0000000000,,,,,,,,,,,,,,,,,,,,,,30,29,,,,,,
42,44,320.130,DEVİR,US,,453.0000000000,,,,,,,,,,,,,,,,,,,,,,44,42,yulya,2024-10-28 18:07:38.643000,KGShop,,,
43,45,320.130,,US,,200.0000000000,,,,,,,,,,,,,,,,,,,,,,45,43,yulya,2024-10-28 18:08:47.267000,KGShop,,,
44,46,320.130,,US,,420.0000000000,,,,,,,,,,,,,,,,,,,,,,46,44,yulya,2024-10-28 18:09:18.140000,KGShop,,,
47,49,320.006,HESAP KAPAMA,US,,580.0000000000,,,,,,,,,,,,,,,,,,,,,,49,47,yulya,2024-12-02 17:05:30.510000,KGShop,yulya,2024-12-02 17:07:22.487000,KGShop
47,50,320.009,HESAP KAPAMA,US,,2332.0000000000,,,,,,,,,,,,,,,,,,,,,,50,47,yulya,2024-12-02 17:07:22.503000,KGShop,,,
47,51,320.011,HESAP KAPAMA,US,,280.0000000000,,,,,,,,,,,,,,,,,,,,,,51,47,yulya,2024-12-02 17:07:22.507000,KGShop,,,
47,52,320.020,HESAP KAPAMA,US,,5287.0000000000,,,,,,,,,,,,,,,,,,,,,,52,47,yulya,2024-12-02 17:07:22.510000,KGShop,yulya,2025-05-08 13:33:42.653000,KGShop
47,53,320.023,HESAP KAPAMA,US,,940.0000000000,,,,,,,,,,,,,,,,,,,,,,53,47,yulya,2024-12-02 17:08:10.630000,KGShop,,,
47,54,320.029,HESAP KAPAMA,US,,496.0000000000,,,,,,,,,,,,,,,,,,,,,,54,47,yulya,2024-12-02 17:08:10.633000,KGShop,,,
47,55,320.031,HESAP KAPAMA,US,,1986.0000000000,,,,,,,,,,,,,,,,,,,,,,55,47,yulya,2024-12-02 17:09:20.520000,KGShop,,,
47,56,320.036,HESAP KAPAMA,US,,280.0000000000,,,,,,,,,,,,,,,,,,,,,,56,47,yulya,2024-12-02 17:09:20.523000,KGShop,,,
47,57,320.043,HESAP KAPAMA,US,,3238.0000000000,,,,,,,,,,,,,,,,,,,,,,57,47,yulya,2024-12-02 17:09:20.527000,KGShop,,,
47,58,320.049,HESAP KAPAMA,US,,933.0000000000,,,,,,,,,,,,,,,,,,,,,,58,47,yulya,2024-12-02 17:20:49.353000,KGShop,,,
47,59,320.063,HESAP KAPAMA,US,,614.0000000000,,,,,,,,,,,,,,,,,,,,,,59,47,yulya,2024-12-02 17:20:49.357000,KGShop,yulya,2024-12-09 10:34:08.183000,KGShop
47,62,320.085,HESAP KAPAMA,US,,232.0000000000,,,,,,,,,,,,,,,,,,,,,,62,47,yulya,2024-12-02 17:20:49.363000,KGShop,,,
47,63,320.092,HESAP KAPAMA,US,,936.0000000000,,,,,,,,,,,,,,,,,,,,,,63,47,yulya,2024-12-02 17:20:49.367000,KGShop,,,
47,65,320.127,HESAP KAPAMA,US,,748.0000000000,,,,,,,,,,,,,,,,,,,,,,65,47,yulya,2024-12-02 17:20:49.370000,KGShop,,,
47,66,320.129,HESAP KAPAMA,US,,2310.0000000000,,,,,,,,,,,,,,,,,,,,,,66,47,yulya,2024-12-02 17:20:49.373000,KGShop,,,
47,67,320.130,HESAP KAPAMA,US,,665.0000000000,,,,,,,,,,,,,,,,,,,,,,67,47,yulya,2024-12-02 17:20:49.373000,KGShop,,,
47,68,320.131,HESAP KAPAMA,US,,1088.0000000000,,,,,,,,,,,,,,,,,,,,,,68,47,yulya,2024-12-02 17:20:49.377000,KGShop,,,
47,70,320.161,HESAP KAPAMA,US,,580.0000000000,,,,,,,,,,,,,,,,,,,,,,70,47,yulya,2024-12-02 17:20:49.380000,KGShop,,,
47,71,320.176,HESAP KAPAMA,US,,336.0000000000,,,,,,,,,,,,,,,,,,,,,,71,47,yulya,2024-12-02 17:20:49.383000,KGShop,,,
47,72,320.190,HESAP KAPAMA,US,,1254.0000000000,,,,,,,,,,,,,,,,,,,,,,72,47,yulya,2024-12-02 17:20:49.387000,KGShop,,,
47,73,320.219,HESAP KAPAMA,US,,304.0000000000,,,,,,,,,,,,,,,,,,,,,,73,47,yulya,2024-12-02 17:20:49.387000,KGShop,,,
47,74,320.229,HESAP KAPAMA,US,,1456.0000000000,,,,,,,,,,,,,,,,,,,,,,74,47,yulya,2024-12-02 17:20:49.390000,KGShop,yulya,2024-12-02 17:21:24.043000,KGShop
48,75,120.010,HESAP KAPAMA,US,,1344.0000000000,,,,,,,,,,,,,,,,,,,,,,75,48,yulya,2024-12-02 17:23:16.857000,KGShop,yulya,2025-04-15 11:00:14.443000,KGShop
49,77,120.011,HESAP KAPAMA,US,,500.0000000000,,,,,,,,,,,,,,,,,,,,,,77,49,yulya,2024-12-02 17:25:43.850000,KGShop,yulya,2024-12-02 17:35:09.223000,KGShop
