SipNo,SipHarinx,Activid,ModelKod,Notu,OzKod1,OzKod2,OzKod3,OzKod4,OzKod5,OzKod6,OzKod7,OzKod8,OzKod9,OzKod10,kgid,insUN,insDT,insApp,updUN,updDT,updApp
48,460,0,101 1881,,,,,,,,,,,,1,,,,,,
48,460,11,SYA 1881,,,,,,,,,,,,2,,,,,,
48,460,12,T08 P044,,,,,,,,,,,,3,,,,,,
48,461,0,101 0444,,,,,,,,,,,,4,,,,,,
48,461,13,SYA 0444,,,,,,,,,,,,5,,,,,,
48,461,14,T08 P015,,,,,,,,,,,,6,,,,,,
121,965,0,101 0444,,,,,,,,,,,,7,,,,,,
121,965,27,SYA 0444,,,,,,,,,,,,8,,,,,,
121,965,28,T08 P015,,,,,,,,,,,,9,,,,,,
122,966,0,101 0444,,,,,,,,,,,,10,,,,,,
122,966,29,SYA 0444,,,,,,,,,,,,11,,,,,,
122,966,30,T08 P015,,,,,,,,,,,,12,,,,,,
139,540,0,101 0444,,,,,,,,,,,,13,,,,,,
139,540,2,SYA 0444,,,,,,,,,,,,14,,,,,,
139,540,3,T08 P015,,,,,,,,,,,,15,,,,,,
139,541,0,101 0941,,,,,,,,,,,,16,,,,,,
139,541,4,SYA 0941,,,,,,,,,,,,17,,,,,,
139,541,5,T08 P571,,,,,,,,,,,,18,,,,,,
139,541,6,YSL VA01,,,,,,,,,,,,19,,,,,,
139,542,0,101 1881,,,,,,,,,,,,20,,,,,,
139,542,7,SYA 1881,,,,,,,,,,,,21,,,,,,
139,542,8,T08 P044,,,,,,,,,,,,22,,,,,,
139,543,0,101 2010,,,,,,,,,,,,23,,,,,,
139,543,9,SYA 2010,,,,,,,,,,,,24,,,,,,
139,543,10,T08 P071,,,,,,,,,,,,25,,,,,,
140,544,0,101 0444,,,,,,,,,,,,26,,,,,,
141,545,0,101 0941,,,,,,,,,,,,27,,,,,,
1145,2035,0,101 0444,,,,,,,,,,,,28,,,,,,
1145,2035,1045,SYA 0444,,,,,,,,,,,,29,,,,,,
1145,2035,1046,T08 P015,,,,,,,,,,,,30,,,,,,
1151,2057,0,101 0444,,,,,,,,,,,,31,,,,,,
1151,2057,1047,SYA 0444,,,,,,,,,,,,32,,,,,,
1151,2057,1048,T08 P015,,,,,,,,,,,,33,,,,,,
1152,2058,0,101 0444,,,,,,,,,,,,34,,,,,,
1152,2058,1049,T08 P015,,,,,,,,,,,,35,,,,,,
1153,2059,0,101 0444,,,,,,,,,,,,36,,,,,,
1153,2059,1050,SYA 0444,,,,,,,,,,,,37,,,,,,
1153,2059,1051,T08 P015,,,,,,,,,,,,38,,,,,,
1164,2078,0,101 0941,,,,,,,,,,,,39,,,,,,
1164,2078,1058,SYA 0941,,,,,,,,,,,,40,,,,,,
1164,2078,1059,T08 P571,,,,,,,,,,,,41,,,,,,
1164,2078,1060,YSL VA01,,,,,,,,,,,,42,,,,,,
1166,2080,0,101 0444,,,,,,,,,,,,43,,,,,,
1166,2080,1061,SYA 0444,,,,,,,,,,,,44,,,,,,
1166,2080,1062,T08 P015,,,,,,,,,,,,45,,,,,,
1172,2086,0,101 1977,,,,,,,,,,,,46,,,,,,
1172,2086,1067,SYA 1977,,,,,,,,,,,,47,,,,,,
1172,2086,1068,T08 1977,,,,,,,,,,,,48,,,,,,
1172,2086,1069,YSL 1978,,,,,,,,,,,,49,,,,,,
1173,2087,0,101 0444,,,,,,,,,,,,50,,,,,,
1173,2087,1070,SYA 0444,,,,,,,,,,,,51,,,,,,
1173,2087,1071,T08 P015,,,,,,,,,,,,52,,,,,,
1186,2118,0,101 0999,,,,,,,,,,,,53,,,,,,
1186,2118,1072,SYA 0999,,,,,,,,,,,,54,,,,,,
1186,2118,1073,D02 001.02,,,,,,,,,,,,55,,,,,,
1186,2118,1074,T08 P571,,,,,,,,,,,,56,,,,,,
1186,2118,1075,YSL VA01,,,,,,,,,,,,57,,,,,,
1188,2120,0,101 0919,,,,,,,,,,,,58,,,,,,
1189,2121,0,101 0444,,,,,,,,,,,,59,,,,,,
1189,2121,1080,SYA 0444,,,,,,,,,,,,60,,,,,,
1189,2121,1081,T08 P015,,,,,,,,,,,,61,,,,,,
3863,9711,0,113286,,,,,,,,,,,,62,,,,,,
3863,9712,0,112379,,,,,,,,,,,,63,,,,,,
13618,39043,0,118891,,,,,,,,,,,,64,,,,,,
14074,41071,0,117755,,,,,,,,,,,,65,,,,,,
14247,41440,0,115228,,,,,,,,,,,,66,,,,,,
14532,42520,0,118892,,,,,,,,,,,,67,,,,,,
16409,50788,0,120164,,,,,,,,,,,,68,,,,,,
19472,60373,0,KG1000,,,,,,,,,,,,69,OZKAN,2023-11-21 14:05:52.090000,,OZKAN,2023-11-21 14:06:29.250000,
19480,60381,0,100001,,,,,,,,,,,,70,UMUT,2023-11-29 15:49:33.040000,,,,
