inx,Tarih,Kimden,Kime,GercekKime,Mesaj
1,2015-08-31 22:06:22.080000,ERSEN,Offline,Offline,Offline
2,2015-09-01 14:00:21.247000,berrın,Offline,Offline,Offline
3,2015-09-02 21:31:01.280000,ERSEN,Offline,Offline,Offline
4,2015-09-04 09:30:19.920000,LALELİ,Offline,Offline,Offline
5,2015-09-28 10:19:50.337000,BARIŞ,Offline,Offline,Offline
6,2015-10-03 12:42:18,BARIŞ,Offline,Offline,Offline
7,2015-11-11 22:44:26.917000,BAHMET,Offline,Offline,Offline
8,2016-11-25 18:01:59.280000,ERSEN,Offline,Offline,Offline
9,2017-09-07 23:12:50.500000,ERSEN,Offline,Offline,Offline
10,2017-09-11 14:15:13.207000,ERSEN,Offline,Offline,Offline
11,2021-07-20 14:20:31.557000,BARIŞ,Offline,Offline,Offline
12,2021-10-16 11:15:24.800000,bekır,Offline,Offline,Offline
13,2022-05-09 09:41:48.850000,SERKAN,Offline,Offline,Offline
14,2022-10-14 12:27:12.440000,LALELİ,Offline,Offline,Offline
15,2022-10-20 12:11:29.373000,SERKAN,Offline,Offline,Offline
