UserName,ModulName,AccessStatu,ShortCut
Ahmetc,miAlHizmetKart,vi,
Ahmetc,miAlTeklif,vi,
Ahmetc,miAlTemGir,vi,
Ahmetc,miAlTemHar,vi,
Ahmetc,miBABS,vi,
Ahmetc,mibanka,vi,
Ahmetc,miBankais,vi,
Ahmetc,miBankaKart,vi,
Ahmetc,miBankaTakip,vi,
Ahmetc,miBankaYon,vi,
Ahmetc,miBankTakip,vi,
Ahmetc,miBorcYonet,vi,
Ahmetc,miCariYasYonet,vi,
Ahmetc,miCek,vi,
Ahmetc,miCekGir,vi,
Ahmetc,miCekis,vi,
Ahmetc,miCekTakip,vi,
Ahmetc,miCekTakipFi,vi,
Ahmetc,miCekTakipFiD,vi,
Ahmetc,miCekTakipMu,vi,
Ahmetc,miCekTakipMuD,vi,
Ahmetc,miCekYon,vi,
Ahmetc,miCSFTakip,4,
Ahmetc,miFat_A,vi,
Ahmetc,miFat_A_Hiz,vi,
Ahmetc,miFat_A_Kon,vi,
Ahmetc,miFat_A_Pro,vi,
Ahmetc,miFat_S_Hiz,vi,
Ahmetc,miFat_S_Kon,vi,
Ahmetc,miFat_S_Pro,vi,
Ahmetc,miFatRaporu,vi,
Ahmetc,miFaturaYon,vi,
Ahmetc,miFFA,vi,
Ahmetc,miFFS,vi,
Ahmetc,miFinansTanim,vi,
Ahmetc,miFirCekCik,vi,
Ahmetc,miFirCekDevir,vi,
Ahmetc,miFirCekDeviris,vi,
Ahmetc,miFirCekis,vi,
Ahmetc,miFirSenetCik,vi,
Ahmetc,miFirSenetDevir,vi,
Ahmetc,miFirSenetDis,vi,
Ahmetc,miFirSenetis,vi,
Ahmetc,miGelKart,vi,
Ahmetc,miGidHizYonet,vi,
Ahmetc,miGidKart,vi,
Ahmetc,miGunKazRap,4,
Ahmetc,miHesapTakip,vi,
Ahmetc,miirs_A_Kon,vi,
Ahmetc,miirs_A_Pro,vi,
Ahmetc,miirs_S_Kon,vi,
Ahmetc,miirs_S_Pro,vi,
Ahmetc,miisOnay,vi,
Ahmetc,miKapaYonet,vi,
Ahmetc,miKrediFis,vi,
Ahmetc,miKrediMenu,vi,
Ahmetc,miKrediYon,vi,
Ahmetc,miMusCekDevir,vi,
Ahmetc,miMusCekDeviris,vi,
Ahmetc,miMusCekGir,vi,
Ahmetc,miMusCekis,vi,
Ahmetc,miMusSenetDevir,vi,
Ahmetc,miMusSenetDis,vi,
Ahmetc,miMusSenetGir,vi,
Ahmetc,miMusSenetis,vi,
Ahmetc,miPerGenGid,vi,
Ahmetc,miSatTeklif,vi,
Ahmetc,miSenet,vi,
Ahmetc,miSenetGir,vi,
Ahmetc,miSenetis,vi,
Ahmetc,miSenetTakip,vi,
Ahmetc,miSenetTakipFi,vi,
Ahmetc,miSenetTakipFiD,vi,
Ahmetc,miSenetTakipMu,vi,
Ahmetc,miSenetTakipMuD,vi,
Ahmetc,miSenetYon,vi,
Ahmetc,miSiparisYon3,vi,
Ahmetc,miSiparisYon4,vi,
Ahmetc,miSParam,2,
Ahmetc,miSubeTakip,vi,
Ahmetc,miTemGir,vi,
Ahmetc,miTemHar,vi,
Ahmetc,miTeminat,vi,
Ahmetc,miTemYon,vi,
Ahmetc,miTSatisRapor,vi,
Ahmetc,miVerHizmetKart,vi,
Ahmetc,miVerTemGir,vi,
Ahmetc,miVerTemHar,vi,
Ahmetc,miYonKonsol,vi,
Ahmetc,Rapor_105,vi,
Ahmetc,Rapor_106,vi,
Ahmetc,Rapor_108,vi,
Ahmetc,Rapor_110,vi,
Ahmetc,Rapor_111,vi,
