SKOD,RKOD,BedKod,Tip,Fiyat,ParaCinsi,FTarih,exCheck,insUN,insDT,UpdUN,UpdDT,kgid,insApp,updApp
002- 100,0,0,S02,27.0000000000,US,2025-03-04 15:05:10.637000,*,yulya,2025-03-04 15:05:10.637000,yulya,2025-03-04 15:07:03.197000,7283,KGShop,KGShop
002-701,0,0,S02,28.0000000000,US,2024-10-22 11:09:42.390000,*,yulya,2024-10-22 11:09:42.390000,,,5301,KGShop,
002-705,0,0,S02,28.0000000000,US,2024-10-22 11:12:13.570000,*,yulya,2024-10-22 11:12:13.570000,,,5302,KGShop,
002-706,0,0,S02,28.0000000000,US,2024-10-22 00:00:00,*,yulya,2024-10-22 10:58:15.223000,yulya,2024-10-22 10:58:41.787000,5297,KGShop,KGShop
002-707,0,0,S02,28.0000000000,US,2024-10-22 10:59:54.597000,*,yulya,2024-10-22 10:59:54.597000,,,5298,KGShop,
002-709,0,0,S02,28.0000000000,US,2024-10-22 10:29:24.307000,*,yulya,2024-10-22 10:29:24.307000,,,5288,KGShop,
002-711,0,0,S02,28.0000000000,US,2024-10-22 11:03:25.540000,*,yulya,2024-10-22 11:03:25.540000,,,5299,KGShop,
002-712,0,0,S02,28.0000000000,US,2024-10-22 00:00:00,*,yulya,2024-10-22 10:27:30.387000,yulya,2024-10-22 10:27:51.113000,5287,KGShop,KGShop
002-754,0,0,S02,27.0000000000,US,2024-10-22 00:00:00,*,yulya,2024-10-22 11:06:05.970000,yulya,2024-10-22 11:06:28.997000,5300,KGShop,KGShop
002-757,0,0,S02,27.0000000000,US,2024-10-22 10:55:56.383000,*,yulya,2024-10-22 10:55:56.383000,,,5296,KGShop,
002-758,0,0,S02,27.0000000000,US,2024-10-22 10:45:02.563000,*,yulya,2024-10-22 10:45:02.563000,,,5292,KGShop,
002-759,0,0,S02,27.0000000000,US,2024-10-22 00:00:00,*,yulya,2024-10-22 10:53:52.680000,yulya,2024-10-22 10:54:21.223000,5295,KGShop,KGShop
