minx,FaturaNo,SipNo,Fatura_Miktari,ParaCinsi,kgid,insUN,insDT,insApp,updUN,updDT,updApp
5,,1347,385.0,TL,1,,,,,,
5,,1351,900.0,TL,2,,,,,,
5,,1379,20.0,TL,3,,,,,,
5,,1409,70.0,TL,4,,,,,,
5,,1446,193.0,TL,5,,,,,,
5,,1515,280.0,TL,6,,,,,,
5,,1671,3.0,TL,7,,,,,,
5,,1681,2440.0,TL,8,,,,,,
5,,1699,2070.0,TL,9,,,,,,
5,,1704,200.0,TL,10,,,,,,
5,,1783,1050.0,TL,11,,,,,,
5,133658,,980.0,TL,12,,,,,,
5,19485,,4000.0,TL,13,,,,,,
5,19490,,8000.0,TL,14,,,,,,
5,19508,,4000.0,TL,15,,,,,,
5,2020000000013,,300.0,TL,16,,,,,,
5,2020000000017,,100.0,TL,17,,,,,,
5,2020000000029,1423,235.0,TL,18,,,,,,
5,2020000000030,,25250.0,TL,19,,,,,,
5,2020000000031,,70038.0,TL,20,,,,,,
5,2020000000031,1425,1300.0,TL,21,,,,,,
5,2020000000035,,60661.0,TL,22,,,,,,
5,2020000000039,,3058.0,TL,23,,,,,,
5,2020000000046,,1523.0,TL,24,,,,,,
5,2020000000048,,308.0,TL,25,,,,,,
5,2020000000064,,1.0,TL,26,,,,,,
5,2020000000067,1657,10000.0,TL,27,,,,,,
5,2020000000068,,5050.0,TL,28,,,,,,
5,2020000000068,1676,6500.0,TL,29,,,,,,
5,2020000000070,1676,4230.0,TL,30,,,,,,
5,2020000000070,1709,13300.0,TL,31,,,,,,
5,2020000000096,,30802.0,TL,32,,,,,,
5,2020000000099,1507,3100.0,TL,33,,,,,,
5,2020000000100,,40.0,TL,34,,,,,,
5,2020000000108,,11500.0,TL,35,,,,,,
5,2020000000111,1654,4700.0,TL,36,,,,,,
5,2020000000130,,5250.0,TL,37,,,,,,
5,2020000000135,,1100.0,TL,38,,,,,,
5,2020000000141,,1200.0,TL,39,,,,,,
5,2020000000186,,1612.0,TL,40,,,,,,
5,2020000000194,,6238.0,TL,41,,,,,,
5,2020000000203,,9955.0,TL,42,,,,,,
5,2020000000205,,47595.0,TL,43,,,,,,
5,2020000000208,,64.5,TL,44,,,,,,
5,2020000000214,,30.5,TL,45,,,,,,
5,2020000000221,1585,2350.0,TL,46,,,,,,
5,2020000000222,,5.0,TL,47,,,,,,
5,2020000000224,,748.0,TL,48,,,,,,
5,2020000000295,,168.0,TL,49,,,,,,
5,2020000000304,,298.0,TL,50,,,,,,
5,2020000000327,,200.0,TL,51,,,,,,
5,2020000000339,,61.0,TL,52,,,,,,
5,2020000000345,,644.0,TL,53,,,,,,
5,2020000000352,,28.0,TL,54,,,,,,
5,2020000000360,,25.0,TL,55,,,,,,
5,2020000000382,,245.0,TL,56,,,,,,
5,2020000000392,1608,5414.0,TL,57,,,,,,
5,2020000000394,,300.0,TL,58,,,,,,
5,2020000000397,,14250.0,TL,59,,,,,,
5,2020000000428,,10.0,TL,60,,,,,,
5,2020000000432,,2000.0,TL,61,,,,,,
5,2020000000454,,30714.0,TL,62,,,,,,
5,2020000000471,,600.0,TL,63,,,,,,
5,2020000000477,1719,2504.0,TL,64,,,,,,
5,2020000000489,,68118.0,TL,65,,,,,,
5,2020000000508,1444,5955.0,TL,66,,,,,,
5,2020000000510,,46.0,TL,67,,,,,,
5,2020000000515,1607,39033.0,TL,68,,,,,,
5,2020000000550,,1467.0,TL,69,,,,,,
5,2020000000553,1605,585.0,TL,70,,,,,,
5,2020000000566,1655,14200.0,TL,71,,,,,,
5,2020000000591,1660,1250.0,TL,72,,,,,,
5,2020000000596,,4904.0,TL,73,,,,,,
5,2020000000622,,130.5,TL,74,,,,,,
5,2020000000632,,311.0,TL,75,,,,,,
5,2020000000686,,66501.0,TL,76,,,,,,
5,2020000000753,1658,10.0,TL,77,,,,,,
5,2020000000782,1527,50.0,TL,78,,,,,,
5,2020000000799,1611,1344.0,TL,79,,,,,,
5,2020000000804,1611,67679.0,TL,80,,,,,,
5,2020000000844,,170.5,TL,81,,,,,,
5,2020000000865,,12000.0,TL,82,,,,,,
5,2020000000890,,64.0,TL,83,,,,,,
5,2020000000907,,10000.0,TL,84,,,,,,
5,2020000000953,,10024.0,TL,85,,,,,,
5,2020000000959,,20.0,TL,86,,,,,,
5,2020000000997,,201.0,TL,87,,,,,,
5,2020000001040,1594,130.5,TL,88,,,,,,
5,2020000001069,,2.0,TL,89,,,,,,
5,2020000001097,1630,20000.0,TL,90,,,,,,
5,2020000001101,,20.5,TL,91,,,,,,
5,2020000001195,1697,2001.0,TL,92,,,,,,
5,2020000001212,,102.0,TL,93,,,,,,
5,2020000001401,1604,76.0,TL,94,,,,,,
5,2020000001406,,800.0,TL,95,,,,,,
5,2020000001407,,50.0,TL,96,,,,,,
5,2020000001407,1323,200.0,TL,97,,,,,,
5,2020000001496,1433,155.0,TL,98,,,,,,
5,2020000001526,,155.0,TL,99,,,,,,
5,2020000001559,1408,548.0,TL,100,,,,,,
5,2020000001581,1408,552.0,TL,101,,,,,,
5,2020000001596,1589,125.0,TL,102,,,,,,
5,2020000001617,1589,50.0,TL,103,,,,,,
5,2020000001647,1602,967.0,TL,104,,,,,,
5,2020000001656,1616,255.0,TL,105,,,,,,
5,2020000001668,1616,165.0,TL,106,,,,,,
5,2020000001712,1421,855.0,TL,107,,,,,,
5,2020000001718,1602,433.0,TL,108,,,,,,
5,2020000001756,,1.0,TL,109,,,,,,
5,2020000001758,,21.0,TL,110,,,,,,
5,2020000001769,1415,135.0,TL,111,,,,,,
5,2020000001769,1447,465.0,TL,112,,,,,,
