EmirNo,EmirTarihi,Notu,ModelKod,Durum,Tip,Location,TerTarih,OzKod1,YazSay,OzKod2,insUN,insDT,updUN,updDT,MrpBasTar,MrpTerTar,kgid,insApp,updApp
178,2021-05-17 08:20:29.717000,,112873,B,M,CA002,2021-03-16 16:55:42.520000,,1,,mujgan.saglam,2021-05-17 08:20:29.723000,uretim,2021-07-28 10:55:53.687000,,,1,,
1478,2022-02-15 10:45:02.600000,"",115123,B,M,CA002,2022-02-28 05:40:51.440000,,1,,mujgan.saglam,2022-02-15 10:45:02.600000,uretim,2022-03-01 15:35:49.380000,,,2,,
1641,2022-03-24 14:16:01.127000,,112362,B,M,CA002,2022-04-22 07:22:45.600000,,1,,mujgan.saglam,2022-03-24 14:16:01.127000,uretim,2022-03-28 16:03:12.483000,,,3,,
1789,2022-04-21 15:01:24.943000,,112513,B,M,CA002,2022-05-13 08:48:30.120000,,1,,mujgan.saglam,2022-04-21 15:01:24.943000,uretim,2022-04-28 08:46:20.960000,,,4,,
1810,2022-05-05 15:13:03.247000,,103145,B,M,CA002,2022-05-27 09:00:35.680000,,1,,mujgan.saglam,2022-05-05 15:13:03.247000,uretim,2022-05-10 11:02:43.933000,,,5,,
1915,2022-06-21 14:35:32.663000,,118958,B,M,CA002,2022-06-30 11:50:53.080000,,2,,mujgan.saglam,2022-06-21 14:35:32.667000,uretim,2022-06-28 11:15:41.797000,,,6,,
2037,2022-06-15 12:32:13.310000,,118270,,M,CA002,2022-06-30 11:15:10.360000,,1,,mujgan.saglam,2022-06-15 12:32:13.320000,mujgan.saglam,2022-06-15 12:42:40.267000,,,7,,
2038,2022-06-15 12:45:36.993000,,116854,,M,CA002,2022-06-30 11:15:44.920000,,1,,mujgan.saglam,2022-06-15 12:45:37.003000,mujgan.saglam,2022-06-15 12:49:44.580000,,,8,,
2040,2022-06-15 14:57:01.467000,,118545,,M,CA002,2022-06-30 11:16:54.040000,,2,,mujgan.saglam,2022-06-15 14:57:01.477000,UMUT,2023-11-13 12:58:42.413000,,,9,,
2041,2022-06-15 15:00:04.237000,,118309,,M,CA002,2022-06-30 11:17:28.600000,,2,,mujgan.saglam,2022-06-15 15:00:04.237000,mujgan.saglam,2022-06-17 09:10:51.033000,,,10,,
2042,2022-06-15 15:41:54.577000,"",118249,,M,CA002,2022-06-30 11:18:03.160000,,1,,mujgan.saglam,2022-06-15 15:41:54.580000,mujgan.saglam,2022-06-15 15:47:14.643000,,,11,,
2043,2022-06-15 16:29:55.733000,,118276,,M,CA002,2022-06-30 11:18:37.720000,,1,,mujgan.saglam,2022-06-15 16:29:55.733000,mujgan.saglam,2022-06-15 16:33:39.913000,,,12,,
2108,2022-06-23 12:36:17.073000,"",115321-LAZER TOKALI ,B,M,CA002,2022-08-06 12:00:05.800000,,1,,mujgan.saglam,2022-06-23 12:36:17.073000,uretim,2022-06-24 09:31:00.033000,,,13,,
2223,2022-07-27 16:49:40.270000,"",113286,B,M,CA002,2022-08-20 13:09:46.920000,,1,,mujgan.saglam,2022-07-27 16:49:40.270000,uretim,2022-08-09 10:33:07.513000,,,14,,
2227,2022-07-28 16:01:57.530000,"",118285,B,M,CA002,2022-08-20 13:12:05.160000,,1,,mujgan.saglam,2022-07-28 16:01:57.533000,uretim,2022-09-06 10:58:51.417000,,,15,,
2274,2022-08-08 16:14:15.163000,,102544,,M,CA002,2022-08-20 13:41:23.040000,,,,mujgan.saglam,2022-08-08 16:14:15.163000,mujgan.saglam,2022-08-08 16:14:15.163000,,,16,,
2275,2022-08-08 16:17:33.460000,"",111048,,M,CA002,2022-08-20 13:41:57.600000,,3,,mujgan.saglam,2022-08-08 16:17:33.460000,mehmet.sari,2023-02-17 17:00:34.157000,,,17,,
2279,2022-08-09 08:57:43.070000,"",105394,B,M,CA002,2022-08-20 13:44:15.840000,,1,,mujgan.saglam,2022-08-09 08:57:43.080000,uretim,2022-08-15 07:52:50.897000,,,18,,
2283,2022-08-10 09:07:17.987000,"",118891,B,M,CA002,2022-08-20 13:46:34.080000,,2,,mujgan.saglam,2022-08-10 09:07:17.993000,uretim,2022-09-01 10:38:00.440000,,,19,,
2287,2022-08-10 10:13:56.757000,"",119318,,M,CA002,2022-08-20 13:48:52.320000,,3,,mujgan.saglam,2022-08-10 10:13:56.760000,mujgan.saglam,2022-08-10 10:54:42.727000,,,20,,
2320,2022-08-19 16:19:22.060000,,112513,B,M,CA002,2022-08-31 14:09:35.120000,,1,,mujgan.saglam,2022-08-19 16:19:22.073000,uretim,2022-08-24 08:02:50.120000,,,21,,
2327,2022-08-22 10:24:50.080000,,119259,B,M,CA002,2022-08-31 14:13:37.040000,,1,,mehmet.sari,2022-08-22 10:24:50.080000,uretim,2022-08-31 17:16:42.357000,,,22,,
2344,2022-08-24 16:34:21.580000,"",105394,B,M,CA002,2022-09-30 14:23:24.160000,,1,,mehmet.sari,2022-08-24 16:34:21.583000,uretim,2022-09-06 14:00:03.070000,,,23,,
