FisNo,FisHarinx,SKod,RKod,BedKod,Miktar,Birim,SatTar,SatFatNo,Magaza,MKod,Notss,Hareketinx,TeslimTar,kgid,insUN,insDT,insApp,updUN,updDT,updApp
6,3,100008,194,158,2.0000000000,CIFT,2023-12-06 00:00:00,,,,,3,,3,Samet,2023-12-06 15:15:20.947000,KG-Shope,Samet,2024-02-28 12:02:26.950000,KGShop
7,4,100008,194,158,1.0000000000,CIFT,2023-12-06 00:00:00,,,,,4,,4,Samet,2023-12-06 15:27:22.730000,KG-Shope,Samet,2023-12-06 15:27:22.730000,KG-Shope
1003,1003,100001,96,149,1.0000000000,CIFT,2023-12-11 00:00:00,,,,,1003,,1003,Samet,2023-12-11 10:32:48.977000,,Samet,2023-12-11 10:32:48.983000,
1004,1004,100001,96,148,1.0000000000,CIFT,2023-12-11 00:00:00,,,,,1004,,1004,Samet,2023-12-11 10:33:02.313000,,Samet,2023-12-11 10:33:02.313000,
1005,1005,100001,126,150,1.0000000000,CIFT,2024-01-28 00:00:00,,,,,1005,,1005,Samet,2024-02-28 12:02:45.360000,KGShop,Samet,2024-02-28 12:03:10.187000,KGShop
1006,1006,107947,194,158,1.0000000000,CIFT,2024-03-15 00:00:00,,01,,,1006,,1006,Guray,2024-03-15 12:08:18.070000,KGShop,Guray,2024-03-15 12:08:18.090000,KGShop
1007,1007,100001,96,150,1.0000000000,CIFT,2024-10-17 00:00:00,,,,,1007,,1007,Samet,2024-10-17 15:06:45.980000,KGShop,Samet,2024-10-17 15:06:46.020000,KGShop
1008,1008,100001,96,148,1.0000000000,CIFT,2024-10-17 00:00:00,,,,,1008,,1008,Samet,2024-10-17 15:07:02.200000,KGShop,Samet,2024-10-17 15:07:02.200000,KGShop
1009,1009,100002,126,152,1.0000000000,CIFT,2024-10-22 00:00:00,,,,,1009,,1009,Samet,2024-10-22 14:42:39.580000,KGShop,Samet,2024-10-22 14:42:39.600000,KGShop
1010,1010,100002,126,149,1.0000000000,CIFT,2024-10-24 00:00:00,,02,,,1010,,1010,Samet,2024-10-24 14:42:23.753000,KGShop,Samet,2024-10-24 14:42:23.780000,KGShop
1010,1011,100003,739,150,1.0000000000,CIFT,2024-10-24 00:00:00,,02,,,1011,,1011,Samet,2024-10-24 14:42:23.783000,KGShop,Samet,2024-10-24 14:42:23.790000,KGShop
