KFisNo,KFisHarInx,Skod,Rkod,BedKod,FisNo,FisHarInx,Miktar,kgid,insUN,insDT,insApp,updUN,updDT,updApp
0,0,100001,96,147,36596,121901,1.0000000000,562,harun,2025-02-19 14:20:41.430000,,,,
0,0,100001,96,147,36597,121902,1.0000000000,563,harun,2025-02-19 14:21:45.510000,,,,
0,0,102139,1797,148,32322,110777,3.0000000000,19,,,,,,
0,0,102139,1805,148,32322,110777,1.0000000000,23,,,,,,
0,0,113792,2680,148,32322,110778,4.0000000000,279,,,,,,
0,0,113792,2812,148,32322,110778,1.0000000000,283,,,,,,
0,0,113564,1858,148,32322,110779,1.0000000000,272,,,,,,
0,0,112850,2345,149,32210,110252,1.0000000000,193,,,,,,
0,0,102139,1797,149,32322,110777,11.0000000000,20,,,,,,
0,0,102139,1805,149,32322,110777,1.0000000000,24,,,,,,
0,0,113792,2680,149,32322,110778,3.0000000000,280,,,,,,
0,0,113792,2812,149,32322,110778,1.0000000000,284,,,,,,
0,0,113564,1858,149,32322,110779,1.0000000000,273,,,,,,
0,0,113564,6260,149,32322,110779,5.0000000000,275,,,,,,
0,0,102143,2236,149,32327,110805,4.0000000000,28,,,,,,
0,0,102139,1797,150,32322,110777,3.0000000000,21,,,,,,
0,0,102139,1805,150,32322,110777,2.0000000000,25,,,,,,
0,0,113792,2680,150,32322,110778,1.0000000000,281,,,,,,
0,0,113564,6260,150,32322,110779,3.0000000000,276,,,,,,
0,0,112850,2345,151,32210,110252,1.0000000000,194,,,,,,
0,0,102139,1797,151,32322,110777,1.0000000000,22,,,,,,
0,0,102139,1805,151,32322,110777,2.0000000000,26,,,,,,
0,0,113792,2680,151,32322,110778,1.0000000000,282,,,,,,
0,0,113792,2812,151,32322,110778,2.0000000000,285,,,,,,
0,0,113564,6260,151,32322,110779,6.0000000000,277,,,,,,
0,0,113326,1858,151,32322,110780,2.0000000000,271,,,,,,
0,0,102139,1805,152,32322,110777,3.0000000000,27,,,,,,
0,0,113792,2812,152,32322,110778,1.0000000000,286,,,,,,
0,0,113564,1858,152,32322,110779,1.0000000000,274,,,,,,
0,0,113564,6260,152,32322,110779,2.0000000000,278,,,,,,
0,0,113286,1860,155,32390,111156,1.0000000000,215,,,,,,
0,0,113288,2236,155,32390,111157,1.0000000000,239,,,,,,
0,0,113297,1751,155,32390,111162,1.0000000000,246,,,,,,
0,0,113297,3387,155,32390,111162,1.0000000000,262,,,,,,
0,0,113286,1860,155,32391,111165,1.0000000000,216,,,,,,
0,0,113288,2236,155,32391,111166,1.0000000000,240,,,,,,
0,0,113297,1751,155,32391,111171,1.0000000000,247,,,,,,
0,0,113297,3387,155,32391,111171,1.0000000000,263,,,,,,
0,0,113286,2236,155,32408,111306,1.0000000000,219,,,,,,
0,0,119870,1780,156,32201,110227,1.0000000000,463,,,,,,
0,0,118414,7284,156,32201,110228,1.0000000000,456,,,,,,
0,0,102639,6910,156,32218,110284,2.0000000000,47,,,,,,
0,0,102639,6911,156,32218,110284,2.0000000000,69,,,,,,
0,0,102639,6912,156,32218,110284,2.0000000000,91,,,,,,
