UserName,CatalogName,AccessKi,ReadLoc,WriteLoc,DBName
2524,ECEDEN,AO,,,TANCA
2524,ECEDEN,BC,,,TANCA
2524,ECEDEN,BY,,,TANCA
2524,ECEDEN,DA,,,TANCA
2524,ECEDEN,DB,,,TANCA
2524,ECEDEN,DE,,,TANCA
2524,ECEDEN,GG,,,TANCA
2524,ECEDEN,GO,,,TANCA
2524,ECEDEN,HF,,,TANCA
2524,ECEDEN,KF,,,TANCA
2524,ECEDEN,KG,,,TANCA
2524,ECEDEN,KT,,,TANCA
2524,ECEDEN,MO,,,TANCA
2524,ECEDEN,NO,,,TANCA
2524,ECEDEN,NT,,,TANCA
2524,ECEDEN,SA,,,TANCA
2524,ECEDEN,SV,,,TANCA
4693,ECEDEN,AO,,,TANCA
4693,ECEDEN,BC,,,TANCA
4693,ECEDEN,BY,,,TANCA
4693,ECEDEN,DA,,,TANCA
4693,ECEDEN,DB,,,TANCA
4693,ECEDEN,DE,,,TANCA
4693,ECEDEN,GG,,,TANCA
4693,ECEDEN,GO,,,TANCA
4693,ECEDEN,HF,,,TANCA
4693,ECEDEN,KF,,,TANCA
4693,ECEDEN,KG,,,TANCA
4693,ECEDEN,KT,,,TANCA
4693,ECEDEN,MO,,,TANCA
4693,ECEDEN,NO,,,TANCA
4693,ECEDEN,NT,,,TANCA
4693,ECEDEN,SA,,,TANCA
4693,ECEDEN,SV,,,TANCA
k,ECEDEN,AO,,,TANCA
k,ECEDEN,BC,,,TANCA
k,ECEDEN,BY,,,TANCA
k,ECEDEN,DA,,,TANCA
k,ECEDEN,DB,,,TANCA
k,ECEDEN,DE,,,TANCA
k,ECEDEN,GG,,,TANCA
k,ECEDEN,GO,,,TANCA
k,ECEDEN,HF,,,TANCA
k,ECEDEN,KF,,,TANCA
k,ECEDEN,KG,,,TANCA
k,ECEDEN,KT,,,TANCA
k,ECEDEN,MO,,,TANCA
k,ECEDEN,NO,,,TANCA
k,ECEDEN,NT,,,TANCA
k,ECEDEN,SA,,,TANCA
k,ECEDEN,SV,,,TANCA
k,TANCA,AO,,,TANCA
k,TANCA,BC,,,TANCA
k,TANCA,BY,,,TANCA
k,TANCA,DA,,,TANCA
k,TANCA,DB,,,TANCA
k,TANCA,DE,,,TANCA
k,TANCA,GG,,,TANCA
k,TANCA,GO,,,TANCA
k,TANCA,HF,,,TANCA
k,TANCA,KF,,,TANCA
k,TANCA,KG,,,TANCA
k,TANCA,KT,,,TANCA
k,TANCA,MO,,,TANCA
k,TANCA,NO,,,TANCA
k,TANCA,NT,,,TANCA
k,TANCA,SA,,,TANCA
k,TANCA,SV,,,TANCA
TULEZ,ECEDEN,AO,,,TANCA
TULEZ,ECEDEN,BC,,,TANCA
TULEZ,ECEDEN,BY,,,TANCA
TULEZ,ECEDEN,DA,,,TANCA
TULEZ,ECEDEN,DB,,,TANCA
TULEZ,ECEDEN,DE,,,TANCA
TULEZ,ECEDEN,GG,,,TANCA
TULEZ,ECEDEN,GO,,,TANCA
TULEZ,ECEDEN,HF,,,TANCA
TULEZ,ECEDEN,KF,,,TANCA
TULEZ,ECEDEN,KG,,,TANCA
TULEZ,ECEDEN,KT,,,TANCA
TULEZ,ECEDEN,MO,,,TANCA
TULEZ,ECEDEN,NO,,,TANCA
TULEZ,ECEDEN,NT,,,TANCA
TULEZ,ECEDEN,SA,,,TANCA
TULEZ,ECEDEN,SV,,,TANCA
websrvc,TANCA,AO,,,TANCA
websrvc,TANCA,BC,,,TANCA
websrvc,TANCA,BY,,,TANCA
websrvc,TANCA,DA,,,TANCA
websrvc,TANCA,DB,,,TANCA
websrvc,TANCA,DE,,,TANCA
websrvc,TANCA,GG,,,TANCA
websrvc,TANCA,GO,,,TANCA
websrvc,TANCA,HF,,,TANCA
websrvc,TANCA,KF,,,TANCA
websrvc,TANCA,KG,,,TANCA
websrvc,TANCA,KT,,,TANCA
websrvc,TANCA,MO,,,TANCA
websrvc,TANCA,NO,,,TANCA
websrvc,TANCA,NT,,,TANCA
websrvc,TANCA,SA,,,TANCA
websrvc,TANCA,SV,,,TANCA
