BankaKod,Tanim,www,OzKod1,OzKod2,insUN,insDT,updUN,updDT,KLimit,LParaCinsi,Pasif,kgid,insApp,updApp
aaa,aaa,,,,gulsah,2024-03-28 16:56:29.970000,,,,,,16,KGShop,
ABC,ABC,,,,gulsah,2024-03-27 23:39:06.793000,,,,,,12,KGShop,
ABD,UNITED STATES FEDERAL BANK,,,,Samet,2023-12-18 18:48:07.407000,,,,,,10,KG-Shope,
AKB,Ak Bank,,,,Orbital,2020-01-15 15:13:50.343000,Orbital,2020-01-15 15:13:50.343000,,,,1,,
AND,Anadolubank ,,,,emine.kuscu,2020-01-21 08:36:04.547000,emine.kuscu,2020-01-21 08:36:04.547000,,,,2,,
CCC,CCC,,,,gulsah,2024-03-27 23:41:36.653000,,,,,,13,KGShop,
DNB,Deniz Bank,,,,Orbital,2020-01-15 15:13:50.337000,Orbital,2020-01-15 15:13:50.337000,,,,3,,
DNM,DENEME,,,,gulsah,2024-02-18 01:47:50.953000,,,,,,11,KGShop,
GAR,Garanti Bankası,www.garanti.com.tr,,,Orbital,2020-01-15 15:13:50.330000,Orbital,2020-01-15 15:13:50.333000,,,,4,,
HHH,HHHHHH,,,,harun,2024-06-04 11:46:08.430000,harun,2024-06-04 11:46:30.760000,,TL, ,17,KGShop,KGShop
HLK,Halk Bankası,,,,Orbital,2020-01-15 15:13:50.343000,Orbital,2020-01-15 15:13:50.343000,,,,5,,
HYR,HAYDARBANK,,,,k,2024-03-28 16:49:18.213000,,,,,,14,KGShop,
ISB,İş Bankası,,,,Orbital,2020-01-15 15:13:50.333000,Orbital,2020-01-15 15:13:50.333000,,,,6,,
KYT,Kuveyt Türk,,,,k,2024-03-28 16:51:00.040000,,,,,,15,KGShop,
VKF,Vakıfbank ,,,,emine.kuscu,2020-01-22 13:31:21.690000,emine.kuscu,2020-01-22 13:31:21.690000,,,,7,,
YKB,Yapı ve Kredi Bankası,,,,emine.kuscu,2020-01-20 15:32:49.070000,emine.kuscu,2020-01-20 15:32:49.070000,,,,8,,
ZER,Ziraat Bankası,,,,Orbital,2020-01-15 15:13:50.337000,Orbital,2020-01-15 15:13:50.337000,,,,9,,
