SKod,RKod,BedKod,FisTar,Fiyat,ParaCinsi,Birim,FisNo,Modul,iskMuh,iskonto,iskontoTut,FisHarinx,Opti,Kullanici,kgid,insUN,insDT,insApp,updUN,updDT,updApp
ARS01,1,21,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,736,SA,KgShop-WEB-32820-L,1,,,,,,
CS320,1,2,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,2,,,,,,
CS320,1,3,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,3,,,,,,
CS320,1,4,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,4,,,,,,
CS320,1,5,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,5,,,,,,
CS320,1,6,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,6,,,,,,
CS320,6,2,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,7,,,,,,
CS320,6,3,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,8,,,,,,
CS320,6,4,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,9,,,,,,
CS320,6,5,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,10,,,,,,
CS320,6,6,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,11,,,,,,
CS320,8,2,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,12,,,,,,
CS320,8,3,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,13,,,,,,
CS320,8,4,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,14,,,,,,
CS320,8,5,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,15,,,,,,
CS320,11,2,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,16,,,,,,
CS320,11,3,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,17,,,,,,
CS320,11,4,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,18,,,,,,
CS320,11,5,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,19,,,,,,
CS320,11,6,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,20,,,,,,
CS320,17,2,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,21,,,,,,
CS320,17,3,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,22,,,,,,
CS320,17,4,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,23,,,,,,
CS320,17,5,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,24,,,,,,
CS320,17,6,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1056,SA,KgShop-WEB-32820-L,25,,,,,,
DRG1190,6,4,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1049,SA,KgShop-WEB-221001.0438-12632-L,26,,,,,,
DRG1190,6,4,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1049,SA,KgShop-WEB-32820-L,27,,,,,,
DRG1190,10,2,2024-05-15 17:24:47,300.0000000000,TL,Çift,14676,F,,0E-10,0E-10,88627,SA,KgShop-WEB-221001.0438-12632-L,28,,,,,,
DRG1190,10,3,2024-05-15 17:24:47,300.0000000000,TL,Çift,14676,F,,0E-10,0E-10,88627,SA,KgShop-WEB-221001.0438-12632-L,29,,,,,,
DRG1190,10,3,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1049,SA,KgShop-WEB-32820-L,30,,,,,,
DRG1190,10,4,2024-05-15 17:24:47,300.0000000000,TL,Çift,14676,F,,0E-10,0E-10,88627,SA,KgShop-WEB-221001.0438-12632-L,31,,,,,,
DRG1190,10,5,2024-05-15 17:24:47,300.0000000000,TL,Çift,14676,F,,0E-10,0E-10,88627,SA,KgShop-WEB-221001.0438-12632-L,32,,,,,,
DRG1190,10,5,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1049,SA,KgShop-WEB-32820-L,33,,,,,,
DRG1190,10,6,2024-05-15 17:24:47,300.0000000000,TL,Çift,14676,F,,0E-10,0E-10,88627,SA,KgShop-WEB-221001.0438-12632-L,34,,,,,,
DRG1190,39,2,2022-12-05 13:55:12,0E-10,TL,Çift,408,F,,0E-10,0E-10,9527,SA,KgShop-WEB-221001.0438-12632-L,35,,,,,,
DRG1190,39,2,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1049,SA,KgShop-WEB-32820-L,36,,,,,,
DRG1190,39,3,2022-12-16 20:46:43,0E-10,TL,Çift,167,S,,0E-10,0E-10,3118,SA,KgShop-WEB-221001.0438-12632-L,37,,,,,,
DRG1190,39,3,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1049,SA,KgShop-WEB-32820-L,38,,,,,,
DRG1190,39,4,2022-11-17 19:58:46,0E-10,TL,Çift,92,S,,0E-10,0E-10,1598,SA,KgShop-WEB-221001.0438-12632-L,39,,,,,,
DRG1190,39,4,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1049,SA,KgShop-WEB-32820-L,40,,,,,,
DRG1190,39,5,2022-11-17 19:58:46,0E-10,TL,Çift,92,S,,0E-10,0E-10,1598,SA,KgShop-WEB-221001.0438-12632-L,41,,,,,,
DRG1190,39,5,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1049,SA,KgShop-WEB-32820-L,42,,,,,,
DRG1190,39,6,2022-11-26 13:38:45,0E-10,TL,Çift,275,F,,0E-10,0E-10,6945,SA,KgShop-WEB-221001.0438-12632-L,43,,,,,,
DRG1190,39,6,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,1049,SA,KgShop-WEB-32820-L,44,,,,,,
LN1RCNG355,4,31,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,45,,,,,,
LN1RCNG355,4,32,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,46,,,,,,
LN1RCNG355,4,34,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,47,,,,,,
LN1RCNG355,4,35,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,48,,,,,,
LN1RCNG355,4,36,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,49,,,,,,
LN1RCNG355,4,37,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,50,,,,,,
LN1RCNG355,4,38,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,51,,,,,,
LN1RCNG355,6,31,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,52,,,,,,
LN1RCNG355,6,32,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,53,,,,,,
LN1RCNG355,6,33,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,54,,,,,,
LN1RCNG355,6,35,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,55,,,,,,
LN1RCNG355,6,36,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,56,,,,,,
LN1RCNG355,6,39,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,57,,,,,,
LN1RCNG355,11,31,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,58,,,,,,
LN1RCNG355,11,32,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,59,,,,,,
LN1RCNG355,11,33,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,60,,,,,,
LN1RCNG355,11,35,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,61,,,,,,
LN1RCNG355,11,36,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,62,,,,,,
LN1RCNG355,11,38,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,63,,,,,,
LN1RCNG355,11,39,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,64,,,,,,
LN1RCNG355,13,31,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,65,,,,,,
LN1RCNG355,13,32,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,66,,,,,,
LN1RCNG355,13,35,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,67,,,,,,
LN1RCNG355,13,36,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,68,,,,,,
LN1RCNG355,13,37,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,69,,,,,,
LN1RCNG355,91,31,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,70,,,,,,
LN1RCNG355,91,32,2022-10-22 19:14:46,0E-10,TL,Çift,11,S,,0E-10,0E-10,616,SA,KgShop-WEB-32820-L,71,,,,,,
