STOK_Tip,Tanim,kgid,insUN,insDT,insApp,updUN,updDT,updApp
Babet,Babet,1,,,,,,
Bot & Bootie,Bot & Bootie,2,,,,,,
Casual,Casual,13,,,,,,
Çizme,Çizme,3,,,,,,
Espadril,Espadril,14,MUAZ,2025-01-28 15:20:38.410000,KGShop,MUAZ,2025-01-28 15:21:15.347000,KGShop
Günlük Ayakkabı,Günlük Ayakkabı,4,,,,,,
Kosu Ayakkabisi,Kosu,5,,,,,,
Loafer,Loafer,6,,,,,,
Omuz Çantası,Omuz Çantası,7,,,,,,
Sandalet,Sandalet,8,,,,,,
Sneaker,Sneaker,9,,,,,,
Stiletto,Stiletto,10,,,,,,
Terlik,Terlik,11,,,,,,
Topuklu Ayakkab,Topuklu Ayakkab,12,,,,,,
