Tarih,DOV_KOD,DOV_BazKOD,carpan,kgid,insUN,insDT,insApp,updUN,updDT,updApp
2007-06-10,EU,YTL,1.790000,1,,,,,,
2007-06-10,US,YTL,1.330000,2,,,,,,
2007-06-11,EU,YTL,1.810000,3,,,,,,
2007-06-11,US,YTL,1.340000,4,,,,,,
2007-07-17,EU,YTL,1.700000,5,,,,,,
2007-07-17,US,YTL,1.200000,6,,,,,,
2007-07-20,US,YTL,1.300000,7,,,,,,
2007-07-23,US,YTL,1.300000,8,,,,,,
2007-10-16,EU,YTL,1.704000,9,,,,,,
2007-10-16,US,YTL,1.201000,10,,,,,,
2007-10-17,EU,YTL,1.700000,11,,,,,,
2007-10-17,US,YTL,1.200000,12,,,,,,
2008-03-30,EU,YTL,1.900000,13,,,,,,
2008-03-30,US,YTL,1.280000,14,,,,,,
2008-04-01,EU,YTL,2.150000,15,,,,,,
2008-04-01,US,YTL,1.350000,16,,,,,,
2008-05-02,EU,YTL,2.010000,17,,,,,,
2008-05-02,US,YTL,1.290000,18,,,,,,
2008-06-13,EU,YTL,1.820000,19,,,,,,
2008-06-13,US,YTL,1.270000,20,,,,,,
2008-06-14,EU,YTL,1.840000,21,,,,,,
2008-06-14,US,YTL,1.250000,22,,,,,,
2008-10-10,EU,YTL,1.890000,23,,,,,,
2008-10-10,EUR,YTL,1.830000,24,,,,,,
2008-10-10,US,YTL,1.380000,25,,,,,,
2008-10-10,USD,YTL,1.340000,26,,,,,,
2008-10-11,EUR,YTL,1.890000,27,,,,,,
2008-10-11,USD,YTL,1.350000,28,,,,,,
2008-10-29,EUR,YTL,2.010000,29,,,,,,
2008-10-29,USD,YTL,1.650000,30,,,,,,
2008-12-01,EUR,YTL,2.100000,31,,,,,,
2008-12-01,USD,YTL,1.690000,32,,,,,,
2008-12-25,EUR,YTL,2.100000,33,,,,,,
2008-12-25,USD,YTL,1.520000,34,,,,,,
2009-01-02,EUR,YTL,2.200000,35,,,,,,
2009-01-02,USD,YTL,1.580000,36,,,,,,
2009-03-03,EUR,YTL,2.200000,37,,,,,,
2009-03-03,USD,YTL,1.710000,38,,,,,,
2009-03-10,EUR,YTL,2.200000,39,,,,,,
2009-03-10,USD,YTL,1.810000,40,,,,,,
2009-03-16,EUR,YTL,2.212300,41,,,,,,
2009-03-16,USD,YTL,1.713400,42,,,,,,
2009-04-29,EUR,YTL,1.620000,43,,,,,,
2009-04-29,USD,YTL,2.010000,44,,,,,,
2010-07-01,EUR,YTL,1.970000,45,,,,,,
2010-07-01,USD,YTL,1.580000,46,,,,,,
2010-10-27,EUR,YTL,1.930000,47,,,,,,
2010-10-27,TL,YTL,1.000000,48,,,,,,
2010-10-27,USD,YTL,1.420000,49,,,,,,
2010-11-11,EU,TL,1.948600,50,,,,,,
2010-11-11,US,TL,1.413800,51,,,,,,
2010-11-12,EU,TL,1.951000,52,,,,,,
2010-11-12,US,TL,1.421000,53,,,,,,
2010-11-13,EU,TL,1.962400,54,,,,,,
2010-11-13,US,TL,1.434900,55,,,,,,
2010-11-14,EU,TL,1.962400,56,,,,,,
2010-11-14,US,TL,1.434900,57,,,,,,
2010-11-23,EU,TL,1.978100,58,,,,,,
2010-11-23,US,TL,1.442900,59,,,,,,
2010-11-24,EU,TL,1.910000,60,,,,,,
2010-11-24,US,TL,1.420000,61,,,,,,
2010-12-30,EU,TL,2.053600,62,,,,,,
2010-12-30,US,TL,1.564200,63,,,,,,
2011-01-04,EU,TL,2.070500,64,,,,,,
2011-01-04,US,TL,1.555100,65,,,,,,
2011-01-05,EU,TL,2.077700,66,,,,,,
2011-01-05,US,TL,1.551900,67,,,,,,
2011-01-06,EU,TL,2.010000,68,,,,,,
2011-01-06,US,TL,1.560000,69,,,,,,
2011-01-07,EU,TL,2.029800,70,,,,,,
2011-01-07,US,TL,1.547600,71,,,,,,
2011-01-10,EU,TL,2.031800,72,,,,,,
2011-01-10,US,TL,1.564600,73,,,,,,
2011-01-11,EU,TL,2.046300,74,,,,,,
2011-01-11,US,TL,1.585400,75,,,,,,
2011-01-14,EU,TL,2.051500,76,,,,,,
2011-01-14,US,TL,1.558900,77,,,,,,
2011-01-17,EU,TL,2.074300,78,,,,,,
2011-01-17,US,TL,1.550300,79,,,,,,
2011-01-22,EU,TL,2.134300,80,,,,,,
2011-01-22,US,TL,1.576900,81,,,,,,
2011-01-24,EU,TL,2.134300,82,,,,,,
2011-01-24,US,TL,1.576900,83,,,,,,
2011-02-03,EU,TL,2.181200,84,,,,,,
2011-02-03,US,TL,1.578300,85,,,,,,
2011-02-14,EU,TL,2.159800,86,,,,,,
2011-02-14,US,TL,1.596300,87,,,,,,
2011-02-15,EU,TL,2.142800,88,,,,,,
2011-02-15,US,TL,1.591600,89,,,,,,
2011-02-16,EU,TL,2.158600,90,,,,,,
2011-02-16,US,TL,1.596000,91,,,,,,
2011-02-19,EU,TL,2.146300,92,,,,,,
2011-02-19,US,TL,1.580700,93,,,,,,
2011-02-25,EU,TL,2.214600,94,,,,,,
2011-02-25,US,TL,1.608500,95,,,,,,
2011-03-02,EU,TL,2.220400,96,,,,,,
2011-03-02,US,TL,1.605700,97,,,,,,
2011-03-03,EU,TL,2.232600,98,,,,,,
2011-03-03,US,TL,1.617000,99,,,,,,
2011-03-04,EU,TL,2.233100,100,,,,,,
2011-03-04,US,TL,1.611800,101,,,,,,
2011-03-08,EU,TL,2.244700,102,,,,,,
2011-03-08,US,TL,1.601900,103,,,,,,
2011-03-10,EU,TL,2.206900,104,,,,,,
2011-03-10,US,TL,1.587600,105,,,,,,
2011-03-16,EU,TL,2.199600,106,,,,,,
2011-03-16,US,TL,1.583000,107,,,,,,
2011-03-17,EU,TL,2.209700,108,,,,,,
2011-03-17,US,TL,1.583800,109,,,,,,
2011-03-20,EU,TL,2.233600,110,,,,,,
2011-03-20,US,TL,1.583300,111,,,,,,
2011-03-22,EU,TL,2.234500,112,,,,,,
2011-03-22,US,TL,1.576900,113,,,,,,
2011-03-23,EU,TL,1.590000,114,,,,,,
2011-03-23,US,TL,2.010000,115,,,,,,
2011-03-25,EU,TL,2.194800,116,,,,,,
2011-03-25,US,TL,1.554500,117,,,,,,
2011-03-29,EU,TL,2.186800,118,,,,,,
2011-03-29,US,TL,1.556000,119,,,,,,
2011-04-02,EU,TL,2.184400,120,,,,,,
2011-04-02,US,TL,1.543400,121,,,,,,
2011-04-05,EU,TL,2.183800,122,,,,,,
2011-04-05,US,TL,1.535300,123,,,,,,
2011-04-12,EU,TL,2.186000,124,,,,,,
2011-04-12,US,TL,1.512600,125,,,,,,
2011-04-15,EU,TL,2.197600,126,,,,,,
2011-04-15,US,TL,1.521900,127,,,,,,
2011-04-28,EU,TL,2.010000,128,,,,,,
2011-04-28,US,TL,1.510000,129,,,,,,
2011-05-03,EU,TL,2.253700,130,,,,,,
2011-05-03,US,TL,1.520000,131,,,,,,
2011-05-04,EU,TL,2.263500,132,,,,,,
2011-05-04,US,TL,1.530000,133,,,,,,
2011-05-12,EU,TL,2.263800,134,,,,,,
2011-05-12,US,TL,1.574300,135,,,,,,
2011-05-13,EU,TL,2.251000,136,,,,,,
2011-05-13,US,TL,1.587800,137,,,,,,
2011-05-17,EU,TL,2.253000,138,,,,,,
2011-05-17,US,TL,1.594600,139,,,,,,
2011-05-18,EU,TL,2.249100,140,,,,,,
2011-05-18,US,TL,1.585800,141,,,,,,
2011-05-19,EU,TL,2.254700,142,,,,,,
2011-05-19,US,TL,1.581900,143,,,,,,
2011-05-24,EU,TL,2.251400,144,,,,,,
2011-05-24,US,TL,1.607800,145,,,,,,
2011-05-25,EU,TL,2.254700,146,,,,,,
2011-05-25,US,TL,1.601100,147,,,,,,
2011-05-28,EU,TL,2.289600,148,,,,,,
2011-05-28,US,TL,1.608000,149,,,,,,
2011-06-01,EU,TL,2.295400,150,,,,,,
2011-06-01,US,TL,1.593500,151,,,,,,
2011-06-02,EU,TL,2.292800,152,,,,,,
2011-06-02,US,TL,1.590200,153,,,,,,
2011-06-06,EU,TL,2.296000,154,,,,,,
2011-06-06,US,TL,1.584900,155,,,,,,
2011-06-07,EU,TL,2.309100,156,,,,,,
2011-06-07,US,TL,1.579400,157,,,,,,
2011-06-10,EU,TL,2.310100,158,,,,,,
2011-06-10,US,TL,1.580400,159,,,,,,
2011-06-21,EU,TL,2.291300,160,,,,,,
2011-06-21,US,TL,1.610300,161,,,,,,
2011-06-24,EU,TL,2.315100,162,,,,,,
2011-06-24,US,TL,1.626100,163,,,,,,
2011-06-25,EU,TL,2.322000,164,,,,,,
2011-06-25,US,TL,1.631100,165,,,,,,
2011-06-29,EU,TL,2.341500,166,,,,,,
2011-06-29,US,TL,1.640300,167,,,,,,
2011-07-04,EU,TL,2.343500,168,,,,,,
2011-07-04,US,TL,1.615100,169,,,,,,
2011-07-09,EU,TL,2.317400,170,,,,,,
2011-07-09,US,TL,1.622800,171,,,,,,
2011-07-10,EU,TL,2.317400,172,,,,,,
2011-07-10,US,TL,1.622800,173,,,,,,
2011-07-14,EU,TL,2.321300,174,,,,,,
2011-07-14,US,TL,1.649800,175,,,,,,
2011-07-21,EU,TL,2.353900,176,,,,,,
2011-07-21,US,TL,1.657700,177,,,,,,
2011-07-23,EU,TL,2.412900,178,,,,,,
2011-07-23,US,TL,1.674900,179,,,,,,
2011-07-25,EU,TL,2.412900,180,,,,,,
2011-07-25,US,TL,1.674900,181,,,,,,
2011-08-09,EU,TL,2.496400,182,,,,,,
2011-08-09,US,TL,1.746200,183,,,,,,
2011-08-10,EU,TL,2.526000,184,,,,,,
2011-08-10,US,TL,1.772600,185,,,,,,
2011-08-16,EU,TL,2.534100,186,,,,,,
2011-08-16,US,TL,1.771600,187,,,,,,
2011-08-17,EU,TL,2.559300,188,,,,,,
2011-08-17,US,TL,1.779900,189,,,,,,
2011-08-26,EU,TL,2.556100,190,,,,,,
2011-08-26,US,TL,1.770000,191,,,,,,
2011-09-07,EU,TL,2.170000,192,,,,,,
2011-09-07,US,TL,1.730000,193,,,,,,
2011-09-08,EU,TL,2.466500,194,,,,,,
2011-09-08,US,TL,1.754400,195,,,,,,
2011-09-09,EU,TL,2.485000,196,,,,,,
2011-09-09,US,TL,1.767700,197,,,,,,
2011-09-12,EU,TL,2.457800,198,,,,,,
2011-09-12,US,TL,1.775600,199,,,,,,
2011-09-15,EU,TL,2.424400,200,,,,,,
2011-09-15,US,TL,1.772200,201,,,,,,
2011-09-27,EU,TL,2.494200,202,,,,,,
2011-09-27,US,TL,1.851400,203,,,,,,
2011-10-01,EU,TL,2.512800,204,,,,,,
2011-10-01,US,TL,1.860100,205,,,,,,
2011-10-04,EU,TL,2.491200,206,,,,,,
2011-10-04,US,TL,1.865800,207,,,,,,
2011-10-05,EU,TL,2.410000,208,,,,,,
2011-10-05,US,TL,1.910000,209,,,,,,
2011-10-10,EU,TL,2.477300,210,,,,,,
2011-10-10,US,TL,1.843100,211,,,,,,
2011-10-12,EU,TL,2.505400,212,,,,,,
2011-10-12,US,TL,1.839200,213,,,,,,
2011-10-28,EU,TL,2.467300,214,,,,,,
2011-10-28,US,TL,1.760000,215,,,,,,
2011-11-01,EU,TL,2.456900,216,,,,,,
2011-11-01,US,TL,1.754200,217,,,,,,
2011-11-02,EU,TL,2.456900,218,,,,,,
2011-11-02,US,TL,1.794800,219,,,,,,
2011-11-10,EU,TL,2.421900,220,,,,,,
2011-11-10,US,TL,1.752600,221,,,,,,
2011-11-12,EU,TL,2.427600,222,,,,,,
2011-11-12,US,TL,1.778600,223,,,,,,
2011-11-15,EU,TL,2.435200,224,,,,,,
2011-11-15,US,TL,1.780000,225,,,,,,
2011-11-24,EU,TL,2.499400,226,,,,,,
2011-11-24,US,TL,1.864000,227,,,,,,
2011-12-08,EU,TL,2.454700,228,,,,,,
2011-12-08,US,TL,1.831300,229,,,,,,
2011-12-12,EU,TL,2.470600,230,,,,,,
2011-12-12,US,TL,1.848000,231,,,,,,
2011-12-14,EU,TL,2.464600,232,,,,,,
2011-12-14,US,TL,1.867800,233,,,,,,
2011-12-19,EU,TL,2.449200,234,,,,,,
2011-12-19,US,TL,1.878500,235,,,,,,
2011-12-21,EU,TL,2.479100,236,,,,,,
2011-12-21,US,TL,1.898400,237,,,,,,
2011-12-23,EU,TL,2.467300,238,,,,,,
2011-12-23,US,TL,1.887000,239,,,,,,
2011-12-24,EU,TL,2.470200,240,,,,,,
2011-12-24,US,TL,1.890000,241,,,,,,
2011-12-26,EU,TL,2.470200,242,,,,,,
2011-12-26,US,TL,1.890000,243,,,,,,
2011-12-29,EU,TL,2.482100,244,,,,,,
2011-12-29,US,TL,1.898800,245,,,,,,
2012-01-10,EU,TL,2.388200,246,,,,,,
2012-01-10,US,TL,1.871800,247,,,,,,
2012-01-11,EU,TL,2.393100,248,,,,,,
2012-01-11,US,TL,1.871400,249,,,,,,
2012-01-12,EU,TL,2.372300,250,,,,,,
2012-01-12,US,TL,1.862700,251,,,,,,
2012-01-14,EU,TL,2.372500,252,,,,,,
2012-01-14,US,TL,1.851600,253,,,,,,
2012-01-23,EU,TL,2.363600,254,,,,,,
2012-01-23,US,TL,1.829700,255,,,,,,
2012-01-30,EU,TL,2.342600,256,,,,,,
2012-01-30,US,TL,1.784300,257,,,,,,
2012-02-02,EU,TL,2.321000,258,,,,,,
2012-02-02,US,TL,1.768100,259,,,,,,
2012-02-03,EU,TL,2.320000,260,,,,,,
2012-02-03,US,TL,1.850000,261,,,,,,
2012-02-07,EU,TL,2.303300,262,,,,,,
2012-02-07,US,TL,1.764200,263,,,,,,
2012-02-11,EU,TL,2.332800,264,,,,,,
2012-02-11,US,TL,1.762600,265,,,,,,
2012-02-12,EU,TL,2.332800,266,,,,,,
2012-02-12,US,TL,1.762600,267,,,,,,
2012-02-14,EU,TL,2.328500,268,,,,,,
2012-02-14,US,TL,1.756000,269,,,,,,
2012-02-16,EU,TL,2.315300,270,,,,,,
2012-02-16,US,TL,1.760300,271,,,,,,
2012-02-24,EU,TL,2.340100,272,,,,,,
2012-02-24,US,TL,1.759200,273,,,,,,
2012-02-25,EU,TL,2.360600,274,,,,,,
2012-02-25,US,TL,1.761800,275,,,,,,
2012-02-29,EU,TL,2.361600,276,,,,,,
2012-02-29,US,TL,1.756900,277,,,,,,
2012-03-13,EU,TL,2.355400,278,,,,,,
2012-03-13,US,TL,1.782100,279,,,,,,
2012-03-14,EU,TL,2.348800,280,,,,,,
2012-03-14,US,TL,1.791500,281,,,,,,
2012-03-16,EU,TL,2.354700,282,,,,,,
2012-03-16,US,TL,1.804100,283,,,,,,
2012-03-26,EU,TL,2.385000,284,,,,,,
2012-03-26,US,TL,1.800400,285,,,,,,
2012-03-28,EU,TL,2.382900,286,,,,,,
2012-03-28,US,TL,1.784800,287,,,,,,
2012-03-29,EU,TL,2.379900,288,,,,,,
2012-03-29,US,TL,1.782400,289,,,,,,
2012-03-30,EU,TL,2.366800,290,,,,,,
2012-03-30,US,TL,1.780200,291,,,,,,
2012-04-01,EU,TL,2.377800,292,,,,,,
2012-04-01,US,TL,1.781500,293,,,,,,
2012-04-06,EU,TL,2.350600,294,,,,,,
2012-04-06,US,TL,1.795000,295,,,,,,
2012-04-11,EU,TL,2.357100,296,,,,,,
2012-04-11,US,TL,1.800700,297,,,,,,
2012-04-23,EU,TL,2.359900,298,,,,,,
2012-04-23,US,TL,1.791500,299,,,,,,
2012-04-26,EU,TL,2.345100,300,,,,,,
2012-04-26,US,TL,1.774600,301,,,,,,
2012-04-27,EU,TL,2.334700,302,,,,,,
2012-04-27,US,TL,1.765400,303,,,,,,
2012-04-28,EU,TL,2.328500,304,,,,,,
2012-04-28,US,TL,1.762000,305,,,,,,
2012-04-29,EU,TL,2.328500,306,,,,,,
2012-04-29,US,TL,1.762000,307,,,,,,
2012-04-30,EU,TL,2.328500,308,,,,,,
2012-04-30,US,TL,1.762000,309,,,,,,
2012-05-04,EU,TL,2.311800,310,,,,,,
2012-05-04,US,TL,1.759500,311,,,,,,
2012-05-05,EU,TL,2.307200,312,,,,,,
2012-05-05,US,TL,1.756700,313,,,,,,
2012-05-07,EU,TL,2.307200,314,,,,,,
2012-05-07,US,TL,1.756700,315,,,,,,
2012-05-09,EU,TL,2.296700,316,,,,,,
2012-05-09,US,TL,1.764000,317,,,,,,
2012-05-10,EU,TL,2.319800,318,,,,,,
2012-05-10,US,TL,1.788600,319,,,,,,
2012-05-11,EU,TL,2.314700,320,,,,,,
2012-05-11,US,TL,1.787400,321,,,,,,
2012-05-16,EU,TL,2.320500,322,,,,,,
