Modul,UnqID,FisNo
BAK,1df4344e-b719-4eab-8215-00282f2b0f37,1286
BAK,5d926a77-1db1-4c5a-a4ee-0036c419741b,1727
BAK,116a7b56-c803-455a-9072-0066c7f4d995,2644
BAK,46cd8006-aa20-42d1-baee-006753907c91,1731
BAK,6bffc151-93d5-49e3-b322-007fdad6ca19,2664
BAK,db84e042-723c-4fd0-864e-0096b268e674,1297
BAK,9ccfb6e5-4e0f-4654-abbf-00a297ee5651,2568
BAK,5cba6229-b77a-498a-b5a2-00d174f4a171,3822
BAK,2f5e8322-b8c7-48b6-80d1-00e3bea40fc2,3055
BAK,7a59100d-55bf-4c95-b01d-00f6f05c5d26,1645
BAK,b9b25631-138c-4a54-beb7-010cf4c9689a,3192
BAK,1db00cb3-b243-43a2-bf4f-0118318edc76,974
BAK,06253cf3-1f5a-477c-9537-012932c8fa74,430
BAK,1ad271f2-7623-41b9-aaf5-0129c2b2176b,1293
BAK,030f995f-0fae-4d7d-b396-0132856432c6,3166
BAK,7d45e842-16b6-4437-8cdc-0152f6b35883,632
BAK,12b3c94a-fe7c-4654-adab-015339589002,2054
BAK,e59df99c-b061-4633-b048-015e9d2df38c,3717
BAK,d7df08d8-b339-4515-9833-01818c6cf467,868
BAK,1ffd7cae-a886-407a-9242-01851f24130e,142
BAK,6dc17ea3-7e13-423d-97db-019e98f0ab06,64
BAK,a7ccb08e-f23a-4f73-af94-01d54df0cfa3,1865
BAK,b356a5c4-b3f9-453a-a838-01e04b72fe35,65
BAK,cc8616a0-5820-4b29-b110-01eddd0ac3d6,3068
BAK,25ddcfaf-4351-41b0-a35f-02184ec65bd6,343
BAK,56ca8b84-f166-48c8-836d-021addcbcebf,2650
BAK,7a6a64ed-2ecf-4be4-83eb-021b760dcead,2408
BAK,294906c3-a6c2-4733-be95-022ae9859a19,116
BAK,cf9bb8c9-d97d-41b4-b922-023583e6610d,242
BAK,bc3ba5b9-05d7-47c7-af9d-023849da045a,909
BAK,1a91b99d-3eee-433c-80e2-023c48e9ec79,567
BAK,9204a38d-36d5-4fbd-9c68-024172338e56,467
BAK,33c91971-d9e5-4f6d-b986-024b1e4dc2ad,2980
BAK,95474a6f-b4ad-483c-a28f-025b4718edb9,2130
BAK,aa6e5798-fa5d-497a-879a-0262710a883d,3217
BAK,af4ab92f-76e5-4378-99ef-026359439c27,2266
BAK,0f4c1a55-a010-4115-a320-027a58ff0e54,3273
BAK,e73e595f-6c4d-419e-ac0b-027e77f1104c,3948
BAK,93e8b95b-9641-4d19-886c-02a43fee5eea,1960
BAK,a5bb7e6f-dc19-4421-b736-02ae7e856a04,1028
BAK,4e1f3b0b-bbf7-4409-ba3e-02af8a21d004,506
BAK,35761cc8-9579-4d89-a48b-02b0b6695538,2083
BAK,237052b9-e2ba-4e3c-bd4c-02c1f6c17193,3399
BAK,44b62ecb-29dd-428e-b53a-02d34424a62b,3848
BAK,e8b303c0-b326-4349-a4f6-02f273d60403,2752
BAK,54c658bf-de67-44e4-bef6-0308d5fb29a5,2156
BAK,6cf059a1-314a-427d-9916-03181590ef41,3202
BAK,a2712ad8-dcb8-4251-a423-032054009196,3073
BAK,6bb9dbd2-18aa-4f27-9531-0334c0c3c3e4,3778
BAK,a674e475-0992-448b-a932-033a6c9bb719,3635
BAK,51356f4f-c730-4865-bda3-0353d5ffb528,144
BAK,a91f98f6-3bcc-41aa-82e8-03663662234d,1792
BAK,0b11b79f-f925-4a66-9874-0381b7b5ecb7,3623
BAK,7b39147d-aeea-4824-930b-038420868155,1660
BAK,3e0f6a2d-6834-498c-ae43-0395b6362e1a,887
BAK,051c276d-95ae-4cc6-93cb-03a9bde1a18f,862
BAK,f4fc6084-477c-4378-9d68-03cb4cfabf91,1504
BAK,7618f2ae-8a6e-4c58-87c4-03eaf9a6c3a2,3354
BAK,462f55fe-2b0a-4466-83ff-041463ec0df3,2618
BAK,b9607a46-d49d-45ad-a290-041f5d8d5558,319
BAK,d43806d4-b884-4f9b-8302-042d0ed208d5,3320
BAK,f91a9521-6a8c-49ef-b2f1-044c98011fe3,3775
BAK,96f42eee-02b1-4cee-8d8d-0450c35039d6,3434
BAK,86196233-bb5b-44e6-aba8-0453bda73b6b,2611
BAK,fc250b73-a077-4482-92a0-04650390fdc6,2518
BAK,6a631ad5-13e0-491c-abdd-048ab24d5b21,1217
BAK,c0b7a60a-d4d2-4fdc-96db-04921889f848,3941
BAK,1c0cbec5-3fec-4624-8d3e-04976d426a87,1026
BAK,a3c1c072-fc9d-4e23-9ace-04dba44b8ffd,796
BAK,f8378fa3-0f8b-4955-9905-04f727b49c70,672
BAK,3c5da2be-0212-4bbf-8d71-051282bda394,2368
BAK,4e7ce58d-ded3-4c40-a8e4-0516e2328bb8,323
BAK,65ca8b8f-c9e2-4f5f-b63f-0523fa42bfb2,3070
BAK,1f58194c-7c9c-4486-bf1d-054ea9b90ca4,3768
BAK,261cc3cf-70ab-4420-acdd-057f6d3087ad,3784
BAK,419b935a-dfcf-4aa8-a00f-058531211800,215
BAK,bfd195e4-43f0-4505-84cb-0587b9ae14be,3213
BAK,629a25fe-3746-4f09-8d09-05b5c8f1a2c6,3757
BAK,3193dcb0-ff26-4255-b819-05c91c5f6037,534
BAK,93a0cf1d-5876-4040-b519-05c9bcf11fad,47
BAK,ab23fa9b-b461-4fb7-8b53-05e1481b5f0e,3333
BAK,a368416a-0111-466d-814c-05e1b880b2fb,843
BAK,6830fddf-59f1-496e-8074-05eb9be02a94,1802
BAK,1e71aa5e-c27b-4aaa-be41-05fb5b3ce8a8,2941
BAK,029b05bc-118d-4771-8e0a-06115a448d37,3585
BAK,6d739b3f-b6cb-4e66-bf85-0611f0c384e4,1717
BAK,33d368bd-fa4a-410e-a611-061ab62fcc54,3426
BAK,e38677c9-5089-459c-86dd-061c6335c62c,357
BAK,4502df62-0522-44fc-bb0b-061d8967453b,312
BAK,236f84e3-1572-41e7-af12-061fcb37fe48,610
BAK,5e638a02-fe23-4348-9578-06518339b9f0,1961
BAK,a0e6fe89-2729-43ce-93e8-0664c92987cb,1899
BAK,b291ccd0-6cad-46a0-afc6-0683c3ca4704,1570
BAK,e9fa8982-a2df-4dea-9a6b-069f1e8b5a93,1022
BAK,bc7d36e8-3f54-429f-9a8a-06a2f72b5a99,3825
