UserName,CatalogName,AccessLocation,ReadLoc,WriteLoc,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
dbo,KORGUNYAZILIM2310,CA001,,,9,18,dbo,2024-10-17 13:50:22.083000,Update,dbo,2024-10-17 13:50:22.103000,Update
dbo,KORGUNYAZILIM2310,CA002,,,10,18,dbo,2024-10-17 13:50:22.083000,Update,dbo,2024-10-17 13:50:22.103000,Update
dbo,KORGUNYAZILIM2310,CA003,,,11,18,dbo,2024-10-17 13:50:22.083000,Update,dbo,2024-10-17 13:50:22.103000,Update
dbo,KORGUNYAZILIM2310,CA004,,,12,18,dbo,2024-10-17 13:50:22.083000,Update,dbo,2024-10-17 13:50:22.103000,Update
dbo,KORGUNYAZILIM2310,CH001,,,13,18,dbo,2024-10-17 13:50:22.083000,Update,dbo,2024-10-17 13:50:22.103000,Update
dbo,KORGUNYAZILIM2310,CH002,,,14,18,dbo,2024-10-17 13:50:22.083000,Update,dbo,2024-10-17 13:50:22.103000,Update
dbo,KORGUNYAZILIM2310,CS001,,,15,18,dbo,2024-10-17 13:50:22.083000,Update,dbo,2024-10-17 13:50:22.103000,Update
dbo,KORGUNYAZILIM2310,CS002,,,16,18,dbo,2024-10-17 13:50:22.083000,Update,dbo,2024-10-17 13:50:22.103000,Update
Guray,KORGUNYAZILIM2310,CA001,,,1,97,dbo,2024-09-20 16:36:47.950000,Paramet,dbo,2024-09-20 16:36:47.983000,Paramet
Guray,KORGUNYAZILIM2310,CA002,,,2,97,dbo,2024-09-20 16:36:47.950000,Paramet,dbo,2024-09-20 16:36:47.983000,Paramet
Guray,KORGUNYAZILIM2310,CA003,,,3,97,dbo,2024-09-20 16:36:47.950000,Paramet,dbo,2024-09-20 16:36:47.983000,Paramet
Guray,KORGUNYAZILIM2310,CA004,,,4,97,dbo,2024-09-20 16:36:47.950000,Paramet,dbo,2024-09-20 16:36:47.983000,Paramet
Guray,KORGUNYAZILIM2310,CH001,,,5,97,dbo,2024-09-20 16:36:47.950000,Paramet,dbo,2024-09-20 16:36:47.983000,Paramet
Guray,KORGUNYAZILIM2310,CH002,,,6,97,dbo,2024-09-20 16:36:47.950000,Paramet,dbo,2024-09-20 16:36:47.983000,Paramet
Guray,KORGUNYAZILIM2310,CS001,,,7,97,dbo,2024-09-20 16:36:47.950000,Paramet,dbo,2024-09-20 16:36:47.983000,Paramet
Guray,KORGUNYAZILIM2310,CS002,,,8,97,dbo,2024-09-20 16:36:47.950000,Paramet,dbo,2024-09-20 16:36:47.983000,Paramet
NISANTASI,KORGUNYAZILIM2310,MGZ02,,,19,1124,dbo,2025-04-09 18:09:03.857000,Paramet,dbo,2025-04-09 18:09:03.857000,Paramet
OSMANBEY,KORGUNYAZILIM2310,MGZ00,,,17,1122,dbo,2025-04-09 18:08:13.800000,Paramet,dbo,2025-04-09 18:08:13.823000,Paramet
SEFAKOY,KORGUNYAZILIM2310,MGZ03,,,20,1123,dbo,2025-04-09 18:09:12.543000,Paramet,dbo,2025-04-09 18:09:12.543000,Paramet
TAKSIM,KORGUNYAZILIM2310,MGZ01,,,18,1125,dbo,2025-04-09 18:08:25.583000,Paramet,dbo,2025-04-09 18:08:25.583000,Paramet
