Bolum,tip,Tanim,ParaCinsi,Taksit,OzKod1,OzKod2,Pasif,kgid,insUN,insDT,insApp,updUN,updDT,updApp
AF,01,Alış Fiyatı TL,TL,0,,,,1,,,,,,
AF,02,Alış Fiyatı US,US,0,,,,2,,,,,,
AF,03,Alış Fiyatı EU,EU,0,,,,3,,,,,,
AF,04,ALIŞ FİYATI CAHİT,TL,0,,,,27,CAHIT,2024-09-27 14:21:48.070000,KGShop,,,
AF,1,111,TL,0,,,,26,gulsah,2024-02-20 02:38:09.843000,KGShop,,,
AF,10,Birim Maliyet ,US,0,,,,4,,,,,,
AF,101,2021 Aralık Maliyet,US,0,,,,5,,,,,,
AF,20,Hammadde Öngörülü Maliyet,US,0,,,,6,,,,,,
AF,AA,&AAA,,0,,,,25,gulsah,2024-01-22 22:18:16.633000,KGShop,,,
AI,02,Alış Iskonto - $,TL,0,,,,7,,,,Samet,2025-02-26 11:24:30.137000,KGShop_CARISKTEST4
AI,A03,Toptan Alım Yurtiçi,TL,0,,,,29,Samet,2025-02-26 11:24:30.150000,KGShop_CARISKTEST4,Samet,2025-02-26 11:35:52.717000,KGShop_CARISKTEST4
AI,A04,Toptan Alım Yurtdışı,TL,0,,,,30,Samet,2025-02-26 11:35:52.727000,KGShop_CARISKTEST4,,,
SF,01,Fabrika Toptan TL Fiyatı,TL,0,,,,8,,,,,,
SF,02,Fabrika Toptan US Fiyatı,US,0,,,,9,,,,,,
SF,03,Fabrika Toptan EU Fiyatı,EU,0,,,,10,,,,,,
SF,04,SATIŞ FİYATI CAHİT,TL,0,,,,28,CAHIT,2024-09-27 14:22:44.147000,KGShop,,,
SF,11,Laleli Toptan TL Fiyatı,TL,0,,,,11,,,,,,
SF,12,Laleli Toptan US Fyatı,US,0,,,,12,,,,,,
SF,13,Laleli Toptan EU Fiyatı,EU,0,,,,13,,,,,,
SF,50,Perakende YTLP Fiyatı,TL,0,,,,14,,,,,,
SF,51,Perakende PSF Fiyatı,TL,0,,,,15,,,,,,
SF,52,Perakende ISF Fiyatı,TL,0,,,,16,,,,,,
SF,53,E_Ticaret MP Fiyatı,TL,0,,,,17,,,,,,
SF,54,deneme,TL,0,,,,31,OZKAN,2025-05-22 16:37:33.723000,KGShop,,,
SF,55,deneme 2,US,0,,,,32,OZKAN,2025-05-22 16:39:50.270000,KGShop,,,
SF,70,Hammade Satış TL Fiyatı,TL,0,,,,18,,,,,,
SI,01,Perakende Satış İskonto,TL,0,,,,19,,,,,,
SI,02,İskonto İptal,TL,0,,,,20,,,,,,
