Bolum,FisTur,FisTip,HareketNo,EvrakNo,EvrakNo2,DeleteUN,DeleteDT,EvrakNo3,FisTar,kgid
CF,C,AD,10,,,yulya,2023-11-10 15:55:11.650000,,2023-11-10 15:08:19,1
CF,C,AD,24,,,yulya,2025-03-19 17:56:31.883000,,2023-11-21 12:22:06,2477
CF,C,AD,25,,,yulya,2025-03-19 17:56:39.860000,,2023-11-21 12:23:32,2478
CF,C,AD,27,,,yulya,2024-10-18 09:41:17.053000,,2023-12-19 15:40:01,2
CF,C,AD,28,,,yulya,2023-12-19 15:42:19.117000,,2023-12-19 15:41:06,3
CF,C,AD,30,,,yulya,2024-10-18 09:44:53.807000,,2023-12-19 15:47:37,4
CF,C,AD,35,,,dbo,2024-10-28 17:52:28.147000,,2024-10-14 11:39:28,2137
CF,C,AD,36,,,dbo,2024-10-28 17:52:28.147000,,2024-10-28 11:41:50,2136
CF,C,AD,38,,,dbo,2024-10-28 17:52:28.147000,,2024-10-28 16:11:44,2134
CF,C,AD,39,,,dbo,2024-10-28 17:52:28.147000,,2024-10-28 17:26:33,2133
CF,C,AD,40,,,yulya,2024-10-28 17:53:22.990000,,2024-10-28 17:52:32,2138
CF,C,AD,41,,,yulya,2024-10-28 17:54:14.760000,,2024-10-28 17:53:53,2139
CF,C,AD,45,,,yulya,2024-11-13 11:35:36.013000,,2024-11-13 11:35:20,2349
CF,C,AD,46,,,yulya,2024-12-02 17:00:07.450000,,2024-12-02 16:59:26,2365
CF,C,AD,55,,,yulya,2024-12-09 10:33:45.697000,,2024-12-01 10:32:49,2369
CF,C,AD,65,,,yulya,2024-12-11 14:19:00.597000,,2024-12-11 14:15:01,2375
CF,C,AD,84,,,yulya,2024-12-25 11:52:24.953000,,2024-12-25 11:21:35,2384
CF,C,AD,96,,,yulya,2025-01-07 10:52:29.003000,,2024-12-10 10:51:41,2390
CF,C,AD,226,,,yulya,2025-02-25 16:04:01.507000,,2025-02-21 16:27:54,2449
CF,C,AD,236,,,yulya,2025-02-28 11:44:18.383000,,2025-02-28 11:43:37,2453
CF,C,AD,364,,,yulya,2025-04-21 10:50:24.420000,,2025-04-21 10:50:08,2504
CF,C,AD,369,,,yulya,2025-04-21 12:46:54.110000,,2025-04-21 12:44:53,2505
CF,C,BD,4,,,yulya,2023-09-25 11:44:58.123000,,2023-09-25 11:41:59,5
CF,C,BD,7,,,yulya,2023-10-24 11:22:45.487000,,2023-10-24 11:19:29,6
CF,C,BD,8,,,yulya,2023-10-24 11:53:03.670000,,2023-10-24 11:52:27,7
CF,C,BD,9,,,yulya,2023-11-21 12:20:29.290000,,2023-11-08 13:19:26,8
CF,C,BD,13,,,yulya,2023-11-21 11:59:58.410000,,2023-11-21 11:57:45,9
CF,C,BD,31,,,yulya,2024-10-18 09:45:06.067000,,2023-12-19 15:48:30,10
CF,C,BD,34,,,yulya,2024-10-18 09:42:10.327000,,2023-12-19 15:55:01,11
CF,C,BD,52,,,yulya,2024-12-06 16:44:51.873000,,2024-12-06 16:36:07,2368
CF,C,BD,76,,,yulya,2025-01-17 17:32:29.397000,,2024-12-02 18:27:11,2413
CF,C,BD,85,,,yulya,2024-12-25 11:29:16.663000,,2024-12-25 11:25:08,2383
CF,C,BD,98,,,yulya,2025-01-08 15:58:39.267000,,2025-01-08 15:58:07,2395
CF,C,BD,337,,,yulya,2025-03-26 18:05:20.367000,,2025-03-26 18:01:25,2484
CF,C,BD,377,,,yulya,2025-04-29 17:32:34.253000,,2025-03-14 11:29:15,2516
CF,C,BD,381,,,yulya,2025-05-15 10:35:44.847000,,2025-04-28 11:26:37,2529
CF,C,DA,1,,,yulya,2023-09-25 11:37:37.963000,,2023-09-25 11:35:36,12
CF,C,DA,2,,,yulya,2023-09-25 11:46:10.310000,,2023-09-25 11:38:02,13
CF,K,NO,6,,,yulya,2023-09-25 11:44:50.207000,,2023-09-25 11:43:11,14
CF,K,NO,32,,,yulya,2024-10-18 09:45:00.147000,,2023-12-19 15:52:39,15
CF,K,NO,33,,,yulya,2024-10-18 09:42:05.047000,,2023-12-19 15:54:30,16
CF,K,NO,426,,,yulya,2025-05-09 15:54:42.850000,,2025-05-09 15:48:12,2525
CF,K,NT,5,,,yulya,2023-09-25 11:46:04.037000,,2023-09-25 11:42:39,17
CF,K,NT,37,,,dbo,2024-10-28 17:52:28.147000,,2024-10-25 11:44:08,2135
CF,K,NT,59,,,yulya,2024-12-10 15:14:10.750000,,2024-12-10 12:28:24,2373
CF,K,NT,60,,,yulya,2024-12-10 15:18:26.753000,,2024-12-10 12:43:06,2374
CF,K,NT,67,,,yulya,2024-12-13 13:20:20.643000,,2024-12-13 13:16:24,2376
CF,K,NT,100,,,yulya,2025-01-10 13:48:07.140000,,2025-01-10 13:45:13,2399
CF,K,NT,101,,,yulya,2025-01-10 13:47:04.870000,,2025-01-10 13:46:27,2398
CF,K,NT,165,,,yulya,2025-03-18 18:41:13.873000,,2025-02-07 13:56:24,2474
CF,K,NT,214,,,yulya,2025-02-19 18:44:08.510000,,2025-02-19 18:43:38,2439
CF,K,NT,222,,,yulya,2025-02-24 14:27:31.060000,,2025-02-24 14:26:15,2447
CF,K,NT,245,,,yulya,2025-03-04 16:07:48.723000,,2025-03-04 15:50:28,2456
CF,K,NT,246,,,yulya,2025-03-04 16:30:59.987000,,2025-03-04 16:07:48,2457
CF,K,NT,247,,,yulya,2025-03-04 16:34:09.657000,,1899-12-30 00:00:00,2458
CF,K,NT,287,,,yulya,2025-03-14 10:35:16.417000,,2025-03-14 10:34:02,2469
CF,K,NT,319,,,yulya,2025-03-20 15:48:31.337000,,2025-03-14 15:47:34,2480
CF,K,NT,439,,,yulya,2025-05-12 18:28:10.660000,,2025-05-12 12:58:42,2527
CF,K,NT,443,,,yulya,2025-05-13 11:22:54.017000,,2025-05-13 11:22:04,2528
CK,,,0,120 014,,yulya,2023-11-09 12:48:19.890000,,2023-11-09 00:00:00,18
CK,,,0,120 022,,yulya,2023-11-10 15:55:26.953000,,2023-11-10 00:00:00,19
CK,,,0,120.001,,yulya,2023-09-25 11:44:36.093000,,2023-09-18 00:00:00,20
CK,,,0,120.002,,yulya,2023-09-18 15:12:43.193000,,2023-09-18 00:00:00,21
CK,,,0,120.002,,yulya,2023-09-25 11:44:42.407000,,2023-09-25 00:00:00,22
CK,,,0,120.002,,yulya,2023-10-24 14:08:36.993000,,2023-09-25 00:00:00,23
CK,,,0,120.003,,yulya,2023-10-24 14:09:38.557000,,2023-10-24 00:00:00,24
CK,,,0,120.004,,yulya,2023-11-21 11:45:29.227000,,2023-10-24 00:00:00,25
CK,,,0,120.005,,yulya,2023-11-21 11:45:42.650000,,2023-10-24 00:00:00,26
CK,,,0,120.006,,yulya,2023-11-21 11:46:05.130000,,2023-10-24 00:00:00,27
CK,,,0,120.007,,yulya,2023-11-21 11:46:10.823000,,2023-10-24 00:00:00,28
