ID,Bolum,TYPE,EXPLANATION,ACCOUNTID,MMID,Location,kgid,insUN,insDT,insApp,updUN,updDT,updApp
2,1,10/10,10/10 Oran iÃ§in Muhasebe Kodu,2728,,,2,,,,harun,2024-06-03 15:48:14.810000,KGShop
3,1,2/10,2/10 Oran iÃ§in Muhasebe Kodu,389,,,3,,,,harun,2024-06-03 15:48:14.820000,KGShop
4,1,3/10,3/10 Oran iÃ§in Muhasebe Kodu,,,,4,,,,harun,2024-06-03 15:48:14.827000,KGShop
5,1,4/10,4/10 Oran iÃ§in Muhasebe Kodu,,,,5,,,,harun,2024-06-03 15:48:14.833000,KGShop
6,1,5/10,5/10 Oran iÃ§in Muhasebe Kodu,,,,6,,,,harun,2024-06-03 15:48:14.833000,KGShop
7,1,7/10,7/10 Oran iÃ§in Muhasebe Kodu,376,,,7,,,,harun,2024-06-03 15:48:14.833000,KGShop
8,1,9/10,9/10 Oran iÃ§in Muhasebe Kodu,,,,8,,,,harun,2024-06-03 15:48:14.837000,KGShop
21,1,1/2,1/2 Oran İçin Muhasebe Kodu,,,,21,harun,2024-06-03 15:47:04.333000,KGShop,harun,2024-06-03 15:48:14.837000,KGShop
22,1,1/3,1/3 Oran İçin Muhasebe Kodu,374,,,22,harun,2024-06-03 15:47:04.333000,KGShop,harun,2024-06-03 15:48:14.840000,KGShop
23,1,2/3,2/3 Oran İçin Muhasebe Kodu,,,,23,harun,2024-06-03 15:47:04.333000,KGShop,harun,2024-06-03 15:48:14.840000,KGShop
24,1,1/10,1/10 Oran İçin Muhasebe Kodu,,,,24,harun,2024-06-03 15:47:04.337000,KGShop,harun,2024-06-03 15:48:14.840000,KGShop
