UserName,CatalogName,AccessKasa,ReadLoc,WriteLoc
AHMETBARS,KOSEM,D01,,
AHMETBARS,KOSEM,G01,,
AHMETBARS,KOSEM,KS01,,
AHMETBARS,KOSEM,V01,,
AHMETBARS,KOSEM,Z01,,
AHMETBARS,Kosem13,D01,,
AHMETBARS,Kosem13,KS01,,
AHMETBARS,Kosem13,L01,,
AHMETBARS,Kosem13,T01,,
AHMETBARS,Kosem13,V01,,
AHMETBARS,Kosem13,Z01,,
AHMETBARS,Kosem14,D01,,
AHMETBARS,Kosem14,H01,,
AHMETBARS,Kosem14,KS01,,
AHMETBARS,Kosem14,L01,,
AHMETBARS,Kosem14,T01,,
AHMETBARS,Kosem14,V01,,
AHMETBARS,Kosem14,Z01,,
AHMETBARS,Kosem15,D01,,
AHMETBARS,Kosem15,H01,,
AHMETBARS,Kosem15,KS01,,
AHMETBARS,Kosem15,L01,,
AHMETBARS,Kosem15,T01,,
AHMETBARS,Kosem15,V01,,
AHMETBARS,Kosem15,Z01,,
AHMETBARS,Kosem16,D01,,
AHMETBARS,Kosem16,H01,,
AHMETBARS,Kosem16,KS01,,
AHMETBARS,Kosem16,T01,,
AHMETBARS,Kosem16,V01,,
AHMETBARS,Kosem16,Z01,,
AHMETBARS,Kosem17,D01,,
AHMETBARS,Kosem17,H01,,
AHMETBARS,Kosem17,V01,,
AHMETBARS,Kosem17,Z01,,
AHMETBARS,Kosem18,D01,,
AHMETBARS,Kosem18,H01,,
AHMETBARS,Kosem18,T01,,
AHMETBARS,Kosem18,V01,,
AHMETBARS,Kosem18,Z01,,
AHMETBARS,KOSEM2006,D01,,
AHMETBARS,KOSEM2006,G01,,
AHMETBARS,KOSEM2006,KS01,,
AHMETBARS,KOSEM2006,V01,,
AHMETBARS,KOSEM2006,Z01,,
AHMETBARS,KOSEM2007,D01,,
AHMETBARS,KOSEM2007,G01,,
AHMETBARS,KOSEM2007,KS01,,
AHMETBARS,KOSEM2007,V01,,
AHMETBARS,KOSEM2007,Z01,,
AHMETBARS,KOSEM2008,D01,,
AHMETBARS,KOSEM2008,KS01,,
AHMETBARS,KOSEM2008,V01,,
AHMETBARS,KOSEM2008,Z01,,
AHMETBARS,KOSEM2009,D01,,
AHMETBARS,KOSEM2009,KS01,,
AHMETBARS,KOSEM2009,T01,,
AHMETBARS,KOSEM2009,V01,,
AHMETBARS,KOSEM2009,Z01,,
AHMETBARS,KOSEM2010,D01,,
AHMETBARS,KOSEM2010,KS01,,
AHMETBARS,KOSEM2010,T01,,
AHMETBARS,KOSEM2010,V01,,
AHMETBARS,KOSEM2010,Z01,,
AHMETBARS,KOSEM2011,D01,,
AHMETBARS,KOSEM2011,KS01,,
AHMETBARS,KOSEM2011,T01,,
AHMETBARS,KOSEM2011,V01,,
AHMETBARS,KOSEM2011,Z01,,
AHMETBARS,KOSEM2012,D01,,
AHMETBARS,KOSEM2012,KS01,,
AHMETBARS,KOSEM2012,T01,,
AHMETBARS,KOSEM2012,V01,,
AHMETBARS,KOSEM2012,Z01,,
AHMETBARS,KOSEM2013,D01,,
AHMETBARS,KOSEM2013,KS01,,
AHMETBARS,KOSEM2013,L01,,
AHMETBARS,KOSEM2013,T01,,
AHMETBARS,KOSEM2013,V01,,
AHMETBARS,KOSEM2013,Z01,,
AHMETBARS,KOSEM2014,D01,,
AHMETBARS,KOSEM2014,KS01,,
AHMETBARS,KOSEM2014,L01,,
AHMETBARS,KOSEM2014,T01,,
AHMETBARS,KOSEM2014,V01,,
AHMETBARS,KOSEM2014,Z01,,
AHMETBARS,KOSEM2016,D01,,
AHMETBARS,KOSEM2016,H01,,
AHMETBARS,KOSEM2016,KS01,,
AHMETBARS,KOSEM2016,L01,,
AHMETBARS,KOSEM2016,T01,,
AHMETBARS,KOSEM2016,V01,,
AHMETBARS,KOSEM2016,Z01,,
AHMETBARS,Kosem2017,D01,,
AHMETBARS,Kosem2017,H01,,
AHMETBARS,Kosem2017,KS01,,
AHMETBARS,Kosem2017,L01,,
AHMETBARS,Kosem2017,T01,,
AHMETBARS,Kosem2017,V01,,
AHMETBARS,Kosem2017,Z01,,
AHMETBARS,Kosem2018,D01,,
AHMETBARS,Kosem2018,H01,,
AHMETBARS,Kosem2018,KS01,,
AHMETBARS,Kosem2018,L01,,
AHMETBARS,Kosem2018,T01,,
AHMETBARS,Kosem2018,V01,,
AHMETBARS,Kosem2018,Z01,,
AHMETBARS,KOSEM2023,D01,,
AHMETBARS,KOSEM2023,H01,,
AHMETBARS,KOSEM2023,T01,,
AHMETBARS,KOSEM2023,V01,,
AHMETBARS,KOSEM2023,Z01,,
AHMETBARS,Kosem22,D01,,
AHMETBARS,Kosem22,H01,,
AHMETBARS,Kosem22,T01,,
AHMETBARS,Kosem22,V01,,
AHMETBARS,Kosem22,Z01,,
AHMETBARS,KOSEM23,Z01,,
AIDAANA,Kosem15,V01,,
AIDAANA,Kosem16,V01,,
AIDAANA,Kosem17,V01,,
AIDAANA,Kosem18,A01,,
AIDAANA,Kosem18,G01,,
AIDAANA,Kosem18,V01,,
AIDAANA,KOSEM2016,V01,,
AIDAANA,Kosem2017,V01,,
AIDAANA,Kosem2018,V01,,
AIDAANA,KOSEM2023,A01,,
AIDAANA,KOSEM2023,G01,,
AIDAANA,KOSEM2023,V01,,
AIDAANA,Kosem22,A01,,
AIDAANA,Kosem22,G01,,
AIDAANA,Kosem22,V01,,
AIDAANA,KOSEM23,A01,,
AIDAANA,KOSEM23,G01,,
AIDAANA,KOSEM23,V01,,
AIDAANA,KOSEM23,YA,,
AKKALAMALL,Kosem18,K01,,
AKKALAMALL,KOSEM2023,K01,,
AKKALAMALL,Kosem22,K01,,
AKKALAMALL,KOSEM23,K01,,
ALLA,Kosem15,V01,,
ALLA,Kosem16,V01,,
ALLA,Kosem17,V01,,
ALLA,Kosem18,A01,,
ALLA,Kosem18,G01,,
ALLA,Kosem18,V01,,
ALLA,KOSEM2016,V01,,
ALLA,Kosem2017,V01,,
ALLA,Kosem2018,V01,,
ALLA,KOSEM2023,A01,,
ALLA,KOSEM2023,G01,,
ALLA,KOSEM2023,V01,,
ALLA,Kosem22,A01,,
ALLA,Kosem22,G01,,
ALLA,Kosem22,V01,,
ALLA,KOSEM23,A01,,
ALLA,KOSEM23,G01,,
ALLA,KOSEM23,V01,,
ANARRA,Kosem18,K01,,
ANARRA,Kosem18,KS01,,
ANARRA,Kosem18,T02,,
ANARRA,Kosem18,V01,,
ANARRA,KOSEM2023,K01,,
ANARRA,KOSEM2023,KS01,,
ANARRA,KOSEM2023,T02,,
ANARRA,KOSEM2023,V01,,
ANARRA,Kosem22,K01,,
ANARRA,Kosem22,KS01,,
ANARRA,Kosem22,T02,,
ANARRA,Kosem22,V01,,
ANARRA,KOSEM23,H01,,
ANARRA,KOSEM23,K01,,
ANARRA,KOSEM23,T02,,
ANARRA,KOSEM23,Z01,,
Asistan,KOSEM23,A01,,
Asistan,KOSEM23,B01,,
Asistan,KOSEM23,D01,,
Asistan,KOSEM23,E01,,
Asistan,KOSEM23,F01,,
Asistan,KOSEM23,G01,,
Asistan,KOSEM23,H01,,
Asistan,KOSEM23,H02,,
Asistan,KOSEM23,IR01,,
Asistan,KOSEM23,K01,,
Asistan,KOSEM23,KS01,,
Asistan,KOSEM23,L01,,
Asistan,KOSEM23,O01,,
Asistan,KOSEM23,R01,,
Asistan,KOSEM23,T01,,
Asistan,KOSEM23,T02,,
Asistan,KOSEM23,U01,,
Asistan,KOSEM23,V01,,
Asistan,KOSEM23,YA,,
Asistan,KOSEM23,Z01,,
ASLINUR,Kosem14,D01,,
ASLINUR,Kosem14,E01,,
ASLINUR,Kosem14,F01,,
ASLINUR,Kosem14,H01,,
ASLINUR,Kosem14,KS01,,
ASLINUR,Kosem14,L01,,
ASLINUR,Kosem14,R01,,
ASLINUR,Kosem14,T01,,
ASLINUR,Kosem14,V01,,
ASLINUR,Kosem14,Z01,,
ASLINUR,Kosem15,D01,,
ASLINUR,Kosem15,E01,,
ASLINUR,Kosem15,F01,,
ASLINUR,Kosem15,H01,,
ASLINUR,Kosem15,KS01,,
ASLINUR,Kosem15,L01,,
ASLINUR,Kosem15,R01,,
ASLINUR,Kosem15,T01,,
ASLINUR,Kosem15,V01,,
ASLINUR,Kosem15,Z01,,
ASLINUR,Kosem16,D01,,
ASLINUR,Kosem16,E01,,
ASLINUR,Kosem16,F01,,
ASLINUR,Kosem16,H01,,
ASLINUR,Kosem16,KS01,,
ASLINUR,Kosem16,R01,,
ASLINUR,Kosem16,T01,,
ASLINUR,Kosem16,V01,,
ASLINUR,Kosem16,Z01,,
ASLINUR,Kosem17,D01,,
ASLINUR,Kosem17,E01,,
ASLINUR,Kosem17,F01,,
ASLINUR,Kosem17,H01,,
ASLINUR,Kosem17,KS01,,
ASLINUR,Kosem17,O01,,
ASLINUR,Kosem17,R01,,
ASLINUR,Kosem17,T01,,
ASLINUR,Kosem17,V01,,
ASLINUR,Kosem17,Z01,,
ASLINUR,Kosem18,D01,,
ASLINUR,Kosem18,E01,,
ASLINUR,Kosem18,F01,,
ASLINUR,Kosem18,H01,,
ASLINUR,Kosem18,K01,,
ASLINUR,Kosem18,KS01,,
ASLINUR,Kosem18,L01,,
ASLINUR,Kosem18,O01,,
ASLINUR,Kosem18,R01,,
ASLINUR,Kosem18,T01,,
ASLINUR,Kosem18,T02,,
ASLINUR,Kosem18,U01,,
ASLINUR,Kosem18,V01,,
ASLINUR,Kosem18,Z01,,
ASLINUR,KOSEM2016,D01,,
ASLINUR,KOSEM2016,H01,,
ASLINUR,KOSEM2016,KS01,,
ASLINUR,KOSEM2016,L01,,
ASLINUR,KOSEM2016,T01,,
ASLINUR,KOSEM2016,V01,,
ASLINUR,KOSEM2016,Z01,,
ASLINUR,Kosem2017,D01,,
ASLINUR,Kosem2017,H01,,
ASLINUR,Kosem2017,KS01,,
ASLINUR,Kosem2017,L01,,
ASLINUR,Kosem2017,T01,,
ASLINUR,Kosem2017,V01,,
ASLINUR,Kosem2017,Z01,,
ASLINUR,Kosem2018,D01,,
ASLINUR,Kosem2018,H01,,
ASLINUR,Kosem2018,KS01,,
ASLINUR,Kosem2018,L01,,
ASLINUR,Kosem2018,T01,,
ASLINUR,Kosem2018,V01,,
ASLINUR,Kosem2018,Z01,,
ASLINUR,KOSEM2023,D01,,
ASLINUR,KOSEM2023,E01,,
ASLINUR,KOSEM2023,F01,,
ASLINUR,KOSEM2023,H01,,
ASLINUR,KOSEM2023,K01,,
ASLINUR,KOSEM2023,KS01,,
ASLINUR,KOSEM2023,L01,,
ASLINUR,KOSEM2023,O01,,
ASLINUR,KOSEM2023,R01,,
ASLINUR,KOSEM2023,T01,,
ASLINUR,KOSEM2023,T02,,
ASLINUR,KOSEM2023,U01,,
ASLINUR,KOSEM2023,V01,,
ASLINUR,KOSEM2023,Z01,,
ASLINUR,Kosem22,D01,,
ASLINUR,Kosem22,E01,,
ASLINUR,Kosem22,F01,,
ASLINUR,Kosem22,H01,,
ASLINUR,Kosem22,K01,,
ASLINUR,Kosem22,KS01,,
ASLINUR,Kosem22,L01,,
ASLINUR,Kosem22,O01,,
ASLINUR,Kosem22,R01,,
ASLINUR,Kosem22,T01,,
ASLINUR,Kosem22,T02,,
ASLINUR,Kosem22,U01,,
ASLINUR,Kosem22,V01,,
ASLINUR,Kosem22,Z01,,
ASLINUR,KOSEM23,D01,,
ASLINUR,KOSEM23,E01,,
ASLINUR,KOSEM23,F01,,
ASLINUR,KOSEM23,H01,,
ASLINUR,KOSEM23,K01,,
ASLINUR,KOSEM23,KS01,,
ASLINUR,KOSEM23,O01,,
ASLINUR,KOSEM23,R01,,
ASLINUR,KOSEM23,T01,,
ASLINUR,KOSEM23,T02,,
ASLINUR,KOSEM23,U01,,
ASLINUR,KOSEM23,V01,,
ASLINUR,KOSEM23,Z01,,
AYGERİMKZ,Kosem18,A01,,
AYGERİMKZ,Kosem18,G01,,
AYGERİMKZ,Kosem18,KS01,,
AYGERİMKZ,KOSEM2023,A01,,
AYGERİMKZ,KOSEM2023,G01,,
AYGERİMKZ,KOSEM2023,KS01,,
AYGERİMKZ,Kosem22,A01,,
AYGERİMKZ,Kosem22,G01,,
AYGERİMKZ,Kosem22,KS01,,
AYGERİMKZ,KOSEM23,A01,,
AYGERİMKZ,KOSEM23,G01,,
AYGERİMKZ,KOSEM23,KS01,,
AYNUR,Kosem15,V01,,
AYNUR,Kosem16,V01,,
AYNUR,Kosem17,V01,,
AYNUR,Kosem18,A01,,
AYNUR,Kosem18,G01,,
AYNUR,Kosem18,V01,,
AYNUR,KOSEM2016,V01,,
AYNUR,Kosem2017,V01,,
AYNUR,Kosem2018,V01,,
AYNUR,KOSEM2023,A01,,
AYNUR,KOSEM2023,G01,,
AYNUR,KOSEM2023,V01,,
AYNUR,Kosem22,A01,,
AYNUR,Kosem22,G01,,
AYNUR,Kosem22,V01,,
AYNUR,KOSEM23,A01,,
AYNUR,KOSEM23,G01,,
AYNUR,KOSEM23,V01,,
AYNUR,KOSEM23,YA,,
AYTOLGUN,Kosem18,A01,,
AYTOLGUN,KOSEM2023,A01,,
AYTOLGUN,Kosem22,A01,,
AYTOLGUN,KOSEM23,A01,,
BAHMET,KOSEM,D01,,
BAHMET,KOSEM,G01,,
BAHMET,KOSEM,KS01,,
BAHMET,KOSEM,V01,,
BAHMET,KOSEM,Z01,,
BAHMET,Kosem13,D01,,
BAHMET,Kosem13,KS01,,
BAHMET,Kosem13,L01,,
BAHMET,Kosem13,T01,,
BAHMET,Kosem13,V01,,
BAHMET,Kosem13,Z01,,
BAHMET,Kosem14,D01,,
BAHMET,Kosem14,H01,,
BAHMET,Kosem14,KS01,,
BAHMET,Kosem14,L01,,
BAHMET,Kosem14,T01,,
BAHMET,Kosem14,V01,,
BAHMET,Kosem14,Z01,,
BAHMET,Kosem15,D01,,
BAHMET,Kosem15,E01,,
BAHMET,Kosem15,F01,,
BAHMET,Kosem15,H01,,
BAHMET,Kosem15,KS01,,
BAHMET,Kosem15,L01,,
BAHMET,Kosem15,R01,,
BAHMET,Kosem15,T01,,
BAHMET,Kosem15,V01,,
BAHMET,Kosem15,Z01,,
BAHMET,Kosem16,D01,,
BAHMET,Kosem16,E01,,
BAHMET,Kosem16,F01,,
BAHMET,Kosem16,H01,,
BAHMET,Kosem16,KS01,,
BAHMET,Kosem16,L01,,
BAHMET,Kosem16,R01,,
BAHMET,Kosem16,T01,,
BAHMET,Kosem16,V01,,
BAHMET,Kosem16,Z01,,
BAHMET,Kosem17,D01,,
BAHMET,Kosem17,E01,,
BAHMET,Kosem17,F01,,
BAHMET,Kosem17,H01,,
BAHMET,Kosem17,KS01,,
BAHMET,Kosem17,L01,,
BAHMET,KOSEM17,O01,,
BAHMET,Kosem17,R01,,
BAHMET,Kosem17,T01,,
BAHMET,Kosem17,V01,,
BAHMET,Kosem17,Z01,,
BAHMET,Kosem18,A01,,
BAHMET,Kosem18,B01,,
BAHMET,Kosem18,D01,,
BAHMET,Kosem18,E01,,
BAHMET,Kosem18,F01,,
BAHMET,Kosem18,G01,,
BAHMET,Kosem18,H01,,
BAHMET,Kosem18,H02,,
BAHMET,Kosem18,K01,,
BAHMET,Kosem18,KS01,,
BAHMET,Kosem18,L01,,
BAHMET,Kosem18,O01,,
BAHMET,Kosem18,R01,,
BAHMET,Kosem18,T01,,
BAHMET,Kosem18,T02,,
BAHMET,Kosem18,U01,,
BAHMET,Kosem18,V01,,
BAHMET,Kosem18,Z01,,
BAHMET,KOSEM2006,D01,,
BAHMET,KOSEM2006,G01,,
BAHMET,KOSEM2006,KS01,,
BAHMET,KOSEM2006,V01,,
BAHMET,KOSEM2006,Z01,,
BAHMET,KOSEM2007,D01,,
BAHMET,KOSEM2007,G01,,
BAHMET,KOSEM2007,KS01,,
BAHMET,KOSEM2007,V01,,
BAHMET,KOSEM2007,Z01,,
BAHMET,KOSEM2008,D01,,
BAHMET,KOSEM2008,KS01,,
BAHMET,KOSEM2008,V01,,
BAHMET,KOSEM2008,Z01,,
BAHMET,KOSEM2009,D01,,
BAHMET,KOSEM2009,KS01,,
BAHMET,KOSEM2009,T01,,
BAHMET,KOSEM2009,V01,,
BAHMET,KOSEM2009,Z01,,
BAHMET,KOSEM2010,D01,,
BAHMET,KOSEM2010,KS01,,
BAHMET,KOSEM2010,T01,,
BAHMET,KOSEM2010,V01,,
BAHMET,KOSEM2010,Z01,,
BAHMET,KOSEM2011,D01,,
BAHMET,KOSEM2011,H01,,
BAHMET,KOSEM2011,KS01,,
BAHMET,KOSEM2011,T01,,
BAHMET,KOSEM2011,TA01,,
BAHMET,KOSEM2011,V01,,
BAHMET,KOSEM2011,Z01,,
BAHMET,KOSEM2012,D01,,
BAHMET,KOSEM2012,KS01,,
BAHMET,KOSEM2012,T01,,
BAHMET,KOSEM2012,V01,,
BAHMET,KOSEM2012,Z01,,
BAHMET,KOSEM2013,D01,,
BAHMET,KOSEM2013,KS01,,
BAHMET,KOSEM2013,L01,,
BAHMET,KOSEM2013,T01,,
BAHMET,KOSEM2013,V01,,
BAHMET,KOSEM2013,Z01,,
BAHMET,KOSEM2014,D01,,
BAHMET,KOSEM2014,KS01,,
BAHMET,KOSEM2014,L01,,
BAHMET,KOSEM2014,T01,,
BAHMET,KOSEM2014,V01,,
BAHMET,KOSEM2014,Z01,,
BAHMET,KOSEM2016,D01,,
BAHMET,KOSEM2016,H01,,
BAHMET,KOSEM2016,KS01,,
BAHMET,KOSEM2016,L01,,
BAHMET,KOSEM2016,T01,,
BAHMET,KOSEM2016,V01,,
BAHMET,KOSEM2016,Z01,,
BAHMET,Kosem2017,D01,,
BAHMET,Kosem2017,H01,,
BAHMET,Kosem2017,KS01,,
BAHMET,Kosem2017,L01,,
BAHMET,Kosem2017,T01,,
BAHMET,Kosem2017,V01,,
BAHMET,Kosem2017,Z01,,
BAHMET,Kosem2018,D01,,
BAHMET,Kosem2018,H01,,
BAHMET,Kosem2018,KS01,,
BAHMET,Kosem2018,L01,,
BAHMET,Kosem2018,T01,,
BAHMET,Kosem2018,V01,,
BAHMET,Kosem2018,Z01,,
BAHMET,KOSEM2023,A01,,
BAHMET,KOSEM2023,B01,,
BAHMET,KOSEM2023,D01,,
BAHMET,KOSEM2023,E01,,
BAHMET,KOSEM2023,F01,,
BAHMET,KOSEM2023,G01,,
BAHMET,KOSEM2023,H01,,
BAHMET,KOSEM2023,H02,,
BAHMET,KOSEM2023,K01,,
BAHMET,KOSEM2023,KS01,,
BAHMET,KOSEM2023,L01,,
BAHMET,KOSEM2023,O01,,
BAHMET,KOSEM2023,R01,,
BAHMET,KOSEM2023,T01,,
BAHMET,KOSEM2023,T02,,
BAHMET,KOSEM2023,U01,,
BAHMET,KOSEM2023,V01,,
BAHMET,KOSEM2023,Z01,,
BAHMET,Kosem22,A01,,
BAHMET,Kosem22,B01,,
BAHMET,Kosem22,D01,,
BAHMET,Kosem22,E01,,
BAHMET,Kosem22,F01,,
BAHMET,Kosem22,G01,,
BAHMET,Kosem22,H01,,
BAHMET,Kosem22,H02,,
BAHMET,Kosem22,K01,,
BAHMET,Kosem22,KS01,,
BAHMET,Kosem22,L01,,
BAHMET,Kosem22,O01,,
BAHMET,Kosem22,R01,,
BAHMET,Kosem22,T01,,
BAHMET,Kosem22,T02,,
BAHMET,Kosem22,U01,,
BAHMET,Kosem22,V01,,
BAHMET,Kosem22,Z01,,
BAHMET,KOSEM23,A01,,
BAHMET,KOSEM23,B01,,
BAHMET,KOSEM23,D01,,
BAHMET,KOSEM23,E01,,
BAHMET,KOSEM23,F01,,
BAHMET,KOSEM23,G01,,
BAHMET,KOSEM23,H01,,
BAHMET,KOSEM23,H02,,
bahmet,KOSEM23,IR01,,
BAHMET,KOSEM23,K01,,
BAHMET,KOSEM23,KS01,,
BAHMET,KOSEM23,L01,,
BAHMET,KOSEM23,O01,,
BAHMET,KOSEM23,R01,,
BAHMET,KOSEM23,T01,,
BAHMET,KOSEM23,T02,,
BAHMET,KOSEM23,U01,,
BAHMET,KOSEM23,V01,,
BAHMET,KOSEM23,YA,,
BAHMET,KOSEM23,Z01,,
BEKIR,KOSEM,D01,,
BEKIR,KOSEM,G01,,
BEKIR,KOSEM,KS01,,
BEKIR,KOSEM,V01,,
BEKIR,KOSEM,Z01,,
BEKIR,Kosem14,D01,,
BEKIR,Kosem14,H01,,
BEKIR,Kosem14,V01,,
BEKIR,Kosem14,Z01,,
BEKIR,Kosem15,D01,,
BEKIR,Kosem15,H01,,
BEKIR,Kosem15,V01,,
BEKIR,Kosem15,Z01,,
BEKIR,Kosem16,D01,,
BEKIR,Kosem16,E01,,
BEKIR,Kosem16,F01,,
BEKIR,Kosem16,H01,,
BEKIR,Kosem16,R01,,
BEKIR,Kosem16,V01,,
BEKIR,Kosem16,Z01,,
BEKIR,Kosem17,D01,,
BEKIR,Kosem17,E01,,
BEKIR,Kosem17,F01,,
BEKIR,Kosem17,H01,,
BEKIR,Kosem17,O01,,
BEKIR,Kosem17,R01,,
BEKIR,Kosem17,V01,,
BEKIR,Kosem17,Z01,,
BEKIR,Kosem18,A01,,
BEKIR,Kosem18,B01,,
BEKIR,Kosem18,D01,,
BEKIR,Kosem18,E01,,
BEKIR,Kosem18,F01,,
BEKIR,Kosem18,G01,,
BEKIR,Kosem18,H01,,
BEKIR,Kosem18,H02,,
BEKIR,Kosem18,K01,,
BEKIR,Kosem18,KS01,,
BEKIR,Kosem18,L01,,
BEKIR,Kosem18,O01,,
BEKIR,Kosem18,R01,,
BEKIR,Kosem18,T01,,
BEKIR,Kosem18,T02,,
BEKIR,Kosem18,U01,,
BEKIR,Kosem18,V01,,
BEKIR,Kosem18,Z01,,
BEKIR,KOSEM2006,D01,,
BEKIR,KOSEM2006,KS01,,
BEKIR,KOSEM2006,V01,,
BEKIR,KOSEM2006,Z01,,
