AreaCode,CityCode,AreaDescriptionTr,AreaDescriptionEN,LinkedArea,DBName
5115,7,SANTRAL,SANTRAL,4021,TANCA
5116,7,HABİBLER,HABIBLER,4021,TANCA
5117,7,HÜSNÜKARAKAŞ,HUSNUKARAKAS,4021,TANCA
5118,7,YAVUZSELİM,YAVUZSELIM,5222,TANCA
5119,7,TEOMANPAŞA,TEOMANPASA,5222,TANCA
5120,7,BARIŞ,BARIS,4021,TANCA
5121,7,YENİEMEK,YENIEMEK,4021,TANCA
5124,7,M.AKİF ERSOY,M.AKIF ERSOY,4021,TANCA
5125,7,GÜNEŞ,GUNES,4021,TANCA
5126,7,EMEK,EMEK,4021,TANCA
5127,7,SEDİR,SEDIR,4021,TANCA
5128,7,YENİGÖL,YENIGOL,5222,TANCA
5129,7,GÜZELYURT,GUZELYURT,82,TANCA
5131,7,ÇAMKÖY,CAMKOY,82,TANCA
5132,7,CİHADİYE,CIHADIYE,82,TANCA
5133,7,YEŞİLKARAMAN,YESILKARAMAN,2121,TANCA
5135,7,ALTINTAŞ,ALTINTAS,5222,TANCA
5140,7,MEHMETCİK,MEHMETCIK,5222,TANCA
5141,7,TOPÇULAR,TOPCULAR,5222,TANCA
5142,7,KARAÇALLI,KARACALLI,5222,TANCA
5143,7,YEŞİLBAHCE,YESILBAHCE,5222,TANCA
5144,7,KIRCAMİ,KIRCAMI,5222,TANCA
5145,7,ZÜMRÜTOVA,ZUMRUTOVA,5222,TANCA
5147,7,KIZILTOPRAK,KIZILTOPRAK,5222,TANCA
5148,7,ŞİRİNYALI,SIRINYALI,5222,TANCA
5149,7,FENER,FENER,5222,TANCA
5151,7,GÜZELOBA,GUZELOBA,5222,TANCA
5156,7,KİRİŞ,KIRIS,94,TANCA
5171,7,ARAPSUYU,ARAPSUYU,4022,TANCA
5172,7,PINARBAŞI,PINARBASI,81,TANCA
5173,7,MELTEM,MELTEM,4022,TANCA
5174,7,VARLIKLAR,VARLIKLAR,4022,TANCA
5175,7,BAHÇELİEVLER,BAHCELIEVLER,4022,TANCA
5176,7,TOROS,TOROS,4022,TANCA
5177,7,UNCALI,UNCALI,4022,TANCA
5178,7,AKKUYU,AKKUYU,4022,TANCA
5179,7,BAHTILI,BAHTILI,4022,TANCA
5180,7,KIZILARIK,KIZILARIK,5222,TANCA
5181,7,KEPEZALTI,KEPEZALTI,4021,TANCA
5182,7,FATİH,FATIH,4021,TANCA
5259,34,MARPUÇÇULAR,MARPUCCULAR,446,TANCA
5260,34,ÇİÇEKPAZARI,CICEKPAZARI,446,TANCA
5261,34,KANTARCILAR,KANTARCILAR,446,TANCA
5262,34,İMÇ BLOKLARI,IMC BLOKLARI,446,TANCA
5263,34,KÜÇÜKPAZAR,KUCUKPAZAR,446,TANCA
5264,34,HACIKADIN,HACIKADIN,446,TANCA
5265,34,HOCAGIYASETTİN,HOCAGIYASETTIN,446,TANCA
5266,34,MOLLAHÜSREV/EMİNÖNÜ,MOLLAHUSREV/EMINONU,446,TANCA
5267,34,AŞIREFENDİ,ASIREFENDI,446,TANCA
5268,34,KEMALPAŞA/EMİNÖNÜ,KEMALPASA/EMINONU,446,TANCA
5269,34,CİHANGİR/AVCILAR,CIHANGIR/AVCILAR,434,TANCA
5270,34,DENİZKÖŞKLER,DENIZKOSKLER,434,TANCA
5271,34,KEMALPAŞA/AVCILAR,KEMALPASA/AVCILAR,434,TANCA
5272,34,MEHTERÇEŞME,MEHTERCESME,5662,TANCA
5273,34,100. YIL,100. YIL,437,TANCA
5274,34,CUMHURİYET/BAHÇELİEVLER,CUMHURIYET/BAHCELIEVLER,438,TANCA
5275,34,ZAFER,ZAFER,438,TANCA
5276,34,ATAKÖY 2-5-6 KISIM,ATAKOY 2-5-6 KISIM,435,TANCA
5277,34,ATAKÖY 3-4 KISIM,ATAKOY 3-4 KISIM,435,TANCA
5278,34,SAKIZAĞACI,SAKIZAGACI,435,TANCA
5279,34,CEVATPAŞA,CEVATPASA,436,TANCA
5280,34,İSMETPAŞA/BAYRAMPAŞA,ISMETPASA/BAYRAMPASA,436,TANCA
5281,34,KOCATEPE/BAYRAMPAŞA,KOCATEPE/BAYRAMPASA,436,TANCA
5282,34,ORTA/BAYRAMPAŞA,ORTA/BAYRAMPASA,436,TANCA
5283,34,TERAZİDERE,TERAZIDERE,436,TANCA
5284,34,VATAN,VATAN,436,TANCA
5285,34,YENİDOĞAN/BAYRAMPAŞA,YENIDOGAN/BAYRAMPASA,436,TANCA
5286,34,ARMAĞAN,ARMAGAN,439,TANCA
5287,34,CİHANNÜMA,CIHANNUMA,439,TANCA
5288,34,KONAK,KONAK,439,TANCA
5289,34,KÜLTÜR,KULTUR,439,TANCA
5290,34,NİSPETİYE,NISPETIYE,439,TANCA
5291,34,SİNANPAŞA,SINANPASA,439,TANCA
5293,34,VİŞNEZADE,VISNEZADE,439,TANCA
5294,34,ANADOLUKAVAĞI,ANADOLUKAVAGI,456,TANCA
5295,34,ÇAMLIBAHÇE,CAMLIBAHCE,456,TANCA
5296,34,ÇİĞDEM,CIGDEM,456,TANCA
5297,34,GÜMÜŞSUYU/BEYKOZ,GUMUSSUYU/BEYKOZ,456,TANCA
5298,34,İNCİRKÖY,INCIRKOY,456,TANCA
5299,34,ORTAÇEŞME,ORTACESME,456,TANCA
5300,34,ORTAKÖY/BEYKOZ,ORTAKOY/BEYKOZ,456,TANCA
5301,34,RÜZGARLIBAHÇE,RUZGARLIBAHCE,456,TANCA
5302,34,SOĞUKSU,SOGUKSU,456,TANCA
5303,34,YALIKÖY,YALIKOY,456,TANCA
5304,34,YENİMAHALLE/BEYKOZ,YENIMAHALLE/BEYKOZ,456,TANCA
5305,34,ASMALIMESCİT,ASMALIMESCIT,440,TANCA
5306,34,BEDRETTİN,BEDRETTIN,440,TANCA
5307,34,BEREKETZADE,BEREKETZADE,440,TANCA
5308,34,BOSTAN,BOSTAN,440,TANCA
5309,34,BÜLBÜL,BULBUL,440,TANCA
5310,34,CAMİKEBİR,CAMIKEBIR,440,TANCA
5311,34,ÇATMAMESCİT,CATMAMESCIT,440,TANCA
5312,34,ÇUKUR,CUKUR,440,TANCA
5313,34,EMEKYEMEZ,EMEKYEMEZ,440,TANCA
5314,34,EVLİYAÇELEBİ/BEYOĞLU,EVLIYACELEBI/BEYOGLU,440,TANCA
5315,34,FETİHTEPE,FETIHTEPE,440,TANCA
5316,34,FİRUZAĞA,FIRUZAGA,440,TANCA
5317,34,HACIAHMET/BEYOĞLU,HACIAHMET/BEYOGLU,440,TANCA
5318,34,HACIMİMİ,HACIMIMI,440,TANCA
