minx,cariKod,CariKod_Tanim,CariUnvan,BelgeNo,FSeri,FaturaNo,FatTar,SipNo,Fatura_Miktari,Birim,ParaCinsi,FatHarinx,kgid,insUN,insDT,insApp,updUN,updDT,updApp
1,320.01.001,A.D. Spor,A.D. Spor Tic. Ve San. Ltd. Şti.,403,AY,26815,2020-02-28 10:17:30,,1330.0,CIFT,TL,,1,,,,,,
1,320.01.001,A.D. Spor,A.D. Spor Tic. Ve San. Ltd. Şti.,404,AY,26808,2020-02-26 15:20:56,,490.0,CIFT,TL,,2,,,,,,
1,320.01.001,A.D. Spor,A.D. Spor Tic. Ve San. Ltd. Şti.,405,AY,26803,2020-02-19 15:20:56,,890.0,CIFT,TL,,3,,,,,,
1,320.01.001,A.D. Spor,A.D. Spor Tic. Ve San. Ltd. Şti.,406,AH,629812,2020-02-25 15:20:56,,1070.0,CIFT,TL,,4,,,,,,
1,320.01.001,A.D. Spor,A.D. Spor Tic. Ve San. Ltd. Şti.,5116,GIB,2020000000221,2020-12-04 08:44:41,1585,2350.0,CIFT,TL,,5,,,,,,
1,320.01.004,Akform,Akform Ayakkabı Ve Teks.San.Tic.Ltd.Şti.,415,AKF,2020000000208,2020-02-18 16:16:13,,64.5,METRE,TL,,6,,,,,,
1,320.01.004,Akform,Akform Ayakkabı Ve Teks.San.Tic.Ltd.Şti.,416,AKF,2020000000214,2020-02-20 16:18:28,,30.5,METRE,TL,,7,,,,,,
1,320.01.004,Akform,Akform Ayakkabı Ve Teks.San.Tic.Ltd.Şti.,948,AKF,2020000000622,2020-08-12 16:18:28,,130.5,METRE,TL,,8,,,,,,
1,320.01.004,Akform,Akform Ayakkabı Ve Teks.San.Tic.Ltd.Şti.,3266,AKF,2020000000844,2020-10-02 09:35:00,,170.5,METRE,TL,,9,,,,,,
1,320.01.004,Akform,Akform Ayakkabı Ve Teks.San.Tic.Ltd.Şti.,3896,AKF,2020000001040,2020-12-03 12:54:49,1594,130.5,METRE,TL,,10,,,,,,
1,320.01.005,Akort Ortapedik,Akort Ortapedik Ayak.Bakım Ürün.San.Ve Tic.Ltd.Şti.,528,AKR,2020000000471,2020-03-03 17:35:50,,600.0,CIFT,TL,,11,,,,,,
1,320.01.005,Akort Ortapedik,Akort Ortapedik Ayak.Bakım Ürün.San.Ve Tic.Ltd.Şti.,3264,AKR,2020000001406,2020-10-15 09:08:05,,800.0,CIFT,TL,,12,,,,,,
1,320.01.005,Akort Ortapedik,Akort Ortapedik Ayak.Bakım Ürün.San.Ve Tic.Ltd.Şti.,3846,AKR,2020000001559,2020-11-24 14:27:18,1408,548.0,CIFT,TL,,13,,,,,,
1,320.01.005,Akort Ortapedik,Akort Ortapedik Ayak.Bakım Ürün.San.Ve Tic.Ltd.Şti.,3847,AKR,2020000001581,2020-11-26 15:00:26,1408,552.0,CIFT,TL,,14,,,,,,
1,320.01.005,Akort Ortapedik,Akort Ortapedik Ayak.Bakım Ürün.San.Ve Tic.Ltd.Şti.,5049,AKR,2020000001647,2020-12-10 10:46:12,1602,967.0,CIFT,TL,,15,,,,,,
1,320.01.005,Akort Ortapedik,Akort Ortapedik Ayak.Bakım Ürün.San.Ve Tic.Ltd.Şti.,5050,AKR,2020000001718,2020-12-18 10:49:55,1602,433.0,CIFT,TL,,16,,,,,,
1,320.01.007,Asil Kalıp,Asil Kundura Kalıp San.Ltd.Şti,843,B,72560,2020-06-25 16:03:16,,51.0,CIFT,TL,,17,,,,,,
1,320.01.007,Asil Kalıp,Asil Kundura Kalıp San.Ltd.Şti,3609,A,51958,2020-10-05 14:20:42,,1.0,CIFT,TL,,18,,,,,,
1,320.01.010,Balta Deri-Burhan Balta,Balta Deri Ayakkabı San.Tic.Ltd.Şti. ,449,BDS,2020000000035,2020-02-29 16:30:27,,60356.0,DESI,TL,,19,,,,,,
1,320.01.010,Balta Deri-Burhan Balta,Balta Deri Ayakkabı San.Tic.Ltd.Şti. ,450,BDS,2020000000031,2020-02-22 16:30:27,,70038.0,DESI,TL,,20,,,,,,
1,320.01.010,Balta Deri-Burhan Balta,Balta Deri Ayakkabı San.Tic.Ltd.Şti. ,586,BDS,2020000000046,2020-03-14 16:26:21,,1523.0,DESI,TL,,21,,,,,,
1,320.01.013,Cevahir Deri,Cevahir Deri San Tic.Ltd.Şti.,428,CVH,2020000000096,2020-02-11 17:01:05,,30802.0,DESI,TL,,22,,,,,,
1,320.01.013,Cevahir Deri,Cevahir Deri San Tic.Ltd.Şti.,579,CVH,2020000000186,2020-03-13 17:25:16,,1612.0,DESI,TL,,23,,,,,,
1,320.01.013,Cevahir Deri,Cevahir Deri San Tic.Ltd.Şti.,580,CVH,2020000000205,2020-03-20 17:25:16,,47595.0,DESI,TL,,24,,,,,,
1,320.01.013,Cevahir Deri,Cevahir Deri San Tic.Ltd.Şti.,581,CVH,2020000000224,2020-03-31 17:25:16,,748.0,DESI,TL,,25,,,,,,
1,320.01.013,Cevahir Deri,Cevahir Deri San Tic.Ltd.Şti.,582,CVH,2020000000194,2020-03-17 17:25:16,,6238.0,DESI,TL,,26,,,,,,
1,320.01.013,Cevahir Deri,Cevahir Deri San Tic.Ltd.Şti.,944,CVH,2020000000454,2020-08-06 17:25:16,,30714.0,DESI,TL,,27,,,,,,
1,320.01.013,Cevahir Deri,Cevahir Deri San Tic.Ltd.Şti.,3186,CVH,2020000000596,2020-09-25 09:14:36,,4904.0,DESI,TL,,28,,,,,,
1,320.01.013,Cevahir Deri,Cevahir Deri San Tic.Ltd.Şti.,3198,CVH,2020000000632,2020-10-07 17:25:16,,311.0,DESI,TL,,29,,,,,,
1,320.01.013,Cevahir Deri,Cevahir Deri San Tic.Ltd.Şti.,3611,CVH,2020000000686,2020-11-03 09:14:36,,66501.0,DESI,TL,,30,,,,,,
1,320.01.013,Cevahir Deri,Cevahir Deri San Tic.Ltd.Şti.,5030,CVH,2020000000799,2020-12-02 13:37:39,1611,1344.0,DESI,TL,,31,,,,,,
1,320.01.013,Cevahir Deri,Cevahir Deri San Tic.Ltd.Şti.,5031,CVH,2020000000804,2020-12-03 13:39:03,1611,67679.0,DESI,TL,,32,,,,,,
1,320.01.015,Dicle Kağıtçılık,Dicle Kağıtçılık Tic.San.A.Ş.,446,DCE,2020000000327,2020-02-25 16:19:12,,200.0,KG,TL,,33,,,,,,
1,320.01.015,Dicle Kağıtçılık,Dicle Kağıtçılık Tic.San.A.Ş.,3954,DCE,2020000001827,2020-12-07 14:22:45,1625,200.0,KG,TL,,34,,,,,,
1,320.01.016,Duyar Kimya,Duyar Kimya Ve Makine San.Tic.A.Ş.,3668,DT2,2020000000428,2020-10-23 13:28:17,,10.0,ADET,TL,,35,,,,,,
1,320.01.016,Duyar Kimya,Duyar Kimya Ve Makine San.Tic.A.Ş.,4981,DT2,2020000000753,2020-12-14 16:39:01,1658,10.0,KG,TL,,36,,,,,,
1,320.01.018,Ege Taban,Ege Taban San.Ve Tic.Ltd.Şti,419,EGE,2020000000360,2020-02-26 16:25:53,,25.0,CIFT,TL,,37,,,,,,
1,320.01.018,Ege Taban,Ege Taban San.Ve Tic.Ltd.Şti,420,EGE,2020000000352,2020-02-25 16:25:53,,28.0,CIFT,TL,,38,,,,,,
1,320.01.018,Ege Taban,Ege Taban San.Ve Tic.Ltd.Şti,447,EGE,2020000000382,2020-02-27 16:23:35,,245.0,CIFT,TL,,39,,,,,,
1,320.01.018,Ege Taban,Ege Taban San.Ve Tic.Ltd.Şti,5141,EGE,2020000001668,2020-12-18 15:42:36,1616,165.0,CIFT,TL,,40,,,,,,
1,320.01.018,Ege Taban,Ege Taban San.Ve Tic.Ltd.Şti,5142,EGE,2020000001656,2020-12-17 15:45:06,1616,255.0,CIFT,TL,,41,,,,,,
1,320.01.018,Ege Taban,Ege Taban San.Ve Tic.Ltd.Şti,5171,EGE,2020000001712,2020-12-23 14:21:06,1421,855.0,CIFT,TL,,42,,,,,,
1,320.01.019,Elit Makine,Elit Ayakkabı Makine Parça Ve Deri San. Tic.Ltd.Şti.,3790,ELT,2020000001786,2020-11-19 15:06:11,1603,60.0,PLAKA,TL,,43,,,,,,
1,320.01.019,Elit Makine,Elit Ayakkabı Makine Parça Ve Deri San. Tic.Ltd.Şti.,5130,ELT,2020000001950,2020-12-16 10:19:59,1700,20.0,PLAKA,TL,,44,,,,,,
1,320.01.019,Elit Makine,Elit Ayakkabı Makine Parça Ve Deri San. Tic.Ltd.Şti.,5143,ELT,2020000001978,2020-12-21 15:53:33,1716,10.0,PLAKA,TL,,45,,,,,,
