EmirNo,SKOD,RKOD,BedKod,FisNo,FisHarinx,SendTar,StartTarih,Proses,AltProses,Personel,EndTarih,Giren,Cikan,scikan,Birim,WMakNum,Fire,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
178,112873,3463,156,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:55:59.943000,15,,U02002,2021-07-28 11:00:18.107000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,1,1,,,,,,
178,112873,3463,156,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:56:33.283000,11,,U15002,2021-07-28 11:01:09.473000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,2,1,,,,,,
178,112873,3463,156,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:57:25.633000,18,,U11001,2021-07-28 11:01:46.223000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,3,1,,,,,,
178,112873,3463,156,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:58:03.353000,19,,U18001,2021-08-05 15:36:57.527000,3.0000000000,0E-10,0E-10,CIFT,0,0E-10,4,1,,,,,,
178,112873,3463,157,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:55:59.943000,15,,U02002,2021-07-28 11:00:18.107000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,5,1,,,,,,
178,112873,3463,157,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:56:33.283000,11,,U15002,2021-07-28 11:01:09.473000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,6,1,,,,,,
178,112873,3463,157,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:57:25.633000,18,,U11001,2021-07-28 11:01:46.223000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,7,1,,,,,,
178,112873,3463,157,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:58:03.353000,19,,U18001,2021-08-05 15:36:57.527000,4.0000000000,0E-10,0E-10,CIFT,0,0E-10,8,1,,,,,,
178,112873,3463,158,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:55:59.943000,15,,U02002,2021-07-28 11:00:18.107000,8.0000000000,8.0000000000,0E-10,CIFT,0,0E-10,9,1,,,,,,
178,112873,3463,158,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:56:33.283000,11,,U15002,2021-07-28 11:01:09.473000,8.0000000000,8.0000000000,0E-10,CIFT,0,0E-10,10,1,,,,,,
178,112873,3463,158,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:57:25.633000,18,,U11001,2021-07-28 11:01:46.223000,8.0000000000,8.0000000000,0E-10,CIFT,0,0E-10,11,1,,,,,,
178,112873,3463,158,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:58:03.353000,19,,U18001,2021-08-05 15:36:57.527000,8.0000000000,0E-10,0E-10,CIFT,0,0E-10,12,1,,,,,,
178,112873,3463,159,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:55:59.943000,15,,U02002,2021-07-28 11:00:18.107000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,13,1,,,,,,
178,112873,3463,159,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:56:33.283000,11,,U15002,2021-07-28 11:01:09.473000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,14,1,,,,,,
178,112873,3463,159,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:57:25.633000,18,,U11001,2021-07-28 11:01:46.223000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,15,1,,,,,,
178,112873,3463,159,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:58:03.353000,19,,U18001,2021-08-05 15:36:57.527000,4.0000000000,0E-10,0E-10,CIFT,0,0E-10,16,1,,,,,,
178,112873,3463,160,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:55:59.943000,15,,U02002,2021-07-28 11:00:18.107000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,17,1,,,,,,
178,112873,3463,160,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:56:33.283000,11,,U15002,2021-07-28 11:01:09.473000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,18,1,,,,,,
