BarCode,SKod,RKod,Asorti,Activ,OzKod1,OzKod2,OzKod3
8690000000,007 20 2651,162,0001,*,,,
8690000001,007 20 2651,157,0001,*,,,
8690000002,007 20 2651,161,0001,*,,,
8690000003,009 1036,41,0001,*,,,
8690000004,009 1036,40,0001,*,,,
8690000005,007 20 2651,161,0049,*,,,
8690000006,007 20 2651,162,0045,*,,,
8690000007,007 20 2651,382,0049,*,,,
8690000008,007 20 2300,385,0001,*,,,
8690000009,009 201,235,0049,*,,,
8690000010,009 201,233,0045,*,,,
8690000011,418 T 10346,285,0051,*,,,
8690000012,418 T 10346,3,0051,*,,,
8690000013,418 T 10346,64,0051,*,,,
8690000014,418 T 10160 CM,185,0051,*,,,
8690000015,418 T 10160 CM,16,0051,*,,,
8690000016,418 T 10160 CM,12,0051,*,,,
8690000017,418 T 10374,400,0051,*,,,
8690000018,418 T 10374,60,0051,*,,,
8690000019,418 T 10374,284,0051,*,,,
8690000020,418 T 10356,12,0051,*,,,
8690000021,418 T 10356,117,0051,*,,,
8690000022,418 T 10356,116,0051,*,,,
8690000023,418 T 10375,193,0051,*,,,
8690000024,418 T 10375,286,0051,*,,,
8690000025,418 T 10375,284,0051,*,,,
8690000026,418 T 10375,285,0051,*,,,
8690000027,418 T 10179 ,8,0053,*,,,
8690000028,418 T 10179 ,8,0027,*,,,
8690000029,418 T 10353 CM ,16,0051,*,,,
8690000030,418 T 10353 CM ,12,0051,*,,,
8690000031,418 T 10187 CM,100,0051,*,,,
8690000032,418 T 10187 CM,101,0051,*,,,
8690000033,418 T 10376 CM,2,0051,*,,,
8690000034,418 T 10376,400,0051,*,,,
8690000035,418 T 10376,284,0051,*,,,
8690000036,418 T 10204,410,0051,*,,,
8690000037,418 T 10204,411,0051,*,,,
8690000038,418 T 10204,412,0051,*,,,
8690000039,418 S 10142,420,0051,*,,,
8690000040,418 S 10142,421,0051,*,,,
8690000041,418 S 10383,117,0051,*,,,
8690000042,418 S 10383,284,0051,*,,,
8690000043,418 S 10383,118,0051,*,,,
8690000044,418 S 10343 CM ,423,0051,*,,,
8690000045,418 S 10343 CM ,424,0051,*,,,
8690000046,418 S 10343 CM ,222,0051,*,,,
8690000047,002 H 1708,425,0051,*,,,
8690000048,002 H 1708,426,0051,*,,,
8690000049,418 T 10365,174,0051,*,,,
8690000050,418 T 10365,175,0051,*,,,
8690000051,418 S 10364,16,0051,*,,,
8690000052,418 S 10364,15,0051,*,,,
8690000053,002 H 1707,428,0055,*,,,
8690000054,002 H 1707,429,0055,*,,,
8690000055,002 H 1708,425,0055,*,,,
8690000056,002 H 1708,426,0055,*,,,
8690000057,309 3047,430,0031,*,,,
8690000058,309 3047,433,0031,*,,,
8690000059,009 822,42,0031,*,,,
8690000060,009 822,40,0031,*,,,
8690000061,037 5854,297,0021,*,,,
8690000062,293 201,435,0021,*,,,
8690000063,293 201,60,0021,*,,,
8690000064,418 S 10127,437,0057,*,,,
8690000065,418 S 10127,112,0057,*,,,
8690000066,418 S 10105,3,0059,*,,,
8690000067,002 H 1289,442,0061,*,,,
8690000068,002 H 1293,443,0061,*,,,
8690000069,002 H 1054,123,0061,*,,,
8690000070,002 H 2427,444,0061,*,,,
8690000071,002 93 170,327,0061,*,,,
8690000072,002 H 1296,447,0061,*,,,
8690000073,009 179,233,0061,*,,,
8690000074,009 179,231,0061,*,,,
8690000075,037 8644,450,0063,*,,,
8690000076,243 01,244,0057,*,,,
8690000077,128 513,49,0059,*,,,
8690000078,293 201,435,0063,*,,,
8690000079,293 201,60,0063,*,,,
8690000080,009 201,231,0061,*,,,
8690000081,009 201,233,0061,*,,,
8690000082,013 5682,452,0061,*,,,
8690000083,037 6824,252,0063,*,,,
8690000084,418 T 10109,455,0059,*,,,
8690000085,418 T 10344,224,0065,*,,,
8690000086,418 T 10344,226,0065,*,,,
8690000087,418 T 10110,80,0059,*,,,
8690000088,418 T 10164,458,0059,*,,,
8690000089,418 T 10164,460,0059,*,,,
8690000090,418 T 10164 CM ,12,0059,*,,,
8690000091,303 17145,461,0061,*,,,
8690000092,418 T 10141,8,0067,*,,,
8690000093,418 T 10164 CM ,12,0067,*,,,
8690000094,418 T 10307,106,0067,*,,,
8690000095,418 T 10141,3,0067,*,,,
8690000096,418 T 10141,12,0067,*,,,
8690000097,243 01,245,0069,*,,,
8690000098,303 77315,465,0071,*,,,
8690000099,418 S 10142,421,0073,*,,,
8690000100,418 S 10127 CM ,12,0073,*,,,
8690000101,418 S 10352 ,467,0063,*,,,
8690000102,009 1052,242,0065,*,,,
8690000103,009 1052,470,0075,*,,,
8690000104,309 3047,471,0005,*,,,
8690000105,309 3164,475,0005,*,,,
8690000106,418 T 10344,476,0031,*,,,
8690000107,418 T 10316 S,351,0077,*,,,
8690000108,418 T 10164 A,3,0079,*,,,
8690000109,418 T 10374,284,0079,*,,,
8690000110,009 583,284,0079,*,,,
8690000111,418 S 10389,479,0079,*,,,
8690000112,309 3164,49,0081,*,,,
8690000113,309 3164,472,0081,*,,,
8690000114,009 821,42,0083,*,,,
8690000115,009 179,229,0085,*,,,
8690000116,009 179,231,0085,*,,,
8690000117,128 507,41,0087,*,,,
8690000118,128 507,481,0087,*,,,
8690000119,272 2301,338,0089,*,,,
8690000120,272 2301,339,0089,*,,,
8690000121,272 2301,341,0089,*,,,
8690000122,128 507,481,0001,*,,,
8690000123,128 507,286,0001,*,,,
8690000124,272 2301,338,0091,*,,,
8690000125,272 2301,341,0091,*,,,
8690000126,009 41,483,0093,*,,,
8690000127,009 41,273,0095,*,,,
8690000128,009 41,273,0091,*,,,
8690000129,009 41,483,0001,*,,,
8690000130,128 506 ,140,0093,*,,,
8690000131,128 506 ,41,0095,*,,,
8690000132,009 821,42,0095,*,,,
8690000133,128 513,49,0019,*,,,
8690000134,009 201,229,0097,*,,,
8690000135,009 201,231,0097,*,,,
8690000136,002 H 1708,425,0099,*,,,
8690000137,002 H 1708,426,0099,*,,,
8690000138,002 H 945,484,0101,*,,,
8690000139,002 H 2481,486,0103,*,,,
8690000140,002 H 665,488,0105,*,,,
8690000141,002 H 491,489,0107,*,,,
8690000142,002 H 491,491,0019,*,,,
8690000143,007 20 2651,162,0109,*,,,
8690000144,007 20 2651,161,0109,*,,,
8690000145,007 20 2300,386,0111,*,,,
8690000146,007 20 2301,494,0109,*,,,
8690000147,007 20 2300,386,0109,*,,,
8690000148,007 20 2651,160,0001,*,,,
8690000149,046 TR 13,496,0001,*,,,
8690000150,097 2701,41,0001,*,,,
