inx,SatNo,Odinx,Puan,ParaCinsi,Taksit,GBT,SKT,MKod,Active,PERKOD,Tarih,SendCode,STATUS
1,604117,641829,1.72,US, ,2016-06-01 18:08:01,2099-01-01 00:00:00,KS0020000001636, ,M01,2016-06-01 19:15:43.530000,a711658d-8e6c-4f4e-9534-6e3107794ecb,0
2,604119,641831,1.6,US, ,2016-06-01 18:10:01,2099-01-01 00:00:00,KS0020000001636, ,M01,2016-06-01 19:15:32.690000,8d4aa358-fc78-40b3-b043-beba6d56b8cf,0
3,-2,0,50.0,US, ,2016-06-01 18:32:02.193000,2099-01-01 00:00:00,KS0020000001636, ,,2016-06-01 19:27:47.410000,ac2fc6a9-5add-446e-9610-3c9889d37e63,0
4,604139,641852,0.8,US, ,2016-06-01 19:03:25,2099-01-01 00:00:00,KS0020000001636, ,V123,2016-06-01 19:15:06.580000,7675f173-aea7-4825-8ae4-9fb8c57b4941,0
5,604139,641853,-20.0,US, ,2016-06-01 19:04:16,2099-01-01 00:00:00,KS0020000001636, ,V123,2016-06-01 19:15:06.580000,ef48c141-c715-4cb1-bb34-c484d82877f8,0
6,-3,0,10.0,US, ,2016-06-01 19:24:04.163000,2099-01-01 00:00:00,KS0020000001636, ,,2016-06-01 19:28:15.153000,db6e35ea-0a53-44c0-87ec-0340fd6a8a59,0
7,-3,0,10.0,US, ,2016-06-01 19:24:04.180000,2099-01-01 00:00:00,KS0020000001637,*,,2016-06-01 19:24:04.180000,ab86522d-4710-47bf-92f9-97304d75b0ea,0
8,596397,33740,2.0,TL,*,2016-06-18 15:48:04,2099-01-01 00:00:00,M102066,*,,2016-10-18 18:23:09.633000,9b7c81e2-07d7-4c18-98b1-68d6cf79d29d,0
9,596392,33738,0.8,TL,*,2016-05-10 12:59:20,2099-01-01 00:00:00,M0845,*,,2016-07-14 11:51:27.163000,77ce1583-ecd4-4d95-9e73-ac3f618df213,0
10,596392,33739,0.8,TL,*,2016-07-14 11:51:27,2099-01-01 00:00:00,M0845,*,,2016-07-14 11:51:27.163000,d70a9653-fe41-4c4d-83a0-6ce6ab355a90,0
11,597386,33807,1.6,TL,*,2016-05-20 16:26:24,2099-01-01 00:00:00,M0845,*,,2016-09-21 16:49:37.470000,ac9c9a44-165a-46d0-a902-191a94e13923,0
12,597386,33808,1.6,TL,*,2016-07-14 11:51:27,2099-01-01 00:00:00,M0845,*,,2016-09-21 16:49:37.470000,1611df17-7b50-4aa6-b6f4-b012f9bb7c26,0
13,597386,33809,1.599996,TL,*,2016-07-14 11:51:28,2099-01-01 00:00:00,M0845,*,,2016-09-21 16:49:37.470000,2833583c-8d79-44f8-9343-11eaab991058,0
14,596399,33743,1.2,TL,*,2016-09-07 16:51:38,2099-01-01 00:00:00,M102066,*,,2016-09-07 16:51:38.540000,3b9fb781-620d-4b1d-bc14-ca9a7f828691,0
15,596397,33741,0.8,TL,*,2016-09-07 16:51:39,2099-01-01 00:00:00,M102066,*,,2016-10-18 18:23:09.633000,68a54f15-44e3-41a6-bad6-2a7e5ec2b26b,0
16,597386,33810,1.6,TL,*,2016-09-21 16:49:37,2099-01-01 00:00:00,M0845,*,,2016-09-21 16:49:37.470000,417d463b-1b5a-4d8e-8b5a-2f36cc208ae8,0
17,596397,33742,2.0,TL,*,2016-10-18 18:23:09,2099-01-01 00:00:00,M102066,*,,2016-10-18 18:23:09.633000,af619f4b-ec0d-44b3-88e8-c2555c613a33,0
