ID,USTID,SATIRTIP,TANIMKODU,TANIMADI,ACCCODE1,ACCCODE2,RAPORLAMA,TERSBAKIYE,HESAPTUTARI,ISLEMTURU,HESAPKAREKTERI,FORMULTANIM,SIRANO,AP,TUTAR,USTGRUP,SEVIYE
1,1,1,01,   I- KISA VADELİ YABANCI KAYNAKLAR,,,0,0,0,0,0,,1.0000000000,P,,,1
2,1,1,01.1,    A MALİ BORÇLAR,,,0,0,0,0,0,,2.0000000000,P,,01,2
3,1,2,01.1.01,      01. Banka Kredileri,300,,0,0,0,0,0,,3.0000000000,P,,01.1,3
4,1,2,01.1.02,      02. Uzun Vadeli Kredilerin Anapara Taksitleri ve Faizleri,303,,0,0,0,0,0,,4.0000000000,P,,01.1,3
5,1,2,01.1.03,"      03. Tahvil Anapara Borç, Taksit ve Faizleri",304,,0,0,0,0,0,,5.0000000000,P,,01.1,3
6,1,2,01.1.04,      04. Çıkarılmış Bonolar ve Senetler,305,,0,0,0,0,0,,6.0000000000,P,,01.1,3
7,1,2,01.1.05,      05. Çıkarılmış Diğer Menkul Kıymetler,306,,0,0,0,0,0,,7.0000000000,P,,01.1,3
8,1,2,01.1.06,      06. Menkul Kıymetler İhraç Farkı (-),308,,0,0,0,0,0,,8.0000000000,P,,01.1,3
9,1,2,01.1.07,      07. Diğer Mali Borçlar,309,,0,0,0,0,0,,9.0000000000,P,,01.1,3
10,1,1,01.2,    B TİCARİ BORÇLAR,,,0,0,0,0,0,,10.0000000000,P,,01,2
11,1,2,01.2.01,      01. Satıcılar,320,,0,0,0,0,0,,11.0000000000,P,,01.2,3
12,1,2,01.2.02,      02. Borç Senetleri,321,,0,0,0,0,0,,12.0000000000,P,,01.2,3
13,1,2,01.2.03,      03. Borç Senetleri Reeskontu (-),322,,0,0,0,0,0,,13.0000000000,P,,01.2,3
14,1,2,01.2.04,      04. Alınan Depozito ve Teminatlar,326,,0,0,0,0,0,,14.0000000000,P,,01.2,3
15,1,2,01.2.05,      05. Diğer Ticari Borçlar,329,,0,0,0,0,0,,15.0000000000,P,,01.2,3
16,1,1,01.3,    C DİĞER BORÇLAR,,,0,0,0,0,0,,16.0000000000,P,,01,2
17,1,2,01.3.01,      01. Ortaklara Borçlar,331,,0,0,0,0,0,,17.0000000000,P,,01.3,3
18,1,2,01.3.02,      02. İştiraklere Borçlar,322,,0,0,0,0,0,,18.0000000000,P,,01.3,3
19,1,2,01.3.03,      03. Bağlı Ortaklıklara Borçlar,333,,0,0,0,0,0,,19.0000000000,P,,01.3,3
20,1,2,01.3.04,      04. Personele Borçlar,335,,0,0,0,0,0,,20.0000000000,P,,01.3,3
21,1,2,01.3.05,      05. Diğer Çeşitli Borçlar,336,,0,0,0,0,0,,21.0000000000,P,,01.3,3
22,1,2,01.3.06,      06. Diğer Borç Senetleri Reeskontu (-),337,,0,0,0,0,0,,22.0000000000,P,,01.3,3
23,1,1,01.4,    D ALINAN AVANSLAR,,,0,0,0,0,0,,23.0000000000,P,,01,2
24,1,2,01.4.01,      01. Alınan Sipariş Avansları,340,,0,0,0,0,0,,24.0000000000,P,,01.4,3
25,1,2,01.4.02,      02. Alınan Diğer Avanslar,349,,0,0,0,0,0,,25.0000000000,P,,01.4,3
26,1,1,01.5,    E YILLARA YAYGIN İNŞAAT VE ONARIM HAKEDİŞLERİ,,,0,0,0,0,0,,26.0000000000,P,,01,2
27,1,2,01.5.01,      01. Yıllara Yaygın İnşaat ve Onarım Hakediş Bedelleri,350,,0,0,0,0,0,,27.0000000000,P,,01.5,3
28,1,2,01.5.02,      02. Yıllara Yaygın İnşaat ve Onarım Hakediş Bedelleri,351,,0,0,0,0,0,,28.0000000000,P,,01.5,3
29,1,2,01.5.03,      03. Yıllara Yaygın İnşaat ve Onarım Hakediş Bedelleri,352,,0,0,0,0,0,,29.0000000000,P,,01.5,3
30,1,2,01.5.04,      04. Yıllara Yaygın İnşaat ve Onarım Hakediş Bedelleri,353,,0,0,0,0,0,,30.0000000000,P,,01.5,3
31,1,2,01.5.05,      05. Yıllara Yaygın İnşaat ve Onarım Hakediş Bedelleri,354,,0,0,0,0,0,,31.0000000000,P,,01.5,3
32,1,2,01.5.06,      06. Yıllara Yaygın İnşaat ve Onarım Hakediş Bedelleri,355,,0,0,0,0,0,,32.0000000000,P,,01.5,3
33,1,2,01.5.07,      07. Yıllara Yaygın İnşaat ve Onarım Hakediş Bedelleri,356,,0,0,0,0,0,,33.0000000000,P,,01.5,3
34,1,2,01.5.08,      08. Yıllara Yaygın İnşaat ve Onarım Hakediş Bedelleri,357,,0,0,0,0,0,,34.0000000000,P,,01.5,3
35,1,2,01.5.09,      09. Yıllara Yaygın İnşaat ve Onarım Hakediş Bedelleri,358,,0,0,0,0,0,,35.0000000000,P,,01.5,3
36,1,1,01.6,    F ÖDENECEK VERGİ VE DİĞER YÜKÜMLÜLÜKLER,,,0,0,0,0,0,,36.0000000000,P,,01,2
37,1,2,01.6.01,      01. Ödenecek Vegi ve Fonlar,360,,0,0,0,0,0,,37.0000000000,P,,01.6,3
38,1,2,01.6.02,      02. Ödenecek Sosyal Güvenlik Kesintileri,361,,0,0,0,0,0,,38.0000000000,P,,01.6,3
39,1,2,01.6.03,      03. Vadesi Geçmiş Ertelenmiş Veya Taksitlendirilmiş Vergi ve Diğer Yüküml.,368,,0,0,0,0,0,,39.0000000000,P,,01.6,3
40,1,2,01.6.04,      04. Ödenecek Diğer Yükümlülükler,369,,0,0,0,0,0,,40.0000000000,P,,01.6,3
41,1,1,01.7,    G BORÇ VE GİDER KARŞILIKLARI,,,0,0,0,0,0,,41.0000000000,P,,01,2
42,1,2,01.7.01,      01. Dönem Karı Vergi ve Diğer Yasal Yükümlülük Karşılıkları,370,,0,0,0,0,0,,42.0000000000,P,,01.7,3
43,1,2,01.7.02,      02. Dönem Karının Peşin Ödenen Vergi ve Diğer Yükümlülükleri (-),371,,0,0,0,0,0,,43.0000000000,P,,01.7,3
44,1,2,01.7.03,      03. Kıdem Tazminatı Karşılığı,372,,0,0,0,0,0,,44.0000000000,P,,01.7,3
45,1,2,01.7.04,      04. Maliyet Giderleri Karşılığı,373,,0,0,0,0,0,,45.0000000000,P,,01.7,3
46,1,2,01.7.05,      05. Diğer Borç ve Gider Karşılıkları,379,,0,0,0,0,0,,46.0000000000,P,,01.7,3
47,1,1,01.8,    H GELECEK AYLARA AİT GELİRLER VE GİDER TAHAKKUKLARI ,,,0,0,0,0,0,,47.0000000000,P,,01,2
48,1,2,01.8.01,      01. Gelecek Aylara Ait Gelirler,380,,0,0,0,0,0,,48.0000000000,P,,01.8,3
49,1,2,01.8.02,      02. Gider Tahakkukları,381,,0,0,0,0,0,,49.0000000000,P,,01.8,3
50,1,1,01.9,    J DİĞER KISA VADELİ YABANCI KAYNAKLAR,,,0,0,0,0,0,,50.0000000000,P,,01,2
51,1,2,01.9.01,      01. Hesaplanan KDV,391,,0,0,0,0,0,,51.0000000000,P,,01.9,3
52,1,2,01.9.02,      02. Diğer KDV,392,,0,0,0,0,0,,52.0000000000,P,,01.9,3
53,1,2,01.9.03,      03. Merkez ve Şubeler Cari Hesabı,393,,0,0,0,0,0,,53.0000000000,P,,01.9,3
54,1,2,01.9.04,      04. Sayım ve Tesellüm Fazlaları,397,,0,0,0,0,0,,54.0000000000,P,,01.9,3
55,1,2,01.9.05,      05. Diğer Çeşitli Yabancı Kaynaklar,399,,0,0,0,0,0,,55.0000000000,P,,01.9,3
56,1,1,02,   II- UZUN VADELİ YABANCI KAYNAKLAR,,,0,0,0,0,0,,56.0000000000,P,,,1
57,1,1,02.1,    A MALİ BORÇLAR,,,0,0,0,0,0,,57.0000000000,P,,02,2
58,1,2,02.1.01,      01. Banka Kredileri,400,,0,0,0,0,0,,58.0000000000,P,,02.1,3
59,1,2,02.1.02,      02. Çıkarılmış Tahviller,405,,0,0,0,0,0,,59.0000000000,P,,02.1,3
60,1,2,02.1.03,      03. Çıkarılmış Diğer Menkul Kıymetler,407,,0,0,0,0,0,,60.0000000000,P,,02.1,3
61,1,2,02.1.04,      04. Menkul Kıymetler İhraç Farkı (-),408,,0,0,0,0,0,,61.0000000000,P,,02.1,3
62,1,2,02.1.05,      05. Diğer Mali Borçlar,409,,0,0,0,0,0,,62.0000000000,P,,02.1,3
63,1,1,02.2,    B TİCARİ BORÇLAR,,,0,0,0,0,0,,63.0000000000,P,,02,2
64,1,2,02.2.01,      01. Satıcılar,420,,0,0,0,0,0,,64.0000000000,P,,02.2,3
65,1,2,02.2.02,      02. Borç Senetleri,421,,0,0,0,0,0,,65.0000000000,P,,02.2,3
66,1,2,02.2.03,      03. Borç Senetleri Reeskontu (-),422,,0,0,0,0,0,,66.0000000000,P,,02.2,3
67,1,2,02.2.04,      04. Alınan Depozito ve Teminatlar,426,,0,0,0,0,0,,67.0000000000,P,,02.2,3
68,1,2,02.2.05,      05. Diğer Ticari Borçlar,429,,0,0,0,0,0,,68.0000000000,P,,02.2,3
69,1,1,02.3,    C DİĞER BORÇLAR,,,0,0,0,0,0,,69.0000000000,P,,02,2
70,1,2,02.3.01,      01. Ortaklara Borçlar,431,,0,0,0,0,0,,70.0000000000,P,,02.3,3
71,1,2,02.3.02,      02. İştiraklere Borçlar,432,,0,0,0,0,0,,71.0000000000,P,,02.3,3
72,1,2,02.3.03,      03. Bağlı Ortaklıklara Borçlar,433,,0,0,0,0,0,,72.0000000000,P,,02.3,3
73,1,2,02.3.04,      04. Diğer Çeşitli Borçlar,436,,0,0,0,0,0,,73.0000000000,P,,02.3,3
74,1,2,02.3.05,      05. Diğer Borç Senetleri Reeskontu (-),437,,0,0,0,0,0,,74.0000000000,P,,02.3,3
75,1,2,02.3.06,      06. Kamuya Olan Ertelenmiş Veya Taksitlendirilmiş Borçlar,438,,0,0,0,0,0,,75.0000000000,P,,02.3,3
76,1,1,02.4,    D ALINAN AVANSLAR,,,0,0,0,0,0,,76.0000000000,P,,02,2
77,1,1,02.5,    E BORÇ VE GİDER KARŞILIKLARI,,,0,0,0,0,0,,77.0000000000,P,,02,2
78,1,2,02.5.01,      01. Kıdem Tazminatı Karşılığı,472,,0,0,0,0,0,,78.0000000000,P,,02.5,3
79,1,2,02.5.02,      02. Diğer Borç ve Gider Karşılıkları,479,,0,0,0,0,0,,79.0000000000,P,,02.5,3
80,1,1,02.6,    F GELECEK YILLARA AİT GELİRLER VE GİDER TAHAKKUKLARI,,,0,0,0,0,0,,80.0000000000,P,,02,2
81,1,2,02.6.01,      01. Gelecek Yıllara Ait Gelirler,480,,0,0,0,0,0,,81.0000000000,P,,02.6,3
82,1,2,02.6.02,      02. Gider Tahakkukları,481,,0,0,0,0,0,,82.0000000000,P,,02.6,3
83,1,1,02.7,    G DİĞER UZUN VADELİ YABANCI KAYNAKLAR,,,0,0,0,0,0,,83.0000000000,P,,02,2
84,1,2,02.7.01,      01. Gelecek Yıllara Ertelenen Veya Terkin Edilen Katma Değer Vergisi,492,,0,0,0,0,0,,84.0000000000,P,,02.7,3
85,1,2,02.7.02,      02. Tesise Katılma Payları,493,,0,0,0,0,0,,85.0000000000,P,,02.7,3
86,1,2,02.7.03,      03. Diğer Çeşitli Uzun Vadeli Yabancı Kaynaklar,499,,0,0,0,0,0,,86.0000000000,P,,02.7,3
87,1,1,03,  III- ÖZKAYNAKLAR,,,0,0,0,0,0,,87.0000000000,P,,,1
88,1,1,03.1,    A ÖDENMİŞ SERMAYE ,,,0,0,0,0,0,,88.0000000000,P,,03,2
89,1,2,03.1.01,      01. Sermaye,500,,0,0,0,0,0,,89.0000000000,P,,03.1,3
90,1,2,03.1.02,      02. Ödenmemiş Sermaye (-),501,,0,0,0,0,0,,90.0000000000,P,,03.1,3
91,1,1,03.2,    B SERMAYE YEDEKLERİ,,,0,0,0,0,0,,91.0000000000,P,,03,2
92,1,2,03.2.01,      01. Hisse Senetleri İhraç Primleri,520,,0,0,0,0,0,,92.0000000000,P,,03.2,3
93,1,2,03.2.02,      02. Hisse Senedi İptal Karları,521,,0,0,0,0,0,,93.0000000000,P,,03.2,3
94,1,2,03.2.03,      03. M.D.V. Yeniden Değerleme Artışları,522,,0,0,0,0,0,,94.0000000000,P,,03.2,3
95,1,2,03.2.04,      04. İştirakler Yeniden Değerleme Artışları,523,,0,0,0,0,0,,95.0000000000,P,,03.2,3
96,1,2,03.2.05,      05. Diğer Sermaye Yedekleri,529,,0,0,0,0,0,,96.0000000000,P,,03.2,3
97,1,1,03.3,    C KAR YEDEKLERİ,,,0,0,0,0,0,,97.0000000000,P,,03,2
98,1,2,03.3.01,      01. Yasal Yedekler,540,,0,0,0,0,0,,98.0000000000,P,,03.3,3
99,1,2,03.3.02,      02. Statü Yedekleri,541,,0,0,0,0,0,,99.0000000000,P,,03.3,3
100,1,2,03.3.03,      03. Olağanüstü Yedekler,542,,0,0,0,0,0,,100.0000000000,P,,03.3,3
101,1,2,03.3.04,      04. Diğer Kar Yedekleri,548,,0,0,0,0,0,,101.0000000000,P,,03.3,3
102,1,2,03.3.05,      05. Özel Fonlar,549,,0,0,0,0,0,,102.0000000000,P,,03.3,3
103,1,2,03.4,    D GEÇMİŞ YILLAR KARLARI,570,,0,0,0,0,0,,103.0000000000,P,,03,2
104,1,2,03.5,    E GEÇMİŞ YILLAR ZARARLARI (-),580,,0,0,0,0,0,,104.0000000000,P,,03,2
105,1,1,03.6,    F DÖNEM NET KARI (ZARARI),,,0,0,0,0,0,,105.0000000000,P,,03,2
106,1,2,03.6.01,      01. Dönem Net Karı,590,,0,0,0,0,0,,106.0000000000,P,,03.6,3
107,1,2,03.6.02,      02. Dönem Net Zararı (-),591,,0,0,0,0,0,,107.0000000000,P,,03.6,3
108,1,7,,PASİFLER TOPLAMI,,,0,0,0,0,0,,108.0000000000,P,,,0
109,1,9,,------------------------------------------------------------------------------------------------------,,,0,0,0,0,0,,109.0000000000,P,,,0
110,1,1,01, I- DÖNEN VARLIKLAR,,,0,0,0,0,0,,1.0000000000,A,,,1
111,1,1,01.1,  A HAZIR DEĞERLER,,,0,0,0,0,0,,2.0000000000,A,,01,2
112,1,2,01.1.01,     01. Kasa,100,,0,0,0,0,0,,3.0000000000,A,,01.1,3
113,1,2,01.1.02,     02. Alınan Çekler,101,,0,0,0,0,0,,4.0000000000,A,,01.1,3
114,1,2,01.1.03,     03. Banka ,102,,0,0,0,0,0,,5.0000000000,A,,01.1,3
115,1,2,01.1.04,     04. Verilen Çekler ve Ödeme Emirleri (-),103,,0,0,0,0,0,,6.0000000000,A,,01.1,3
116,1,2,01.1.05,     05. Diğer Hazır Değerler,108,,0,0,0,0,0,,7.0000000000,A,,01.1,3
117,1,1,01.2,  B MENKUL KIYMETLER,,,0,0,0,0,0,,8.0000000000,A,,01,2
118,1,2,01.2.01,     01. Hisse Senetleri,110,,0,0,0,0,0,,9.0000000000,A,,01.2,3
119,1,2,01.2.02,"     02. Özel Kesim Tahvil, Senet ve Bonoları",111,,0,0,0,0,0,,10.0000000000,A,,01.2,3
120,1,2,01.2.03,"     03. Kamu Kesimi Tahvil, Senet ve Bonoları",112,,0,0,0,0,0,,11.0000000000,A,,01.2,3
121,1,2,01.2.04,     04. Diğer Menkul Kıymetler,118,,0,0,0,0,0,,12.0000000000,A,,01.2,3
122,1,2,01.2.05,     05. Menkul Kıymetler Değer Düşüklüğü Karşılığı (-),119,,0,0,0,0,0,,13.0000000000,A,,01.2,3
123,1,1,01.3,  C TİCARİ ALACAKLAR,,,0,0,0,0,0,,14.0000000000,A,,01,2
124,1,2,01.3.01,     01. Alıcılar,120,,0,0,0,0,0,,15.0000000000,A,,01.3,3
125,1,2,01.3.02,     02. Alacak Senetleri,121,,0,0,0,0,0,,16.0000000000,A,,01.3,3
126,1,2,01.3.03,     03. Alacak Senetleri Reeskontu (-),122,,0,0,0,0,0,,17.0000000000,A,,01.3,3
127,1,2,01.3.04,     04. Verilen Depozito ve Teminatlar,126,,0,0,0,0,0,,18.0000000000,A,,01.3,3
128,1,2,01.3.05,     05. Diğer Ticari Alacaklar,127,,0,0,0,0,0,,19.0000000000,A,,01.3,3
129,1,2,01.3.06,     06. Şüpheli Ticari Alacaklar,128,,0,0,0,0,0,,20.0000000000,A,,01.3,3
130,1,2,01.3.07,     07. Şüpheli Ticari Alacaklar Karşılığı (-),129,,0,0,0,0,0,,21.0000000000,A,,01.3,3
131,1,1,01.4,  D DİĞER ALACAKLAR,,,0,0,0,0,0,,22.0000000000,A,,01,2
132,1,2,01.4.01,     01. Ortaklardan Alacaklar,131,,0,0,0,0,0,,23.0000000000,A,,01.4,3
133,1,2,01.4.02,     02. İştiraklerden Alacaklar,132,,0,0,0,0,0,,24.0000000000,A,,01.4,3
134,1,2,01.4.03,     03. Bağlı Ortaklıklardan Alacaklar,133,,0,0,0,0,0,,25.0000000000,A,,01.4,3
135,1,2,01.4.04,     04. Personelden Alacaklar,135,,0,0,0,0,0,,26.0000000000,A,,01.4,3
136,1,2,01.4.05,     05. Diğer Çeşitli Alacaklar,136,,0,0,0,0,0,,27.0000000000,A,,01.4,3
137,1,2,01.4.06,     06. Diğer Alacak Senetleri Reeskontu (-),137,,0,0,0,0,0,,28.0000000000,A,,01.4,3
138,1,2,01.4.07,     07. Şüpheli Diğer Alacaklar,138,,0,0,0,0,0,,29.0000000000,A,,01.4,3
139,1,2,01.4.08,     08. Şüpheli Diğer Alacaklar Karşılığı (-),139,,0,0,0,0,0,,30.0000000000,A,,01.4,3
140,1,1,01.5,  E STOKLAR,,,0,0,0,0,0,,31.0000000000,A,,01,2
141,1,2,01.5.01,     01. İlk Madde ve Malzeme,150,,0,0,0,0,0,,32.0000000000,A,,01.5,3
142,1,2,01.5.02,     02. Yarı Mamuller - Üretim,151,,0,0,0,0,0,,33.0000000000,A,,01.5,3
143,1,2,01.5.03,     03. Mamuller,152,,0,0,0,0,0,,34.0000000000,A,,01.5,3
144,1,2,01.5.04,     04. Ticari Mallar,153,,0,0,0,0,0,,35.0000000000,A,,01.5,3
145,1,2,01.5.05,     05. Diğer Stoklar,157,,0,0,0,0,0,,36.0000000000,A,,01.5,3
146,1,2,01.5.06,     06. Stok Değer Düşüklüğü Karşılığı (-),158,,0,0,0,0,0,,37.0000000000,A,,01.5,3
147,1,2,01.5.07,     07. Verilen Sipariş Avansları,159,,0,0,0,0,0,,38.0000000000,A,,01.5,3
148,1,1,01.6,  F YILLARA YAYGIN İNŞAAT VE ONARIM MALİYETLERİ,,,0,0,0,0,0,,39.0000000000,A,,01,2
149,1,2,01.6.01,     01. Yıllara Yaygın İnşaat ve Onarım Maliyetleri,170,,0,0,0,0,0,,40.0000000000,A,,01.6,3
150,1,2,01.6.02,     02. Yıllara Yaygın İnşaat ve Onarım Maliyetleri,171,,0,0,0,0,0,,41.0000000000,A,,01.6,3
151,1,2,01.6.03,     03. Yıllara Yaygın İnşaat ve Onarım Maliyetleri,172,,0,0,0,0,0,,42.0000000000,A,,01.6,3
152,1,2,01.6.04,     04. Yıllara Yaygın İnşaat ve Onarım Maliyetleri,173,,0,0,0,0,0,,43.0000000000,A,,01.6,3
153,1,2,01.6.05,     05. Yıllara Yaygın İnşaat ve Onarım Maliyetleri,174,,0,0,0,0,0,,44.0000000000,A,,01.6,3
154,1,2,01.6.06,     06. Yıllara Yaygın İnşaat ve Onarım Maliyetleri,175,,0,0,0,0,0,,45.0000000000,A,,01.6,3
155,1,2,01.6.07,     07. Yıllara Yaygın İnşaat ve Onarım Maliyetleri,176,,0,0,0,0,0,,46.0000000000,A,,01.6,3
156,1,2,01.6.08,     08. Yıllara Yaygın İnşaat ve Onarım Maliyetleri,177,,0,0,0,0,0,,47.0000000000,A,,01.6,3
157,1,2,01.6.09,     09. Yıllara Yaygın İnşaat ve Onarım Maliyetleri,178,,0,0,0,0,0,,48.0000000000,A,,01.6,3
158,1,2,01.6.10,     10. Taşeronlara Verilen Avanslar,179,,0,0,0,0,0,,49.0000000000,A,,01.6,3
159,1,1,01.7,  G GELECEK AYLARA AİT GİDERLER VE GELİR TAHAKKUKLARI,,,0,0,0,0,0,,50.0000000000,A,,01,2
160,1,2,01.7.01,     01. Gelecek Aylara Ait Giderler,180,,0,0,0,0,0,,51.0000000000,A,,01.7,3
161,1,2,01.7.02,     02. Gelir Tahakkukları,181,,0,0,0,0,0,,52.0000000000,A,,01.7,3
162,1,1,01.8,  H DİĞER DÖNEN VARLIKLAR,,,0,0,0,0,0,,53.0000000000,A,,01,2
163,1,2,01.8.01,     01. Devreden KDV,190,,0,0,0,0,0,,54.0000000000,A,,01.8,3
164,1,2,01.8.02,     02. İndirilecek Katma Değer Vergisi,191,,0,0,0,0,0,,55.0000000000,A,,01.8,3
165,1,2,01.8.03,     03. Diğer Katma Değer Vergisi,192,,0,0,0,0,0,,56.0000000000,A,,01.8,3
166,1,2,01.8.04,     04. Peşin Ödenen Vergiler ve Fonlar,193,,0,0,0,0,0,,57.0000000000,A,,01.8,3
167,1,2,01.8.05,     05. İş Avansları,195,,0,0,0,0,0,,58.0000000000,A,,01.8,3
168,1,2,01.8.06,     06.  Personel Avansları,196,,0,0,0,0,0,,59.0000000000,A,,01.8,3
