FisNo,DovKod,CDovKod,carpan,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
783,US,TL,5.9402000000,1,783,,,,,,
784,EU,TL,6.6506000000,2,784,,,,,,
1040,US,TL,6.8999000000,3,1040,,,,,,
5655,US,TL,7.4896000000,4,5655,,,,,,
27791,US,TL,18.8647000000,5,27791,,,,,,
32940,EU,TL,10.0000000000,6,32940,gulsah,2024-01-20 21:16:03.540000,KGShop,,,
32946,US,TL,10.0000000000,7,32946,gulsah,2024-02-10 19:07:29.543000,KGShop,,,
32953,US,TL,10.0000000000,8,32953,gulsah,2024-02-10 21:29:15.510000,KGShop,,,
32958,US,tl,10.0000000000,9,32958,gulsah,2024-02-13 01:44:33.530000,KGShop,,,
32970,usd,tl,10.0000000000,11,32970,gulsah,2024-02-14 03:16:31.380000,KGShop,gulsah,2024-02-14 03:19:23.560000,KGShop
32971,US,TL,29.4200000000,12,32971,k,2024-02-14 11:56:05.467000,KGShop,,,
32972,cdf,fdc,11.0000000000,13,32972,gulsah,2024-02-15 13:12:13.260000,KGShop,,,
33012,US,TL,10.0000000000,14,33012,gulsah,2024-03-13 22:00:53.530000,KGShop,,,
