Company,Location,CKod,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
01,CA001,111,4651,3894,harun,2024-02-19 12:02:41.340000,KGShop,harun,2024-02-19 12:02:41.360000,KGShop
01,CA001,1111,4648,3891,gulsah,2024-01-20 21:44:37.760000,KGShop,gulsah,2024-01-20 21:44:37.773000,KGShop
01,CA001,11122,4677,3907,OZKAN,2024-05-29 16:20:01.017000,KGShop,OZKAN,2024-05-29 16:20:01.030000,KGShop
01,CA001,120.01.001,1,1920,,,,,,
01,CA001,120.01.002,2,1,,,,,,
01,CA001,120.01.003,3,2,,,,,,
01,CA001,120.01.004,4,3,,,,,,
01,CA001,120.01.006,5,1921,,,,,,
01,CA001,120.01.007,6,4,,,,,,
01,CA001,120.01.008,7,1922,,,,,,
01,CA001,120.01.009,8,1923,,,,,,
01,CA001,120.01.010,9,1924,,,,,,
01,CA001,120.01.011,10,1925,,,,,,
01,CA001,120.01.012,11,5,,,,,,
01,CA001,120.01.013,12,6,,,,,,
01,CA001,120.01.014,13,7,,,,,,
01,CA001,120.01.015,14,1926,,,,,,
01,CA001,120.01.016,15,1927,,,,,,
01,CA001,120.01.017,16,8,,,,,,
01,CA001,120.01.018,17,9,,,,,,
01,CA001,120.01.019,18,10,,,,,,
01,CA001,120.01.020,19,11,,,,,,
01,CA001,120.01.021,20,12,,,,,,
01,CA001,120.01.022,21,1928,,,,,,
01,CA001,120.01.023,22,13,,,,,,
01,CA001,120.01.024,23,1929,,,,,,
01,CA001,120.01.025,24,14,,,,,,
01,CA001,120.01.026,25,15,,,,,,
01,CA001,120.01.027,26,16,,,,,,
01,CA001,120.01.028,27,17,,,,,,
01,CA001,120.01.029,28,18,,,,,,
01,CA001,120.01.030,29,1930,,,,,,
01,CA001,120.01.031,30,19,,,,,,
01,CA001,120.01.032,31,20,,,,,,
01,CA001,120.01.033,32,1931,,,,,,
01,CA001,120.01.034,33,21,,,,,,
01,CA001,120.01.035,34,22,,,,,,
01,CA001,120.01.036,35,23,,,,,,
01,CA001,120.01.037,36,24,,,,,,
01,CA001,120.01.038,37,25,,,,,,
01,CA001,120.01.039,38,1932,,,,,,
01,CA001,120.01.040,39,26,,,,,,
01,CA001,120.01.041,40,1933,,,,,,
01,CA001,120.01.042,41,1934,,,,,,
01,CA001,120.01.043,42,1935,,,,,,
01,CA001,120.01.044,43,1936,,,,,,
01,CA001,120.01.045,44,1937,,,,,,
01,CA001,120.01.046,45,1938,,,,,,
01,CA001,120.01.047,46,1939,,,,,,
01,CA001,120.01.049,47,1941,,,,,,
01,CA001,120.01.050,48,1942,,,,,,
01,CA001,120.01.051,49,1943,,,,,,
01,CA001,120.01.052,50,1944,,,,,,
01,CA001,120.01.059,51,1946,,,,,,
01,CA001,120.01.060,52,1947,,,,,,
01,CA001,120.01.062,53,1948,,,,,,
01,CA001,120.01.063,54,1949,,,,,,
01,CA001,120.01.064,55,1950,,,,,,
01,CA001,120.01.065,56,1951,,,,,,
01,CA001,120.01.066,57,1952,,,,,,
01,CA001,120.01.099,4675,3905,Guray,2024-03-28 14:42:00.613000,KGShop,Guray,2024-03-28 14:42:00.643000,KGShop
01,CA001,120.01.1905,4679,3909,Guray,2024-06-04 15:13:39.437000,KGShop,Guray,2024-06-04 15:13:39.470000,KGShop
01,CA001,120.01.1996,4682,3912,harun,2024-06-07 15:16:34.560000,KGShop,harun,2024-06-07 15:16:34.570000,KGShop
01,CA001,120.01.275,4681,3911,Samet,2024-06-06 13:13:50.927000,KGShop,Samet,2024-06-06 13:13:50.940000,KGShop
01,CA001,120.01.3098,4692,3920,Samet,2025-02-25 11:06:05.523000,KGShop,Samet,2025-02-25 11:06:05.543000,KGShop
01,CA001,120.01.329,4659,3897,k,2024-02-20 02:10:19.250000,KGShop,k,2024-02-20 02:10:19.263000,KGShop
01,CA001,120.01.61,58,1953,,,,,,
01,CA001,120.01.62,59,1954,,,,,,
01,CA001,120.01.63,4661,3899,SERKAN,2024-03-05 17:23:35.320000,KGShop,SERKAN,2024-03-05 17:23:35.343000,KGShop
01,CA001,120.01.64,4663,3901,Guray,2024-03-12 12:59:32.967000,KGShop,Guray,2024-03-12 12:59:32.990000,KGShop
01,CA001,120.01.999,4674,3904,gulsah,2024-03-27 23:35:09.023000,KGShop,gulsah,2024-03-27 23:35:09.043000,KGShop
01,CA001,120.02.001,60,27,,,,,,
01,CA001,120.02.002,61,28,,,,,,
01,CA001,120.02.003,62,29,,,,,,
01,CA001,120.02.004,63,30,,,,,,
01,CA001,120.02.005,64,1955,,,,,,
01,CA001,120.02.006,65,31,,,,,,
01,CA001,120.02.007,66,1956,,,,,,
01,CA001,120.02.008,67,1957,,,,,,
01,CA001,120.02.009,68,32,,,,,,
01,CA001,120.02.010,69,33,,,,,,
01,CA001,120.02.011,70,34,,,,,,
01,CA001,120.02.012,71,35,,,,,,
01,CA001,120.02.013,72,36,,,,,,
01,CA001,120.02.014,73,1958,,,,,,
01,CA001,120.02.015,74,37,,,,,,
01,CA001,120.02.016,75,38,,,,,,
01,CA001,120.02.017,76,39,,,,,,
01,CA001,120.02.018,77,1959,,,,,,
01,CA001,120.02.019,78,1960,,,,,,
01,CA001,120.02.020,79,1961,,,,,,
01,CA001,120.02.021,80,1962,,,,,,
01,CA001,120.02.022,81,1963,,,,,,
01,CA001,120.02.023,82,1964,,,,,,
01,CA001,120.02.024,83,1965,,,,,,
01,CA001,120.02.025,84,1966,,,,,,
01,CA001,120.02.027,85,1968,,,,,,
01,CA001,120.02.399,4665,3902,k,2024-03-18 17:19:18.177000,KGShop,k,2024-03-18 17:19:18.193000,KGShop
01,CA001,120.02.711,4673,3903,k,2024-03-25 17:29:13.280000,KGShop,k,2024-03-25 17:29:13.330000,KGShop
01,CA001,120.02.785,4660,3898,k,2024-02-22 11:14:40.613000,KGShop,k,2024-02-22 11:14:40.633000,KGShop
01,CA001,120.02.999,4646,3889,Samet,2023-12-16 16:15:33.233000,,Samet,2023-12-16 16:15:33.233000,
01,CA001,120.03.001,86,1971,,,,,,
01,CA001,120.03.002,87,1972,,,,,,
01,CA001,120.03.003,88,1973,,,,,,
01,CA001,120.03.004,89,1974,,,,,,
01,CA001,120.03.005,90,1975,,,,,,
01,CA001,120.04.001,91,1976,,,,,,
01,CA001,120.04.002,92,1977,,,,,,
01,CA001,120.04.003,93,1978,,,,,,
01,CA001,120.04.004,94,1979,,,,,,
01,CA001,120.04.005,95,1980,,,,,,
01,CA001,120.04.006,96,1981,,,,,,
01,CA001,120.04.007,97,1982,,,,,,
01,CA001,120.04.008,98,1983,,,,,,
01,CA001,120.04.009,99,1984,,,,,,
01,CA001,120.04.010,100,1985,,,,,,
01,CA001,120.04.011,101,1986,,,,,,
01,CA001,120.04.012,102,1987,,,,,,
01,CA001,120.04.013,103,1988,,,,,,
