SKOD,RKOD,BedKod,Modul,FisNo,FisHarinx,Location,FisTip,Giren,Cikan,scikan,Birim,kgid,insUN,insDT,insApp,updUN,updDT,updApp
100001,96,149,i,13,16,CA002,1,33.000000,0.000000,,CIFT,63,Samet,2025-04-07 19:57:27.187000,KGShop,,,
100001,126,149,i,12,15,CA002,1,1.000000,0.000000,,CIFT,62,Samet,2025-04-07 19:54:34.777000,KGShop,,,
100001,9251,147,i,5,6,CA001,1,1.000000,0.000000,,CIFT,16,UMUT,2024-06-12 11:59:30.390000,KGShop,,,
100001,9251,148,i,5,6,CA001,1,2.000000,0.000000,,CIFT,17,UMUT,2024-06-12 11:59:30.393000,KGShop,,,
100001,9251,148,i,6,7,CS001,1,1.000000,,,CIFT,22,Guray,2024-09-23 18:18:19.720000,KGShop_rzv,,,
100001,9251,148,i,7,8,CS001,1,1.000000,0.000000,,CIFT,27,Guray,2024-09-23 18:54:04.447000,KGShop_rzv,,,
100001,9251,149,i,5,6,CA001,1,2.000000,0.000000,,CIFT,18,UMUT,2024-06-12 11:59:30.393000,KGShop,,,
100001,9251,149,i,6,7,CS001,1,2.000000,,,CIFT,23,Guray,2024-09-23 18:18:19.733000,KGShop_rzv,,,
100001,9251,149,i,7,8,CS001,1,2.000000,0.000000,,CIFT,28,Guray,2024-09-23 18:54:04.447000,KGShop_rzv,,,
100001,9251,150,i,5,6,CA001,1,2.000000,0.000000,,CIFT,19,UMUT,2024-06-12 11:59:30.393000,KGShop,,,
100001,9251,150,i,6,7,CS001,1,2.000000,,,CIFT,24,Guray,2024-09-23 18:18:19.743000,KGShop_rzv,,,
100001,9251,150,i,7,8,CS001,1,2.000000,0.000000,,CIFT,29,Guray,2024-09-23 18:54:04.447000,KGShop_rzv,,,
100001,9251,151,i,5,6,CA001,1,2.000000,0.000000,,CIFT,20,UMUT,2024-06-12 11:59:30.393000,KGShop,,,
100001,9251,151,i,6,7,CS001,1,2.000000,,,CIFT,25,Guray,2024-09-23 18:18:19.760000,KGShop_rzv,,,
100001,9251,151,i,7,8,CS001,1,2.000000,0.000000,,CIFT,30,Guray,2024-09-23 18:54:04.447000,KGShop_rzv,,,
100001,9251,152,i,5,6,CA001,1,1.000000,0.000000,,CIFT,21,UMUT,2024-06-12 11:59:30.393000,KGShop,,,
100001,9251,152,i,6,7,CS001,1,1.000000,,,CIFT,26,Guray,2024-09-23 18:18:19.763000,KGShop_rzv,,,
100001,9251,152,i,7,8,CS001,1,1.000000,0.000000,,CIFT,31,Guray,2024-09-23 18:54:04.447000,KGShop_rzv,,,
100-kg-01,8,147,i,9,11,CA001,1,1.000000,0.000000,,CIFT,43,OZKAN,2025-03-17 16:01:42.660000,KGShop,,,
100-kg-01,8,148,i,9,11,CA001,1,1.000000,0.000000,,CIFT,44,OZKAN,2025-03-17 16:01:42.667000,KGShop,,,
100-kg-01,8,149,i,9,11,CA001,1,1.000000,0.000000,,CIFT,45,OZKAN,2025-03-17 16:01:42.667000,KGShop,,,
100-kg-01,8,150,i,9,11,CA001,1,1.000000,0.000000,,CIFT,46,OZKAN,2025-03-17 16:01:42.670000,KGShop,,,
100-kg-01,8,151,i,9,11,CA001,1,1.000000,0.000000,,CIFT,47,OZKAN,2025-03-17 16:01:42.670000,KGShop,,,
