SKOD,RKOD,BedKod,Modul,FisNo,FisHarinx,FisTip,TmpMiktar,kgid,insUN,insDT,insApp,updUN,updDT,updApp
LNRCNKM853,128,36,s,1,4,g,2.0000000000,1,,,,,,
LNRCNKPX2051,60,6,s,1,8,g,1.0000000000,2,,,,,,
RCNWLG072,325,37,s,1,5,g,1.0000000000,3,,,,,,
LNRCNXSPX5,6,38,s,1,2,g,1.0000000000,4,,,,,,
LNRCNG8020,4,37,s,1,6,g,1.0000000000,5,,,,,,
LNRCN383,4,39,s,1,9,g,1.0000000000,6,,,,,,
LNRCNXSPX5,1,38,s,1,2,g,1.0000000000,7,,,,,,
LNRCN383,168,39,s,1,9,g,1.0000000000,8,,,,,,
LNRCNGX04,311,36,s,1,3,g,1.0000000000,9,,,,,,
RCN1DRG1057,141,38,s,1,7,g,1.0000000000,10,,,,,,
LNRCNDPF140,414,22,s,1,1,g,1.0000000000,11,,,,,,
RCNWLG072,1,34,s,1,5,g,1.0000000000,12,,,,,,
RCNWLG072,109,35,s,1,5,g,1.0000000000,13,,,,,,
LNRCNR189,60,6,s,2,11,g,1.0000000000,14,,,,,,
RCN146,4,3,s,2,16,g,1.0000000000,15,,,,,,
RCN716,34,4,s,2,13,g,1.0000000000,16,,,,,,
RCN716,34,2,s,2,13,g,1.0000000000,17,,,,,,
RCN716,34,6,s,2,13,g,1.0000000000,18,,,,,,
LNRCNKK841,218,23,s,2,18,g,1.0000000000,19,,,,,,
LNRCNKM853,128,35,s,2,17,g,1.0000000000,20,,,,,,
RCN716,34,3,s,2,13,g,1.0000000000,21,,,,,,
LNRCNXSPX6,19,32,s,2,10,g,1.0000000000,22,,,,,,
LNRCNKKSP01,146,23,s,5,49,g,1.0000000000,23,,,,,,
LNRCN219,9,39,s,6,59,g,1.0000000000,24,,,,,,
RCN716,34,7,s,6,51,g,3.0000000000,25,,,,,,
ZKRCN211,4,4,s,6,60,g,1.0000000000,26,,,,,,
RCN716,34,4,s,6,51,g,2.0000000000,27,,,,,,
RCN716,34,6,s,6,51,g,2.0000000000,28,,,,,,
LNRCNDC115,25,6,s,6,66,g,1.0000000000,29,,,,,,
LNRCN955,1,4,s,6,67,g,1.0000000000,30,,,,,,
LNRCNR109,5,36,s,6,52,g,1.0000000000,31,,,,,,
RCN716,34,4,s,7,75,g,2.0000000000,32,,,,,,
ZKRCN211,4,4,s,7,84,g,1.0000000000,33,,,,,,
RCN716,34,7,s,7,75,g,3.0000000000,34,,,,,,
LNRCN219,9,39,s,7,83,g,1.0000000000,35,,,,,,
LNRCNR109,5,36,s,7,76,g,2.0000000000,36,,,,,,
LNRCN955,1,4,s,7,91,g,1.0000000000,37,,,,,,
LNRCNDC115,25,6,s,7,90,g,1.0000000000,38,,,,,,
RCN716,34,6,s,7,75,g,2.0000000000,39,,,,,,
RCN716,34,3,s,7,75,g,3.0000000000,40,,,,,,
LNRCN575,4,36,s,7,87,g,1.0000000000,41,,,,,,
LNRCND1650,182,35,s,7,95,g,1.0000000000,42,,,,,,
LNRCN366,78,6,s,7,97,g,1.0000000000,43,,,,,,
RCN152,11,6,s,7,74,g,1.0000000000,44,,,,,,
LNRCN383,4,37,s,7,85,g,1.0000000000,45,,,,,,
RCN152,4,2,s,7,74,g,2.0000000000,46,,,,,,
RCN152,11,4,s,7,74,g,1.0000000000,47,,,,,,
RCN152,4,5,s,7,74,g,1.0000000000,48,,,,,,
LNRCNXSPX5,19,38,s,7,94,g,1.0000000000,49,,,,,,
LNRCN575,11,37,s,7,87,g,1.0000000000,50,,,,,,
LNRCNR189,18,5,s,7,81,g,1.0000000000,51,,,,,,
LNRCNKRNS37819,376,24,s,7,88,g,1.0000000000,52,,,,,,
LNRCNKD150,1,21,s,7,82,g,1.0000000000,53,,,,,,
LNRCNTWG720,10,24,s,7,80,g,1.0000000000,54,,,,,,
LNRCNXSPX6,19,32,s,7,78,g,1.0000000000,55,,,,,,
LNRCNKCS816S,229,20,s,7,93,g,1.0000000000,56,,,,,,
LNRCNKLCZ690,46,21,s,7,96,g,1.0000000000,57,,,,,,
LNRCNDPF140,414,22,s,7,89,g,1.0000000000,58,,,,,,
LNRCNKPX2051,60,5,s,28,392,g,1.0000000000,59,,,,,,
LNRCN383,4,34,s,28,394,g,2.0000000000,60,,,,,,
RCNGLS2262,5,6,s,28,393,g,1.0000000000,61,,,,,,
RCNGLS2262,1,6,s,28,393,g,1.0000000000,62,,,,,,
LNRCNG8020,373,38,s,28,384,g,1.0000000000,63,,,,,,
LNRCNXSP065,58,37,s,28,385,g,1.0000000000,64,,,,,,
LNRCN638,94,6,s,28,386,g,1.0000000000,65,,,,,,
LNRCN366,82,4,s,28,387,g,1.0000000000,66,,,,,,
LNRCNDC115,25,5,s,28,388,g,1.0000000000,67,,,,,,
LNRCNKM853,59,34,s,28,389,g,1.0000000000,68,,,,,,
RCN716,34,4,s,28,390,g,1.0000000000,69,,,,,,
LNRCNXSPX5,1,42,s,28,391,g,1.0000000000,70,,,,,,
LNRCND102,59,4,s,67,867,g,1.0000000000,71,,,,,,
ZKRCN211,59,6,s,67,866,g,1.0000000000,72,,,,,,
LNRCNKM853,82,37,s,70,923,g,1.0000000000,73,,,,,,
LNRCNKM853,78,31,s,70,923,g,1.0000000000,74,,,,,,
LNRCN373,176,4,s,70,930,g,1.0000000000,75,,,,,,
LNRCNXSPX6,10,42,s,70,926,g,1.0000000000,76,,,,,,
LNRCNYZZ180,4,4,s,70,931,g,1.0000000000,77,,,,,,
LNRCNWKS23331,4,2,s,70,928,g,1.0000000000,78,,,,,,
LNRCNKM863,1,35,s,70,927,g,1.0000000000,79,,,,,,
RCN146,4,5,s,70,924,g,1.0000000000,80,,,,,,
LNRCNG601,52,22,s,70,929,g,1.0000000000,81,,,,,,
RCN152,11,5,s,70,933,g,1.0000000000,82,,,,,,
LNRCNR075,59,3,s,70,935,g,1.0000000000,83,,,,,,
LNRCNKPX2051,60,5,s,70,932,g,1.0000000000,84,,,,,,
LNRCN575,168,32,s,70,934,g,1.0000000000,85,,,,,,
LNRCNR189,60,6,s,70,925,g,1.0000000000,86,,,,,,
LNRCNTWG720,1,22,s,82,1063,g,20.0000000000,87,,,,,,
LNRCNTWG720,1,24,s,82,1063,g,20.0000000000,88,,,,,,
RCNWLG072,109,33,s,84,1077,g,54.0000000000,89,,,,,,
LNRCNTWG720,1,22,s,84,1078,g,20.0000000000,90,,,,,,
LNRCNTWG720,1,23,s,84,1078,g,20.0000000000,91,,,,,,
LNRCNTWG720,1,24,s,84,1078,g,20.0000000000,92,,,,,,
RCNWLG072,109,32,s,84,1077,g,49.0000000000,93,,,,,,
RCNWLG072,109,34,s,84,1077,g,53.0000000000,94,,,,,,
RCNWLG072,109,35,s,84,1077,g,20.0000000000,95,,,,,,
RCNWLG072,109,31,s,84,1077,g,10.0000000000,96,,,,,,
RCNWLG072,109,36,s,84,1077,g,10.0000000000,97,,,,,,
LNRCN347,228,2,s,95,1319,g,2.0000000000,98,,,,,,
LNRCN347,46,6,s,95,1319,g,1.0000000000,99,,,,,,
LNRCN347,46,2,s,95,1319,g,2.0000000000,100,,,,,,
RCNWLG072,1,40,s,95,1320,g,1.0000000000,101,,,,,,
LNRCN176,4,2,s,95,1324,g,1.0000000000,102,,,,,,
LNRCN347,229,2,s,95,1319,g,1.0000000000,103,,,,,,
LNRCNG8060,39,40,s,95,1325,g,3.0000000000,104,,,,,,
LNRCNG8060,10,39,s,95,1325,g,1.0000000000,105,,,,,,
LNRCNKM853,82,38,s,95,1339,g,1.0000000000,106,,,,,,
LNRCN1KKYS06,47,23,s,95,1323,g,1.0000000000,107,,,,,,
LNRCNWKS1651,9,34,s,95,1330,g,2.0000000000,108,,,,,,
LNRCNTWG720,1,22,s,95,1321,g,1.0000000000,109,,,,,,
LNRCN1KKYS06,218,23,s,95,1323,g,1.0000000000,110,,,,,,
LNRCNKM853,82,37,s,95,1339,g,1.0000000000,111,,,,,,
LNRCNWKS1651,9,31,s,95,1330,g,1.0000000000,112,,,,,,
LNRCNWKS1651,1,31,s,95,1330,g,1.0000000000,113,,,,,,
LNRCNKPX2051,60,4,s,95,1331,g,1.0000000000,114,,,,,,
RCN1DRG1057,4,32,s,95,1332,g,1.0000000000,115,,,,,,
LNRCNLET4097,1,4,s,95,1333,g,1.0000000000,116,,,,,,
LNRCN383,4,36,s,95,1334,g,1.0000000000,117,,,,,,
LNRCN383,4,38,s,95,1334,g,1.0000000000,118,,,,,,
LNRCNKM863,11,37,s,95,1335,g,1.0000000000,119,,,,,,
LNRCNKM863,1,35,s,95,1335,g,1.0000000000,120,,,,,,
LNRCNKCS892Y,468,24,s,95,1338,g,1.0000000000,121,,,,,,
LNRCNKCS892Y,66,23,s,95,1338,g,1.0000000000,122,,,,,,
LNRCNKLCZ3020,1,21,s,95,1336,g,1.0000000000,123,,,,,,
LN1RCNG355,239,33,s,95,1337,g,1.0000000000,124,,,,,,
RCN152,11,5,s,95,1343,g,2.0000000000,125,,,,,,
RCN152,11,2,s,95,1343,g,1.0000000000,126,,,,,,
LNRCNKM853,11,37,s,95,1339,g,1.0000000000,127,,,,,,
LNRCNKM853,202,39,s,95,1339,g,2.0000000000,128,,,,,,
LNRCNKRS04,46,32,s,95,1344,g,1.0000000000,129,,,,,,
