Company,Location,GKod,kgid
01,CA001,11,4138
01,CA001,770.01.02.001,4139
01,CA001,A01 -,4140
01,CA001,A01.001,4141
01,CA001,A01.002,4142
01,CA001,A01.003,4143
01,CA001,A01.004,4144
01,CA001,A01.005,4145
01,CA001,A01.006,4146
01,CA001,A02 - ,4147
01,CA001,A02.001,4148
01,CA001,A02.002,4149
01,CA001,A02.003,4150
01,CA001,A02.004,4151
01,CA001,A02.005,4152
01,CA001,A02.006,4153
01,CA001,A03 - ,4154
01,CA001,A03.001,4155
01,CA001,A03.002,4156
01,CA001,A03.003,4157
01,CA001,A03.004,4158
01,CA001,A03.005,4159
01,CA001,A03.006,4160
01,CA001,A04 -,4161
01,CA001,A04.002,4162
01,CA001,A04.003,4163
01,CA001,A04.004,4164
01,CA001,A04.005,4165
01,CA001,A04.006,4166
01,CA001,A04.007,4167
01,CA001,A04.008,4168
01,CA001,A04.009,4169
01,CA001,A04.011,4170
01,CA001,A05 -,4171
01,CA001,A05.001,4172
01,CA001,A05.002,4173
01,CA001,A05.003,4174
01,CA001,A05.004,4175
01,CA001,A05.007,4176
01,CA001,A05.009,4177
01,CA001,A05.010,4178
01,CA001,A05.011,4179
01,CA001,A05.012,4180
01,CA001,A05.019,4181
01,CA001,A07 -,4182
01,CA001,A07.001,4183
01,CA001,A07.002,4184
01,CA001,A07.003,4185
01,CA001,A07.004,4186
01,CA001,A07.005,4187
01,CA001,A07.006,4188
01,CA001,A07.007,4189
01,CA001,A07.008,4190
01,CA001,A07.009,4191
01,CA001,A07.010,4192
01,CA001,A08 -,4193
01,CA001,A08.001,4194
01,CA001,A08.002,4195
01,CA001,A08.003,4196
01,CA001,A08.004,4197
01,CA001,A08.005,4198
01,CA001,A08.006,4199
01,CA001,A08.007,4200
01,CA001,A09 -,4201
01,CA001,A09.001,4202
01,CA001,A09.002,4203
01,CA001,A09.003,4204
01,CA001,A09.004,4205
01,CA001,A09.005,4206
01,CA001,A09.006,4207
01,CA001,A09.007,4208
01,CA001,A09.008,4209
01,CA001,A11 -,4210
01,CA001,A11.001,4211
01,CA001,A11.002,4212
01,CA001,A11.003,4213
01,CA001,A11.004,4214
01,CA001,A11.005,4215
01,CA001,A11.006,4216
01,CA001,A13 -,4217
01,CA001,A13.001,4218
01,CA001,A13.002,4219
01,CA001,A13.003,4220
01,CA001,A13.004,4221
01,CA001,A13.005,4222
01,CA001,A13.006,4223
01,CA001,A14 -,4224
01,CA001,A14.002,4225
01,CA001,A14.005,4226
01,CA001,A14.007,4227
01,CA001,A14.008,4228
01,CA001,A14.009,4229
01,CA001,A14.011,4230
01,CA001,A15.001,4231
01,CA001,A15.002,4232
01,CA001,A15.003,4233
01,CA001,A15.004,4234
01,CA001,A15.005,4235
01,CA001,A15.006,4236
01,CA001,A15.009,4237
01,CA001,A15.010,4238
01,CA001,A15.011,4239
01,CA001,A15.017,4240
01,CA001,A19 -,4241
01,CA001,A19-001,4242
01,CA001,A21 -,4243
01,CA001,A21.001,4244
01,CA001,A21.002,4245
01,CA001,A21.003,4246
01,CA001,A21.004,4247
01,CA001,A21.005,4248
01,CA001,A21.006,4249
01,CA001,A23 -,4250
01,CA001,A23.001,4251
01,CA001,A23.002,4252
01,CA001,A23.003,4253
01,CA001,A23.004,4254
01,CA001,A23.005,4255
01,CA001,A23.006,4256
01,CA001,A24 -,4257
01,CA001,A24.002,4258
01,CA001,A24.005,4259
01,CA001,A24.007,4260
01,CA001,A24.008,4261
01,CA001,A24.009,4262
01,CA001,A24.011,4263
01,CA001,A25.001,4264
01,CA001,A25.002,4265
01,CA001,A25.003,4266
01,CA001,A25.004,4267
01,CA001,A25.005,4268
01,CA001,A25.006,4269
01,CA001,A25.009,4270
01,CA001,A25.010,4271
01,CA001,A25.011,4272
01,CA001,A25.017,4273
01,CA001,A29 - ,4274
01,CA001,A29.001,4275
01,CA001,A31 -,4276
01,CA001,A31.001,4277
01,CA001,A31.002,4278
01,CA001,A31.003,4279
01,CA001,A31.004,4280
01,CA001,A31.005,4281
01,CA001,A31.006,4282
01,CA001,A33 -,4283
01,CA001,A33.001,4284
01,CA001,A33.002,4285
01,CA001,A33.003,4286
01,CA001,A33.004,4287
01,CA001,A33.005,4288
01,CA001,A33.006,4289
01,CA001,A34 -,4290
01,CA001,A34.001,4291
01,CA001,A34.002,4292
01,CA001,A34.005,4293
01,CA001,A34.007,4294
01,CA001,A34.008,4295
01,CA001,A34.009,4296
01,CA001,A34.011,4297
01,CA001,A35.001,4298
01,CA001,A35.002,4299
01,CA001,A35.003,4300
01,CA001,A35.004,4301
01,CA001,A35.005,4302
01,CA001,A35.006,4303
01,CA001,A35.009,4304
01,CA001,A35.010,4305
01,CA001,A35.011,4306
01,CA001,A35.017,4307
01,CA001,A39 - ,4308
01,CA001,A39.001,4309
01,CA001,A41 -,4310
01,CA001,A41.001,4311
01,CA001,A41.002,4312
01,CA001,A41.003,4313
01,CA001,A41.004,4314
01,CA001,A41.005,4315
01,CA001,A41.006,4316
01,CA001,A43 -,4317
01,CA001,A43.001,4318
01,CA001,A43.002,4319
01,CA001,A43.003,4320
01,CA001,A43.004,4321
01,CA001,A43.005,4322
01,CA001,A43.006,4323
01,CA001,A44 -,4324
01,CA001,A44.002,4325
01,CA001,A44.005,4326
01,CA001,A44.007,4327
01,CA001,A44.008,4328
01,CA001,A44.009,4329
01,CA001,A44.011,4330
01,CA001,A45.001,4331
01,CA001,A45.002,4332
01,CA001,A45.003,4333
01,CA001,A45.004,4334
01,CA001,A45.005,4335
01,CA001,A45.006,4336
01,CA001,A45.009,4337
01,CA001,A45.010,4338
01,CA001,A45.011,4339
01,CA001,A45.017,4340
01,CA001,A49 - ,4341
01,CA001,A49.001,4342
01,CA001,A91 -,4343
01,CA001,A91.001,4344
01,CA001,A91.002,4345
01,CA001,A91.003,4346
01,CA001,A91.004,4347
01,CA001,A91.005,4348
01,CA001,A91.006,4349
01,CA001,A93 -,4350
01,CA001,A93.001,4351
01,CA001,A93.002,4352
01,CA001,A93.003,4353
01,CA001,A93.004,4354
01,CA001,A93.005,4355
01,CA001,A93.006,4356
01,CA001,A94 -,4357
01,CA001,A94.002,4358
01,CA001,A94.005,4359
01,CA001,A94.007,4360
01,CA001,A94.008,4361
01,CA001,A94.009,4362
01,CA001,A95.001,4363
01,CA001,A95.002,4364
01,CA001,A95.003,4365
01,CA001,A95.004,4366
01,CA001,A95.005,4367
01,CA001,A95.006,4368
01,CA001,A95.009,4369
01,CA001,A95.010,4370
01,CA001,A95.011,4371
01,CA001,A95.017,4372
01,CA001,A95.019,4373
01,CA001,F01 -,4374
01,CA001,F01.001,4375
01,CA001,F01.002,4376
01,CA001,F01.003,4377
01,CA001,F01.004,4378
01,CA001,F01.005,4379
01,CA001,F01.006,4380
01,CA001,F01.007,4381
01,CA001,F01.008,4382
01,CA001,F01.009,4383
01,CA001,F01.010,4384
01,CA001,F01.011,4385
01,CA001,F01.020,4386
01,CA001,G01 -,4387
01,CA001,G01.001,4388
