SKOD,RKOD,BedKod,Tip,Fiyat,ParaCinsi,FTarih,exCheck,insUN,insDT,UpdUN,UpdDT,kgid,mkgid,insApp,updApp
001 001,0,0,02,60.0000000000,US,2024-09-25 00:00:00,*,Samet,2024-09-25 15:04:05.830000,Samet,2024-09-25 15:04:05.903000,46186,22869,KGShop,KGShop
001 002,0,0,01,600.0000000000,TL,2024-09-25 00:00:00,*,Samet,2024-09-25 15:29:44.443000,Samet,2024-09-25 15:29:44.500000,46187,22870,KGShop,KGShop
01020F,0,0,03,50.0000000000,EU,2025-01-07 00:00:00,*,harun,2025-01-07 10:17:42.800000,harun,2025-01-07 10:17:42.867000,46203,22851,KGShop,KGShop
1,0,0,01,100.0000000000,TL,2024-06-12 00:00:00,*,harun,2024-06-12 10:14:18.390000,harun,2024-06-12 10:14:18.460000,46183,22860,KGShop,KGShop
1.URUN,0,0,51,500.0000000000,TL,2025-01-21 00:00:00,,Samet,2025-01-21 20:27:24.330000,Samet,2025-05-28 17:43:43.247000,46204,22904,KGShop,KGShop
1.URUN,0,0,52,500.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:21.940000,Samet,2025-05-28 17:44:17.350000,47253,22904,KGShop,KGShop
100001,0,0,04,829.0000000000,TL,2024-10-22 00:00:00,,Samet,2024-10-22 13:00:23.547000,Samet,2024-10-22 13:00:23.550000,46201,4,KGShop,KGShop
100001,0,0,51,888.0000000000,TL,2025-04-21 00:00:00,,Samet,2024-03-01 14:32:51.133000,Samet,2025-05-28 17:43:44.377000,46173,4,KGShop,KGShop
100001,0,0,52,888.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.183000,Samet,2025-05-28 17:44:18.527000,47714,4,KGShop,KGShop
100001,0,0,54,100.0000000000,TL,2025-05-22 16:40:26.250000,,OZKAN,2025-05-22 16:40:26.250000,OZKAN,2025-05-22 16:40:26.253000,47116,4,,
100001,0,0,55,200.0000000000,US,2025-05-22 16:40:26.257000,,OZKAN,2025-05-22 16:40:26.257000,OZKAN,2025-05-22 16:40:26.257000,47117,4,,
100001,9251,149,12,21.0000000000,US,2024-10-22 00:00:00,,harun,2024-07-29 09:41:16.730000,Samet,2024-10-22 12:56:13.087000,46184,4,KGShop,KGShop
100002,0,0,04,3200.0000000000,TL,2024-10-22 00:00:00,,Samet,2024-10-22 12:59:52.340000,Samet,2024-10-22 12:59:52.340000,46200,5,KGShop,KGShop
100002,0,0,12,12.0000000000,US,2024-10-22 00:00:00,,Samet,2024-10-22 12:56:38.537000,OZKAN,2025-03-27 12:20:06.563000,46197,5,KGShop,KGShop_ALEXSIPARIS
100002,0,0,51,608.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.720000,Samet,2025-05-28 17:43:44.373000,46223,5,KGShop,KGShop
100002,0,0,52,608.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.180000,Samet,2025-05-28 17:44:18.523000,47713,5,KGShop,KGShop
100002,0,0,53,55.0000000000,TL,2025-03-12 00:00:00,,harun,2025-03-12 14:53:56.447000,harun,2025-03-12 14:53:56.447000,46217,5,KGShop_STOKFTEST,KGShop_STOKFTEST
100002,0,0,54,101.0000000000,TL,2025-05-22 16:40:26.240000,,OZKAN,2025-05-22 16:40:26.240000,OZKAN,2025-05-22 16:40:26.240000,47114,5,,
100002,0,0,55,201.0000000000,US,2025-05-22 16:40:26.247000,,OZKAN,2025-05-22 16:40:26.247000,OZKAN,2025-05-22 16:40:26.247000,47115,5,,
