UserName,HKEY,FullPath,Value,kgid
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\ BJHVJH Stoğunun Beden Listesi;Beden,1,16345
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\ BJHVJH Stoğunun Mevcut Renk Listesi;Tanim,1,16340
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\200E01  Stoğunun Beden Listesi;Beden,1,16335
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\2024-mr-bot-001 Stoğunun Beden Listesi;Beden,1,16371
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\2024-mr-bot-001 Stoğunun Mevcut Renk Listesi;Tanim,1,16366
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\321RMR709 Stoğunun Beden Listesi;Beden,1,16227
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\321RMR709 Stoğunun Mevcut Renk Listesi;Tanim,1,16222
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\321RMR7091 Stoğunun Beden Listesi;Beden,1,16232
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Alternatif Kodlar;ACode;Tanim,0;1,16257
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Beden Seçimi;BedKOD;Tanim,0;1,16155
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Birimler;Birim;Tanim,0;1,16172
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Cari Fiş Listesi;FisNo;FisTar;BelgeNo;Muh,0;1;2;3,16469
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Cari Listesi;ckod;CName;Unvan;DefPc;OzKod1;OzKod2;OzKod3;OzKod4;OzKod5;OzKod6;OzKod7;OzKod8;OzKod9;OzKod10,0;1;2;3;4;5;6;7;8;9;10;11;12;13,16398
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Cari Tipi;Kod;Tanim;kgid;insUN;insDT;insApp;updUN;updDT;updApp,0;1;1;1;1;1;1;1;1,16439
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Cinsiyet Tanımlamaları;Cins_KOD;Tanim,0;1,16203
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\DENEME1 Stoğunun Beden Listesi;Beden,1,16324
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\DENEME1 Stoğunun Mevcut Renk Listesi;Tanim,1,16319
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\deneme2 Stoğunun Beden Listesi;Beden,1,16480
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\deneme2 Stoğunun Mevcut Renk Listesi;Tanim,1,16475
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\DENEMERMR Stoğunun Beden Listesi;Beden,1,16242
CAHIT,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\DENEMERMR Stoğunun Mevcut Renk Listesi;Tanim,1,16237
