STOK_Tip,Tanim,kgid,insUN,insDT,insApp,updUN,updDT,updApp
&a,&a,144,gulsah,2024-01-22 22:12:15.710000,KGShop,,,
008,İş Ayakkabı,1,,,,,,
009,Outlet Ayakkabı,2,,,,,,
010,Loafer Ayakkabı,3,,,,,,
011,Casual Ayakkabı,4,,,,,,
012,Günlük Ayakkabı,5,,,,,,
013,Abiye Ayakkabı,6,,,,,,
014,Stiletto Ayakkabı,7,,,,,,
015,Sneaker Ayakkabı,8,,,,,,
016,Spor Ayakkabı,9,,,,,,
017,Dolgu Topuk Ayakkabı,10,,,,,,
018,Klasik Ayakkabı,11,,,,,,
019,Promosyon Ayakkabı,12,,,,,,
020,Loafer Bot,13,,,,,,
021,Klasik Bot,14,,,,,,
022,Günlük Bot,15,,,,,,
023,Topuklu Ayakkabı,16,,,,,,
024,loafer & makosen,17,,,,,,
025,Sneaker Bot,18,,,,,,
026,Outdoor Bot,19,,,,,,
027,sneaker &spor,20,,,,,,
028,tekne boat ,21,,,,,,
029,babet,22,,,,,,
031,Klasik Çizme,23,,,,,,
032,Günlük Çizme,24,,,,,,
041,Klasik Babet,25,,,,,,
042,Günlük Babet,26,,,,,,
051,Klasik Terlik,27,,,,,,
052,Parmak Arası Terlik,28,,,,,,
053,Plaj Terlik,29,,,,,,
054,Ev İçi Terlik,30,,,,,,
055,Günlük Terlik,31,,,,,,
056,Dolgu Topuk,32,,,,,,
057,Loafer Terlik,33,,,,,,
061,Klasik Sandalet,34,,,,,,
062,Parmak Arası,35,,,,,,
065,Günlük,36,,,,,,
066,Dolgu Topuk,37,,,,,,
071,Klasik Kemer,38,,,,,,
072,Spor Kemer,39,,,,,,
080,Günlük Çanta,40,,,,,,
081,El Çantası,41,,,,,,
082,Omuz Çantası,42,,,,,,
083,Evrak Çantası,43,,,,,,
084,Postacı Çantası,44,,,,,,
085,Sırt Çantası,45,,,,,,
086,Bel Çantası,46,,,,,,
087,Portföy Çantası,47,,,,,,
088,Laptop Cantası,48,,,,,,
091,Valiz,49,,,,,,
092,Bere,50,,,,,,
093,Eldiven,51,,,,,,
101,Cüzdan,52,,,,,,
102,Kartlık,53,,,,,,
103,Saat Kordonu,54,,,,,,
111,Günlük Çorap,55,,,,,,
112,Babet Çorap,56,,,,,,
121,Parfüm,57,,,,,,
122,Anahtarlık,58,,,,,,
123,Bileklik,59,,,,,,
124,Set,60,,,,,,
202,Sünger,61,,,,,,
203,Su İtici,62,,,,,,
204,Sprey,63,,,,,,
205,Cila,64,,,,,,
206,Boya,65,,,,,,
207,Astar,66,,,,,,
208,Bağcık,67,,,,,,
209,Fırça,68,,,,,,
210,Kalıp,69,,,,,,
211,Genişletici,70,,,,,,
212,Pet,71,,,,,,
213,Silgi,72,,,,,,
214,Telefon Kılıfı,73,,,,,,
280,,74,,,,,,
301,Tabanlık,75,,,,,,
302,Mostra,76,,,,,,
400,Kalıp,77,,,,,,
401,Çekecek,78,,,,,,
402,Büyük Çekecek,79,,,,,,
501,Poşetler,80,,,,,,
A01,Deri Astar,81,,,,,,
A02,Kürt Astar,82,,,,,,
A03,Bez Astar ,83,,,,,,
A04,Streç Astar,84,,,,,,
A05,ÇORAPLIK,85,,,,,,
aaa,aaa,143,gulsah,2024-01-22 22:09:08.027000,KGShop,,,
B01,Mumlu Bağ,86,,,,,,
B02,Mumsuz Bağ,87,,,,,,
B03,Örgülü Bağ,88,,,,,,
B04,Spor Bağ,89,,,,,,
B05,Az Mumlu bağ,90,,,,,,
C01,Çelikli - Çeliksiz Taban,91,,,,,,
D01,Doğal Deri,92,,,,,,
D02,Suni Deri,93,,,,,,
D03,Triko,94,,,,,,
D04,Bez Grubu,95,,,,,,
E01,Mostrateknika Etiket,96,,,,,,
F01,Metal Fermuar,97,,,,,,
F02,Plastik Fermuar,98,,,,,,
G01,Boyalar,99,,,,,,
I01,Yapıştırıcılar,100,,,,,,
I02,Silme Suları,101,,,,,,
I03,Yapıştırıc ve İlaçlar,102,,,,,,
I04,Ayırıcı,103,,,,,,
I05,Kalıp salpa birlesimi,104,,,,,,
J01,Kutu,105,,,,,,
J02,Koli,106,,,,,,
J03,Pelur,107,,,,,,
J04,Sticker Amblem,108,,,,,,
J05,Kutu Sıvama,109,,,,,,
J06,Çuval,110,,,,,,
J07,Bantlar ,111,,,,,,
J08,Bez Torba,112,,,,,,
J09,Cekecek,113,,,,,,
K01,Toka,114,,,,,,
K02,Halka,115,,,,,,
K03,Rivet,116,,,,,,
K04,Trok,117,,,,,,
K06,Kanca,118,,,,,,
K07,Kapsül,119,,,,,,
K08,Bağ Ucu,120,,,,,,
L01,Ahşap Kalıp,121,,,,,,
L02,Kalıp (Model Kalıbı),122,,,,,,
M01,Mostara Pet Mesın,123,,,,,,
M02,Pet cıplak,124,,,,,,
M03,Jelli Mostra,125,,,,,,
M04,Keten Mostra ,126,,,,,,
O01,LASTIK,127,,,,,,
R01,Bombe,128,,,,,,
R02,Fort,129,,,,,,
R03,Kesim Regapta,130,,,,,,
S01,Saya İpi,131,,,,,,
T01,Tpu Taban,132,,,,,,
T02,Eva Taban,133,,,,,,
T03,Termo Taban,134,,,,,,
T04,Kauçuk Taban,135,,,,,,
T05,Micro Light Taban,136,,,,,,
T06,Poli Taban,137,,,,,,
T07,Pvc Taban,138,,,,,,
T08,Neolit Taban,139,,,,,,
T09,Kösele Taban,140,,,,,,
T10,Saya,141,,,,,,
X01,Yardımcı Malzemeler,142,,,,,,
