Kod,Tanim,DBName
120,120 Gün,Antrepo20
120 99 GR B001,,Antrepo20
180,180 Gün,Antrepo20
30,30 Gün,Antrepo20
60,60 Gün,Antrepo20
90,90 Gün,Antrepo20
Peşin,Peşin,Antrepo20
120,120 Gün,Cabani20
120 99 GR B001,,Cabani20
180,180 Gün,Cabani20
30,30 Gün,Cabani20
60,60 Gün,Cabani20
90,90 Gün,Cabani20
Peşin,Peşin,Cabani20
120,120 Gün,KORGUNYAZILIM1910
120 99 GR B001,,KORGUNYAZILIM1910
180,180 Gün,KORGUNYAZILIM1910
30,30 Gün,KORGUNYAZILIM1910
60,60 Gün,KORGUNYAZILIM1910
90,90 Gün,KORGUNYAZILIM1910
Peşin,Peşin,KORGUNYAZILIM1910
120,120 Gün,KORGUNYAZILIM2210
120 99 GR B001,,KORGUNYAZILIM2210
180,180 Gün,KORGUNYAZILIM2210
30,30 Gün,KORGUNYAZILIM2210
60,60 Gün,KORGUNYAZILIM2210
90,90 Gün,KORGUNYAZILIM2210
Peşin,Peşin,KORGUNYAZILIM2210
120,120 Gün,KORGUNYAZILIM2310
120 99 GR B001,,KORGUNYAZILIM2310
180,180 Gün,KORGUNYAZILIM2310
30,30 Gün,KORGUNYAZILIM2310
60,60 Gün,KORGUNYAZILIM2310
90,90 Gün,KORGUNYAZILIM2310
Peşin,Peşin,KORGUNYAZILIM2310
120,120 Gün,Uretim20
120 99 GR B001,,Uretim20
180,180 Gün,Uretim20
30,30 Gün,Uretim20
60,60 Gün,Uretim20
90,90 Gün,Uretim20
Peşin,Peşin,Uretim20
