BankaKod,Tanim,www,OzKod1,OzKod2,insUN,insDT,updUN,updDT,KLimit,LParaCinsi
01,YAPI KREDI,,,,SUHEYLA,2007-12-31 17:43:25.653000,SUHEYLA,2007-12-31 17:43:25.670000,,
02,GARANTI,,,,SUHEYLA,2007-12-31 17:53:25.747000,SUHEYLA,2007-12-31 17:53:25.747000,,
04,AKBANK,,,,SUHEYLA,2008-01-03 19:46:48.827000,BERRIN,2015-12-22 11:35:26.560000,,
06,IS BANKASI,,,,SUHEYLA,2008-01-03 19:53:51.733000,SUHEYLA,2008-01-03 19:53:51.733000,,
08,FİNANS ,,,,SUHEYLA,2008-01-03 20:01:08.090000,SUHEYLA,2008-01-03 20:01:08.090000,,
09,KUVEYT TURK,,,,BEKIR,2020-06-19 19:06:47.757000,BEKIR,2020-06-19 19:06:47.760000,,
100,FAST STEP - BANKA EMANET HS.,,,,BERRIN,2019-09-24 16:38:14.027000,BERRIN,2019-09-24 16:38:14.040000,,
111,JUSAN BANKA ,,,,BERRIN,2022-02-11 18:15:43.417000,BERRIN,2022-02-11 18:15:43.417000,,
12,ZİRAAT BANKASI,,,,BERRIN,2015-12-21 16:00:18.560000,BERRIN,2015-12-21 16:00:18.577000,,
124,DENİZBANK URFA,,,,URFA,2019-12-24 11:24:55.330000,URFA,2019-12-24 11:24:55.343000,,
13,KASPİ KAZAKISTAN,,,,BERRIN,2022-01-20 13:44:49.180000,BERRIN,2022-02-11 19:07:56.607000,,
14,KZ BANKA,,,,BERRIN,2022-02-11 19:09:12.590000,BERRIN,2022-02-11 19:09:12.590000,,
31,AHMET KASPI GAYRIRESMI,,,,BERRIN,2022-04-02 14:08:04.033000,BERRIN,2022-04-02 14:08:22.690000,,
99,BANKA KASASI,,,,BERRIN,2019-08-20 13:54:26.537000,BERRIN,2019-08-20 13:54:26.540000,,
