irsno,fatno
765467,765467
765494,765494
765497,765497
765498,765498
765503,765503
765505,765505
765508,765508
765509,765509
765524,765524
765529,765529
765628,765628
765640,765640
765647,765647
765648,765648
765737,765737
765738,765738
765745,765745
765757,765757
765763,765763
765772,765772
765775,765775
765802,765802
765846,765846
765847,765847
765854,765854
765882,765882
765997,765997
766008,766008
766041,766041
766042,766042
766055,766055
766058,766058
766065,766065
766109,766109
766124,766124
766171,766171
766201,766201
766216,766216
766218,766218
766219,766219
766236,766236
766318,766318
766453,766453
766483,766483
766538,766538
766567,766567
766621,766621
766622,766622
766631,766631
766643,766643
766651,766651
766679,766679
766685,766685
766693,766693
766705,766705
766816,766816
766886,766886
766971,766971
766993,766993
766994,766994
766996,766996
767015,767015
767033,767033
767060,767060
767071,767071
767072,767072
767074,767074
767121,767121
767228,767228
767235,767235
767286,767286
767297,767297
767322,767322
767349,767349
767352,767352
767373,767373
767393,767393
767401,767401
767413,767413
767414,767414
767443,767443
767622,767622
767624,767624
767682,767682
767685,767685
767687,767687
767691,767691
767693,767693
767694,767694
767695,767695
767765,767765
767877,767877
767931,767931
767954,767954
767960,767960
767972,767972
768081,768081
768093,768093
768096,768096
768097,768097
768098,768098
768100,768100
768138,768138
768139,768139
768268,768268
768298,768298
768357,768357
768360,768360
768379,768379
768459,768459
768528,768528
768572,768572
768581,768581
768603,768603
768604,768604
768606,768606
768644,768644
768655,768655
768679,768679
768694,768694
768695,768695
768709,768709
768710,768710
768745,768745
768945,768945
768953,768953
768954,768954
769008,769008
769014,769014
769015,769015
769020,769020
769028,769028
769174,769174
769176,769176
769179,769179
769189,769189
769199,769199
769238,769238
769239,769239
769241,769241
769247,769247
769328,769328
769355,769355
769388,769388
769391,769391
