FisNo,FisTar,Location,CM,CMKod,BelgeNo,Durum,OzKod1,OzKod2,OzKod3,OzKod4,OzKod5,Onay1,OnayTar1,insUN,insDT,updUN,updDT,kgid,insApp,updApp
1,2024-03-13 21:48:30.353000,CA001,C,1111,4582,,,,,,,,,gulsah,2024-03-13 21:48:31.487000,,,1,KGShop,
2,2024-03-13 21:52:12.497000,CA001,C,1111,4581,,,,,,,,,gulsah,2024-03-13 21:52:12.577000,,,2,KGShop,
3,2024-03-25 18:56:36.927000,CA002,C,111,4583,,,,,,,,,OZKAN,2024-03-25 18:56:39.120000,,,3,KGShop,
4,2024-03-26 15:22:08.920000,CA001,C,120.01.003,4584,,,,,,,,,k,2024-03-26 15:22:11.163000,,,4,KGShop,
5,2024-06-12 11:59:29.473000,CA001,C,1111,4585,,,,,,,,,UMUT,2024-06-12 11:59:30.347000,,,5,KGShop,
6,2024-09-23 18:16:53,CS001,C,120.01.001,,,,,,,,Guray,2024-09-23 00:00:00,Guray,2024-09-23 18:18:19.670000,,,6,KGShop_rzv,
7,2024-09-23 18:54:04.420000,CS001,C,120.01.055,,,,,,,,Guray,2024-09-23 00:00:00,Guray,2024-09-23 18:54:04.420000,Guray,2024-09-23 18:54:13.770000,7,KGShop_rzv,KGShop_rzv
8,2025-01-24 12:30:57.117000,CA002,C,120.01.62,4577,,,,,,,,,OZKAN,2025-01-24 12:30:59.320000,,,8,KGShop,
9,2025-03-17 16:01:38.740000,CA001,C,1111,4591,,,,,,,,,OZKAN,2025-03-17 16:01:42.547000,,,9,KGShop,
10,2025-04-07 18:05:35.403000,CA002,C,120 KZ.126,4593,,,,,,,,,Samet,2025-04-07 18:05:36.683000,,,10,KGShop,
11,2025-04-07 19:33:58.087000,CA002,C,120.05.050,4596,,,,,,,,,Samet,2025-04-07 19:33:59.797000,,,11,KGShop,
12,2025-04-07 19:54:34.680000,CA002,C,120.05.003,4597,,,,,,,,,Samet,2025-04-07 19:54:34.773000,,,12,KGShop,
13,2025-04-07 19:57:27.117000,CA002,C,120.IR.039,4598,,,,,,,,,Samet,2025-04-07 19:57:27.183000,,,13,KGShop,
14,2025-04-07 20:29:31.803000,CA002,C,120.01.61,4600,,,,,,,,,Samet,2025-04-07 20:29:31.970000,,,14,KGShop,
15,2025-04-07 20:29:35.510000,CA002,C,120.IR.241,4600,,,,,,,,,Samet,2025-04-07 20:29:35.553000,,,15,KGShop,
16,2025-04-08 01:37:49.653000,CA002,C,120.01.62,4601,,,,,,,,,Samet,2025-04-08 01:37:51.210000,,,16,KGShop,
17,2025-04-08 01:38:14.390000,CA002,C,120.01.62,4601,,,,,,,,,Samet,2025-04-08 01:38:14.623000,,,17,KGShop,
18,2025-04-08 16:55:18.280000,CA002,C,120.01.062,4602,,,,,,,,,Samet,2025-04-08 16:55:20.097000,,,18,KGShop,
19,2025-04-08 17:37:28.273000,CA002,C,120.01.065,4603,,,,,,,,,Samet,2025-04-08 17:37:35.180000,,,19,KGShop,
20,2025-04-08 17:37:44.790000,CA002,C,120.01.065,4603,,,,,,,,,Samet,2025-04-08 17:37:49.677000,,,20,KGShop,
21,2025-04-10 11:52:02.527000,CA002,C,120.01.001,4604,,,,,,,,,Samet,2025-04-10 11:52:03.610000,,,21,KGShop_SIPYAZDIR,
22,2025-04-10 12:20:45.890000,CA002,C,120.01.065,4603,,,,,,,,,Samet,2025-04-10 12:20:47.497000,,,22,KGShop_SIPYAZDIR,
