Kasa,tanim,ParaCinsi,insUN,insDT,updUN,updDT,Eksi,kgid,insApp,updApp
f,f,TL,harun,2024-01-25 09:43:34.603000,,,0,11,KGShop,
H001,HARUN KASA,TL,harun,2024-05-17 12:32:46.737000,,,0,13,KGShop_EFTEVTEST,
K001,Korgun(TL) Kasa,TL,Orbital,2019-08-07 13:32:18.797000,harun,2024-02-16 15:31:44.370000,0,1,,KGShop
K002,Korgun((US) Kasa,US,Orbital,2019-08-07 13:32:26.780000,nazik,2023-11-13 17:00:10.993000,0,2,,
K003,Korgun( (EU) Kasa,EU,Orbital,2019-08-07 13:32:34.767000,nazik,2023-11-13 17:00:23.663000,0,3,,
KS01,KASA TL,TL,CAHIT,2024-09-27 14:39:33.620000,,,0,15,KGShop,
L001,Laleli (TL) Kasa,TL,Orbital,2020-02-21 14:47:50.420000,Orbital,2020-02-21 14:47:50.423000,0,4,,
L002,Laleli (US) Kasa,US,Orbital,2020-02-21 14:48:04.100000,Orbital,2020-02-21 14:48:04.100000,0,5,,
L003,Laleli (EU) Kasa,EU,Orbital,2020-02-21 14:48:17.833000,Orbital,2020-02-21 14:48:17.833000,0,6,,
R001,Korgun( (TL) Kasa,TL,Orbital,2020-03-17 10:20:06.387000,nazik,2023-11-13 17:00:36.117000,0,7,,
R002,Korgun((US) Kasa,US,Orbital,2020-12-09 14:47:43.560000,nazik,2023-11-13 17:00:50.140000,0,8,,
R003,Korgun((EU) Kasa,EU,Orbital,2020-12-09 14:48:01.017000,nazik,2023-11-13 17:01:03.190000,0,9,,
R010,TEST KASA EU,EU,nazik,2023-12-16 12:09:45.417000,nazik,2023-12-16 12:13:28.590000,0,10,,
TK04,TENEKE KASA,TL,k,2024-02-20 16:18:40.717000,,,0,12,KGShop,
Z99,JACKSONVILLE KASA,TL,k,2024-05-17 13:07:26.763000,,,0,14,KGShop_LSKTEST,
