OnayKademe,CompName,kgid,insUN,insDT,insApp,updUN,updDT,updApp
0,Location,1,,,,,,
1,Avans,18,dbo,2025-03-05 11:23:17.127000,,,,
1,BelgeNo,4,dbo,2025-03-05 11:23:17.110000,,,,
1,CariKod,2,dbo,2025-03-05 11:23:17.103000,,,,
1,Durum,19,dbo,2025-03-05 11:23:17.127000,,,,
1,GridNotChange,26,dbo,2025-03-05 11:23:17.137000,,,,
1,iParaCinsi,7,dbo,2025-03-05 11:23:17.113000,,,,
1,iptalTar,11,dbo,2025-03-05 11:23:17.120000,,,,
1,iskontoOr,5,dbo,2025-03-05 11:23:17.110000,,,,
1,iskontoTut,6,dbo,2025-03-05 11:23:17.113000,,,,
1,KDVCheck,20,dbo,2025-03-05 11:23:17.130000,,,,
1,Location,17,dbo,2025-03-05 11:23:17.123000,,,,
1,Notlar,16,dbo,2025-03-05 11:23:17.123000,,,,
1,OdSekil,13,dbo,2025-03-05 11:23:17.120000,,,,
1,OzKod1,21,dbo,2025-03-05 11:23:17.130000,,,,
1,OzKod2,22,dbo,2025-03-05 11:23:17.130000,,,,
1,OzKod3,23,dbo,2025-03-05 11:23:17.130000,,,,
1,OzKod4,24,dbo,2025-03-05 11:23:17.133000,,,,
1,OzKod5,25,dbo,2025-03-05 11:23:17.133000,,,,
1,SevkNum,15,dbo,2025-03-05 11:23:17.123000,,,,
1,SevkSekil,14,dbo,2025-03-05 11:23:17.120000,,,,
1,SevkTar,9,dbo,2025-03-05 11:23:17.117000,,,,
1,SipTar,3,dbo,2025-03-05 11:23:17.110000,,,,
1,TeslimTar,10,dbo,2025-03-05 11:23:17.117000,,,,
1,TesYerSevk,12,dbo,2025-03-05 11:23:17.120000,,,,
1,UrGirTar,8,dbo,2025-03-05 11:23:17.117000,,,,
