BelgeNo,FatHizHarinx,HKOD,Tanim,Miktar,Birim,ParaCinsi,Fiyat,iskonto,iskontoTut,KDVORAN,MuhKod,KDVMuhKod,iskMuhKod,MM,KDVMM,iskMM,kgid,insUN,insDT,insApp,updUN,updDT,updApp
159,1,H01,,2.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,1,yulya,2024-12-19 13:11:44.143000,KGShop,,,
160,2,H01,,4.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,2,yulya,2024-12-19 16:39:12.797000,KGShop,,,
151,3,H01,,4.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,3,yulya,2024-12-19 16:40:09.737000,KGShop,,,
172,4,H01,,16.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,4,yulya,2025-01-09 10:11:53.620000,KGShop,,,
168,5,H01,,1.0000000000,CIFT,US,0E-10,0E-10,,0E-10,,,,,,,5,yulya,2025-01-09 12:08:44.230000,KGShop,yulya,2025-01-09 16:26:08.003000,KGShop
178,6,H01,,5.0000000000,CIFT,US,17.5000000000,0E-10,,0E-10,,,,,,,6,yulya,2025-01-13 17:55:03.247000,KGShop,,,
194,7,H01,,6.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,7,yulya,2025-01-16 15:47:07.550000,KGShop,,,
241,8,H01,,6.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,8,yulya,2025-01-29 12:16:02.613000,KGShop,,,
303,9,H01,,7.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,9,yulya,2025-02-06 12:28:42.177000,KGShop,,,
314,10,H01,,6.0000000000,CIFT,US,2.0000000000,0E-10,,0E-10,,,,,,,10,yulya,2025-02-06 12:50:54.450000,KGShop,,,
414,11,H01,,8.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,11,yulya,2025-02-14 12:34:20.170000,KGShop,,,
435,12,H01,,3.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,12,yulya,2025-02-18 10:42:01.563000,KGShop,,,
482,13,H01,,4.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,13,yulya,2025-02-20 14:35:42.587000,KGShop,,,
555,14,H01,,16.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,14,yulya,2025-02-26 10:53:29.080000,KGShop,,,
706,15,H01,,6.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,15,yulya,2025-03-06 12:37:24.313000,KGShop,,,
665,16,H01,,8.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,16,yulya,2025-03-07 13:28:23.020000,KGShop,yulya,2025-03-07 13:32:18.260000,KGShop
756,17,H01,,20.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,17,yulya,2025-03-10 14:52:08.220000,KGShop,,,
788,18,H01,,8.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,18,yulya,2025-03-12 13:03:13.340000,KGShop,,,
834,19,H01,,4.0000000000,CIFT,US,2.0000000000,0E-10,,0E-10,,,,,,,19,yulya,2025-03-13 12:07:12.040000,KGShop,,,
874,21,H01,,24.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,21,yulya,2025-03-14 12:38:59.810000,KGShop,,,
907,22,H01,,11.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,22,yulya,2025-03-18 10:39:54.263000,KGShop,,,
934,23,H01,,4.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,23,yulya,2025-03-19 10:57:18.310000,KGShop,,,
963,24,H01,,24.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,24,yulya,2025-03-20 11:14:12.440000,KGShop,,,
966,25,H01,,13.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,25,yulya,2025-03-20 11:17:55.527000,KGShop,,,
1106,26,H01,,1.0000000000,CIFT,US,30.0000000000,0E-10,,0E-10,,,,,,,26,yulya,2025-03-27 13:25:00.957000,KGShop,,,
1094,27,H01,,4.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,27,yulya,2025-03-27 13:51:48.840000,KGShop,,,
490,28,H01,,2.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,28,yulya,2025-03-27 16:31:51.200000,KGShop,,,
1218,29,H01,,21.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,29,yulya,2025-04-09 15:31:52.477000,KGShop,,,
1294,30,H01,,4.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,30,yulya,2025-04-16 13:06:14.237000,KGShop,,,
1302,31,H01,,1.0000000000,CIFT,US,1.0000000000,0E-10,,0E-10,,,,,,,31,yulya,2025-04-17 11:49:32.377000,KGShop,,,
