Modul,RaporName,PageWidth,PageLength,PageLeftMar,PageRightMar,PageTopMar,PageBottomMar
BankaCS,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
BankaFis,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
BankaHar,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
BankCekDrm,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
BCStokFisA,BCStokFisA_Default,794.0,1123.0,48.0,48.0,48.0,48.0
BCStokFisD,BCStokFisD_Default,794.0,1123.0,48.0,48.0,48.0,48.0
Cariislem,<Default>,794.0,559.0,48.0,48.0,48.0,48.0
CariMektup,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
Cek,<Default>,794.0,559.0,48.0,48.0,48.0,48.0
CHEkstre,<Default>,794.0,1123.0,16.0,16.0,48.0,48.0
CHEkstreYe,<Default>,794.0,1123.0,24.0,24.0,48.0,48.0
DevBAList,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
Fatura,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
Fatura,fatura,794.0,1123.0,48.0,48.0,48.0,48.0
Kasaislem,<Default>,794.0,559.0,48.0,48.0,48.0,48.0
MuhFis,<Default>,1180.0,1123.0,48.0,48.0,48.0,48.0
MustEkstre,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
MustOptik,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
Pos,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
PosTMakbuz,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
SevkBilgi,<Default>,794.0,1123.0,20.0,20.0,48.0,48.0
SevkFis,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
Siparis,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
Stok,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
Stok,<Default>1,794.0,1123.0,48.0,48.0,48.0,48.0
TakSenet,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
Tkst,<Default>,794.0,559.0,48.0,48.0,48.0,48.0
UretimE,<Default>,794.0,1123.0,48.0,48.0,48.0,48.0
WHDetay,<Default>,1180.0,1123.0,48.0,48.0,48.0,48.0
WHKoli,<Default>,850.0,1123.0,48.0,48.0,48.0,48.0
