PARAD,MCTable,COLPLACE,FieldName,COLNAME,COLWidth,ColDispFormat,ToplamGoster
RAPOR,0,0,SKod,Stok Kodu,4,,
RAPOR,0,1,Tanim,Stok Tanimi,174,,
RAPOR,0,2,Renk,Renk,137,,
RAPOR,0,3,COLUMN1,Beden,47,,
RAPOR,0,4,Birim,Birim,37,,
RAPOR,0,5,Lokasyon,Lokasyon,140,,
RAPOR,0,6,Mevcut,Mevcut,53,"#,##0.00",
RAPOR,0,7,Kriter,Kriter,3,"#,###.##",
RAPOR,0,8,Location,Location,3,,
Müşteri_Liste,0,0,MKod,Müşteri Kodu,94,,
Müşteri_Liste,0,1,MName,Müşteri Adı,158,,
Müşteri_Liste,0,2,Adr1,Adres 1,227,,
Müşteri_Liste,0,3,Sehir,Şehir,101,,
Müşteri_Liste,0,4,Tel2,İş Tel,121,,
Müşteri_Liste,0,5,Tel3,Cep Tel,91,,
Tamir_Rapor,0,0,SKod,Stok Kodu,94,,
Tamir_Rapor,0,1,SKod_Tanim,Stok Kodu Tanım,158,,
Tamir_Rapor,0,2,Miktar,Miktar,64,"#,###.##",
Tamir_Rapor,0,3,Birim,Birim,88,,
TOPTAN CARİ LİSTESİ,0,0,CKod,Cari Kod,38,,
TOPTAN CARİ LİSTESİ,0,1,CName,Cari İsmi,124,,
TOPTAN CARİ LİSTESİ,0,2,Unvan,Ünvan,69,,
TOPTAN CARİ LİSTESİ,0,4,Adr1,Adres 1,4,,
TOPTAN CARİ LİSTESİ,0,5,Adr2,Adres 2,4,,
TOPTAN CARİ LİSTESİ,0,7,Sehir,Şehir,91,,
TOPTAN CARİ LİSTESİ,0,8,PKod,Posta Kodu,86,,
TOPTAN CARİ LİSTESİ,0,3,Tel1,Telefon 1,113,,
TOPTAN CARİ LİSTESİ,0,6,Tel2,Telefon 2,87,,
TOPTAN CARİ LİSTESİ,0,9,Fax,Fax,113,,
TOPTAN CARİ LİSTESİ,0,10,eMail,e-Posta,38,,
TOPTAN CARİ LİSTESİ,0,11,WWW,Web Sayfası,4,,
TOPTAN CARİ LİSTESİ,0,12,VDar,Vergi Dairesi,64,,
TOPTAN CARİ LİSTESİ,0,13,VNo,Vergi Numarası,4,,
TOPTAN CARİ LİSTESİ,0,14,TicSicilNo,Ticari Sicil No,4,,
TOPTAN CARİ LİSTESİ,0,15,KartTar,Kart Tarihi,0,,
TOPTAN CARİ LİSTESİ,0,16,CResim,Resim,4,,
TOPTAN CARİ LİSTESİ,0,17,OzKod1, Özel Kod 1,904,,
TOPTAN CARİ LİSTESİ,0,18,OzKod2,Özel Kod 2,904,,
TOPTAN CARİ LİSTESİ,0,19,OzKod3,Özel Kod 3,904,,
TOPTAN CARİ LİSTESİ,0,20,OzKod4,Özel Kod 4,904,,
TOPTAN CARİ LİSTESİ,0,21,OzKod5,Özel Kod 5,904,,
TOPTAN CARİ LİSTESİ,0,22,OzKod6,Özel Kod 6,904,,
TOPTAN CARİ LİSTESİ,0,23,OzKod7,Özel Kod 7,904,,
TOPTAN CARİ LİSTESİ,0,24,OzKod8,Özel Kod 8,904,,
TOPTAN CARİ LİSTESİ,0,25,OzKod9,Özel Kod 9,904,,
TOPTAN CARİ LİSTESİ,0,26,OzKod10,Özel Kod 10,904,,
<Default>,0,0,satno,satno,64,,
<Default>,0,1,SatHarinx,SatHarinx,64,"#,##0.00",
<Default>,0,2,SatTar,Satış Tarihi,112,,
<Default>,0,3,skod,Stok Kodu,94,,
<Default>,0,4,SKod_Tanim,Stok Kodu Tanım,304,,
<Default>,0,5,Renk,Renk,304,,
<Default>,0,6,BedKod,Beden Grup,71,"#,##0.00",
<Default>,0,7,Beden,Beden,52,,
<Default>,0,8,Location,Location,53,,
<Default>,0,9,Location_Tanim,Location Tanımı,304,,
<Default>,0,10,Miktar,Miktar,202,"#,##0.00",
<Default>,0,11,Birim,Birim,64,,
<Default>,0,12,Alis_Fiy,Alış Fiyatı,64,"#,##0.00",
<Default>,0,13,Fiyat,Satış Fiyatı,66,"#,##0.00",
<Default>,0,14,Satis_Tutari,Satış Tutarı,69,"#,##0.00",
<Default>,0,15,Komisyon,Komisyon,64,"#,##0.00",
<Default>,0,16,iadeTut,İade Tutarı,66,"#,##0.00",
<Default>,0,17,Net,Net Kar/Zarar,83,"#,##0.00",
<Default>,0,18,Ode_Tip,Ödeme Tipi,604,,
NWS_RAPOR,0,0,CKod,Cari Kod,38,,
NWS_RAPOR,0,1,CName,Cari İsmi,124,,
NWS_RAPOR,0,2,Unvan,Ünvan,69,,
NWS_RAPOR,0,3,Adr1,Adres 1,424,,
EksiyeDusenRaporu,0,0,SKod,Stok Kodu,94,,
EksiyeDusenRaporu,0,1,Tanim,Stok Tanimi,152,,
EksiyeDusenRaporu,0,2,Renk,Renk,145,,
