FisNo,FisHarinx,ParaCinsi,LineType,Fiyat,Tutar,MasrafTutar,iskTutar,StopajTutar,OTVMatrah,OTVTutar,KDVMatrah,KDVTutar,TevkifatTutar,NetTutar,kgid
6,6,EU,S,1073.685405,1073.690000,0.000000,0.000000,0.000000,1073.690000,0.000000,1073.690000,0.000000,0.000000,1073.690000,2
6,6,TL,S,7042.195200,7042.200000,0.000000,0.000000,0.000000,7042.200000,0.000000,7042.200000,0.000000,0.000000,7042.200000,4
6,6,US,S,1184.000000,1184.000000,0.000000,0.000000,0.000000,1184.000000,0.000000,1184.000000,0.000000,0.000000,1184.000000,5
7,7,EU,S,1383.921084,1383.920000,0.000000,0.000000,0.000000,1383.920000,0.000000,1383.920000,0.000000,0.000000,1383.920000,7
7,7,TL,S,9077.000000,9077.000000,0.000000,0.000000,0.000000,9077.000000,0.000000,9077.000000,0.000000,0.000000,9077.000000,9
7,7,US,S,1526.110495,1526.110000,0.000000,0.000000,0.000000,1526.110000,0.000000,1526.110000,0.000000,0.000000,1526.110000,10
8,8,EU,S,1343.789461,1343.790000,0.000000,0.000000,0.000000,1343.790000,0.000000,1343.790000,0.000000,0.000000,1343.790000,12
8,8,TL,S,8981.620000,8981.620000,0.000000,0.000000,0.000000,8981.620000,0.000000,8981.620000,0.000000,0.000000,8981.620000,14
8,8,US,S,1502.797577,1502.800000,0.000000,0.000000,0.000000,1502.800000,0.000000,1502.800000,0.000000,0.000000,1502.800000,15
9,9,EU,S,782.238168,782.240000,0.000000,0.000000,0.000000,782.240000,0.000000,782.240000,0.000000,0.000000,782.240000,17
9,9,TL,S,5199.850000,5199.850000,0.000000,0.000000,0.000000,5199.850000,0.000000,5199.850000,0.000000,0.000000,5199.850000,19
9,9,US,S,871.303138,871.300000,0.000000,0.000000,0.000000,871.300000,0.000000,871.300000,0.000000,0.000000,871.300000,20
11,11,EU,S,1724.585032,1724.590000,0.000000,0.000000,0.000000,1724.590000,0.000000,1724.590000,0.000000,0.000000,1724.590000,22
11,11,TL,S,11286.950000,11286.950000,0.000000,0.000000,0.000000,11286.950000,0.000000,11286.950000,0.000000,0.000000,11286.950000,24
11,11,US,S,1900.000000,1900.000000,0.000000,0.000000,0.000000,1900.000000,0.000000,1900.000000,0.000000,0.000000,1900.000000,25
12,12,EU,S,1724.585032,1724.590000,0.000000,0.000000,0.000000,1724.590000,0.000000,1724.590000,0.000000,0.000000,1724.590000,27
12,12,TL,S,11286.950000,11286.950000,0.000000,0.000000,0.000000,11286.950000,0.000000,11286.950000,0.000000,0.000000,11286.950000,29
12,12,US,S,1900.000000,1900.000000,0.000000,0.000000,0.000000,1900.000000,0.000000,1900.000000,0.000000,0.000000,1900.000000,30
13,13,EU,S,1724.585032,1724.590000,0.000000,0.000000,0.000000,1724.590000,0.000000,1724.590000,0.000000,0.000000,1724.590000,32
13,13,TL,S,11286.950000,11286.950000,0.000000,0.000000,0.000000,11286.950000,0.000000,11286.950000,0.000000,0.000000,11286.950000,34
13,13,US,S,1900.000000,1900.000000,0.000000,0.000000,0.000000,1900.000000,0.000000,1900.000000,0.000000,0.000000,1900.000000,35
14,14,EU,S,1726.592252,1726.590000,0.000000,0.000000,0.000000,1726.590000,0.000000,1726.590000,0.000000,0.000000,1726.590000,37
14,14,TL,S,11346.040000,11346.040000,0.000000,0.000000,0.000000,11346.040000,0.000000,11346.040000,0.000000,0.000000,11346.040000,39
14,14,US,S,1900.000000,1900.000000,0.000000,0.000000,0.000000,1900.000000,0.000000,1900.000000,0.000000,0.000000,1900.000000,40
15,15,EU,S,1726.592252,1726.590000,0.000000,0.000000,0.000000,1726.590000,0.000000,1726.590000,0.000000,0.000000,1726.590000,42
15,15,TL,S,11346.040000,11346.040000,0.000000,0.000000,0.000000,11346.040000,0.000000,11346.040000,0.000000,0.000000,11346.040000,44
15,15,US,S,1900.000000,1900.000000,0.000000,0.000000,0.000000,1900.000000,0.000000,1900.000000,0.000000,0.000000,1900.000000,45
16,16,EU,S,1726.592252,1726.590000,0.000000,0.000000,0.000000,1726.590000,0.000000,1726.590000,0.000000,0.000000,1726.590000,47
16,16,TL,S,11346.040000,11346.040000,0.000000,0.000000,0.000000,11346.040000,0.000000,11346.040000,0.000000,0.000000,11346.040000,49
16,16,US,S,1900.000000,1900.000000,0.000000,0.000000,0.000000,1900.000000,0.000000,1900.000000,0.000000,0.000000,1900.000000,50
17,17,EU,S,1012.478042,1012.480000,0.000000,0.000000,0.000000,1012.480000,0.000000,1012.480000,0.000000,0.000000,1012.480000,52
17,17,TL,S,6686.000000,6686.000000,0.000000,0.000000,0.000000,6686.000000,0.000000,6686.000000,0.000000,0.000000,6686.000000,54
17,17,US,S,1116.808926,1116.810000,0.000000,0.000000,0.000000,1116.810000,0.000000,1116.810000,0.000000,0.000000,1116.810000,55
18,18,EU,S,52.705258,52.710000,0.000000,0.000000,0.000000,52.710000,0.000000,52.710000,0.000000,0.000000,52.710000,57
18,18,TL,S,345.620000,345.620000,0.000000,0.000000,0.000000,345.620000,0.000000,345.620000,0.000000,0.000000,345.620000,59
18,18,US,S,58.788910,58.790000,0.000000,0.000000,0.000000,58.790000,0.000000,58.790000,0.000000,0.000000,58.790000,60
19,19,EU,S,7.708190,7.710000,0.000000,0.000000,0.000000,7.710000,0.000000,7.710000,0.000000,0.000000,7.710000,62
19,19,TL,S,51.520000,51.520000,0.000000,0.000000,0.000000,51.520000,0.000000,51.520000,0.000000,0.000000,51.520000,64
19,19,US,S,8.620286,8.620000,0.000000,0.000000,0.000000,8.620000,0.000000,8.620000,0.000000,0.000000,8.620000,65
20,20,EU,S,2.375025,2.380000,0.000000,0.000000,0.000000,2.380000,0.000000,2.380000,0.000000,0.000000,2.380000,67
20,20,TL,S,15.740000,15.740000,0.000000,0.000000,0.000000,15.740000,0.000000,15.740000,0.000000,0.000000,15.740000,69
20,20,US,S,2.629337,2.630000,0.000000,0.000000,0.000000,2.630000,0.000000,2.630000,0.000000,0.000000,2.630000,70
22,22,EU,S,160.424546,160.420000,0.000000,0.000000,0.000000,160.420000,0.000000,160.420000,0.000000,0.000000,160.420000,72
22,22,TL,S,1052.000000,1052.000000,0.000000,0.000000,0.000000,1052.000000,0.000000,1052.000000,0.000000,0.000000,1052.000000,74
22,22,US,S,178.941997,178.940000,0.000000,0.000000,0.000000,178.940000,0.000000,178.940000,0.000000,0.000000,178.940000,75
23,23,EU,S,6.111290,6.110000,0.000000,0.000000,0.000000,6.110000,0.000000,6.110000,0.000000,0.000000,6.110000,77
23,23,TL,S,39.900000,39.900000,0.000000,0.000000,0.000000,39.900000,0.000000,39.900000,0.000000,0.000000,39.900000,79
23,23,US,S,6.800750,6.800000,0.000000,0.000000,0.000000,6.800000,0.000000,6.800000,0.000000,0.000000,6.800000,80
24,24,EU,S,6.797074,6.800000,0.000000,0.000000,0.000000,6.800000,0.000000,6.800000,0.000000,0.000000,6.800000,82
24,24,TL,S,44.790000,44.790000,0.000000,0.000000,0.000000,44.790000,0.000000,44.790000,0.000000,0.000000,44.790000,84
24,24,US,S,7.418019,7.420000,0.000000,0.000000,0.000000,7.420000,0.000000,7.420000,0.000000,0.000000,7.420000,85
25,25,EU,S,489.764306,489.760000,0.000000,0.000000,0.000000,489.760000,0.000000,489.760000,0.000000,0.000000,489.760000,87
25,25,TL,S,3225.000000,3225.000000,0.000000,0.000000,0.000000,3225.000000,0.000000,3225.000000,0.000000,0.000000,3225.000000,89
25,25,US,S,534.613089,534.610000,0.000000,0.000000,0.000000,534.610000,0.000000,534.610000,0.000000,0.000000,534.610000,90
26,26,EU,S,130.200402,130.200000,0.000000,0.000000,0.000000,130.200000,0.000000,130.200000,0.000000,0.000000,130.200000,92
26,26,TL,S,855.000000,855.000000,0.000000,0.000000,0.000000,855.000000,0.000000,855.000000,0.000000,0.000000,855.000000,94
26,26,US,S,141.138018,141.140000,0.000000,0.000000,0.000000,141.140000,0.000000,141.140000,0.000000,0.000000,141.140000,95
27,27,EU,S,185.719072,185.720000,0.000000,0.000000,0.000000,185.720000,0.000000,185.720000,0.000000,0.000000,185.720000,97
27,27,TL,S,1219.580000,1219.580000,0.000000,0.000000,0.000000,1219.580000,0.000000,1219.580000,0.000000,0.000000,1219.580000,99
27,27,US,S,201.320590,201.320000,0.000000,0.000000,0.000000,201.320000,0.000000,201.320000,0.000000,0.000000,201.320000,100
28,28,EU,S,240.003946,240.000000,0.000000,0.000000,0.000000,240.000000,0.000000,240.000000,0.000000,0.000000,240.000000,102
28,28,TL,S,1581.530000,1581.530000,0.000000,0.000000,0.000000,1581.530000,0.000000,1581.530000,0.000000,0.000000,1581.530000,104
28,28,US,S,261.929447,261.930000,0.000000,0.000000,0.000000,261.930000,0.000000,261.930000,0.000000,0.000000,261.930000,105
29,29,EU,S,44.089171,44.090000,0.000000,0.000000,0.000000,44.090000,0.000000,44.090000,0.000000,0.000000,44.090000,107
29,29,TL,S,290.530000,290.530000,0.000000,0.000000,0.000000,290.530000,0.000000,290.530000,0.000000,0.000000,290.530000,109
29,29,US,S,48.116926,48.120000,0.000000,0.000000,0.000000,48.120000,0.000000,48.120000,0.000000,0.000000,48.120000,110
31,31,EU,S,53.366364,53.370000,0.000000,0.000000,0.000000,53.370000,0.000000,53.370000,0.000000,0.000000,53.370000,112
31,31,TL,S,351.140000,351.140000,0.000000,0.000000,0.000000,351.140000,0.000000,351.140000,0.000000,0.000000,351.140000,114
31,31,US,S,59.217161,59.220000,0.000000,0.000000,0.000000,59.220000,0.000000,59.220000,0.000000,0.000000,59.220000,115
34,34,EU,S,1.366303,1.370000,0.000000,0.000000,0.000000,1.370000,0.000000,1.370000,0.000000,0.000000,1.370000,117
34,34,TL,S,8.990000,8.990000,0.000000,0.000000,0.000000,8.990000,0.000000,8.990000,0.000000,0.000000,8.990000,119
34,34,US,S,1.516097,1.520000,0.000000,0.000000,0.000000,1.520000,0.000000,1.520000,0.000000,0.000000,1.520000,120
35,35,EU,S,241.043383,241.040000,0.000000,0.000000,0.000000,241.040000,0.000000,241.040000,0.000000,0.000000,241.040000,122
35,35,TL,S,1588.500000,1588.500000,0.000000,0.000000,0.000000,1588.500000,0.000000,1588.500000,0.000000,0.000000,1588.500000,124
35,35,US,S,265.528885,265.530000,0.000000,0.000000,0.000000,265.530000,0.000000,265.530000,0.000000,0.000000,265.530000,125
38,39,EU,S,402.649429,402.650000,0.000000,0.000000,0.000000,402.650000,0.000000,402.650000,0.000000,0.000000,402.650000,127
38,39,TL,S,2653.500000,2653.500000,0.000000,0.000000,0.000000,2653.500000,0.000000,2653.500000,0.000000,0.000000,2653.500000,129
38,39,US,S,443.551083,443.550000,0.000000,0.000000,0.000000,443.550000,0.000000,443.550000,0.000000,0.000000,443.550000,130
39,40,EU,S,272.833493,272.830000,0.000000,0.000000,0.000000,272.830000,0.000000,272.830000,0.000000,0.000000,272.830000,132
39,40,TL,S,1798.000000,1798.000000,0.000000,0.000000,0.000000,1798.000000,0.000000,1798.000000,0.000000,0.000000,1798.000000,134
39,40,US,S,300.548275,300.550000,0.000000,0.000000,0.000000,300.550000,0.000000,300.550000,0.000000,0.000000,300.550000,135
40,41,EU,S,55.386109,55.390000,0.000000,0.000000,0.000000,55.390000,0.000000,55.390000,0.000000,0.000000,55.390000,137
40,41,TL,S,365.000000,365.000000,0.000000,0.000000,0.000000,365.000000,0.000000,365.000000,0.000000,0.000000,365.000000,139
40,41,US,S,61.012303,61.010000,0.000000,0.000000,0.000000,61.010000,0.000000,61.010000,0.000000,0.000000,61.010000,140
41,42,EU,S,72.684785,72.680000,0.000000,0.000000,0.000000,72.680000,0.000000,72.680000,0.000000,0.000000,72.680000,142
41,42,TL,S,479.000000,479.000000,0.000000,0.000000,0.000000,479.000000,0.000000,479.000000,0.000000,0.000000,479.000000,144
41,42,US,S,80.068200,80.070000,0.000000,0.000000,0.000000,80.070000,0.000000,80.070000,0.000000,0.000000,80.070000,145
42,43,EU,S,54.681648,54.680000,0.000000,0.000000,0.000000,54.680000,0.000000,54.680000,0.000000,0.000000,54.680000,147
42,43,TL,S,365.000000,365.000000,0.000000,0.000000,0.000000,365.000000,0.000000,365.000000,0.000000,0.000000,365.000000,149
42,43,US,S,61.257028,61.260000,0.000000,0.000000,0.000000,61.260000,0.000000,61.260000,0.000000,0.000000,61.260000,150
43,44,EU,S,382.194504,382.190000,0.000000,0.000000,0.000000,382.190000,0.000000,382.190000,0.000000,0.000000,382.190000,152
43,44,TL,S,2518.700000,2518.700000,0.000000,0.000000,0.000000,2518.700000,0.000000,2518.700000,0.000000,0.000000,2518.700000,154
