Cekinx,Harinx,HarTip,BordroNo,Tarih,istut,muhkod,cmb,cmb_Kod,Banka,Sube,GiderMuhKod,ProGiderKod,MuhFisNo,KarsiMuhKod,MM,KarsiMM,GiderMM,GiderTip,GiderParaCinsi,insUN,insDT,updUN,updDT,OzKod1,OzKod2,locked,Resim,Resim2,Aciklama,OzKod3,OzKod4,OzKod5,LastUpdate,LastCalculate,NeedCalculate,iptal,kgid,mkgid,insApp,updApp
17738,17910,1,2017000003,2019-01-01 00:00:00,,101.01.001,B,161097,01,01,,,2003219,101.02.001,,,,,,1719,2015-11-09 09:39:12.787000,sa,2022-06-16 13:38:05.483000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,17910,17738,,
24003,30912,BO,0000002038,2019-03-11 00:00:00,,103.01.012,B,41046 ,16,BEYAZİT ŞB,,,6934830,102.16.001,,,,,,3372,2019-03-11 17:07:40.847000,3372,2019-03-11 17:07:42.300000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30912,24003,,
24251,30261,BO,0000001965,2019-01-31 00:00:00,,103.01.006,B,85876673,06,01,,,6803805,102.06.001.01,,,,,,3372,2019-01-31 17:31:38.627000,3372,2019-01-31 17:31:56.563000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30261,24251,,
24252,30262,BO,0000001965,2019-01-31 00:00:00,,103.01.006,B,85876673,06,01,,,6803805,102.06.001.01,,,,,,3372,2019-01-31 17:31:38.627000,3372,2019-01-31 17:31:38.627000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30262,24252,,
24253,30263,BO,0000001965,2019-01-31 00:00:00,,103.01.006,B,85876673,06,01,,,6803805,102.06.001.01,,,,,,3372,2019-01-31 17:31:38.627000,3372,2019-01-31 17:31:38.627000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30263,24253,,
24254,30264,BO,0000001965,2019-01-31 00:00:00,,103.01.006,B,85876673,06,01,,,6803805,102.06.001.01,,,,,,3372,2019-01-31 17:31:38.627000,3372,2019-01-31 17:31:38.627000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30264,24254,,
24255,30757,BO,0000002017,2019-02-28 00:00:00,,103.01.006,B,85876673,06,01,,,6926765,102.06.001.01,,,,,,3372,2019-02-28 15:57:37.127000,3372,2019-02-28 15:57:38.783000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30757,24255,,
24256,30758,BO,0000002017,2019-02-28 00:00:00,,103.01.006,B,85876673,06,01,,,6926765,102.06.001.01,,,,,,3372,2019-02-28 15:57:37.127000,3372,2019-02-28 15:57:37.127000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30758,24256,,
24274,30212,BO,0000001962,2019-01-31 00:00:00,,103.01.007,B,17079,07,1399,,,6803778,102.07.001.21,,,,,,3372,2019-01-31 15:45:00.163000,3372,2019-01-31 15:45:01.477000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30212,24274,,
24275,30213,BO,0000001962,2019-01-31 00:00:00,,103.01.007,B,17079,07,1399,,,6803778,102.07.001.21,,,,,,3372,2019-01-31 15:45:00.180000,3372,2019-01-31 15:45:00.180000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30213,24275,,
24276,30214,BO,0000001962,2019-01-31 00:00:00,,103.01.007,B,17079,07,1399,,,6803778,102.07.001.21,,,,,,3372,2019-01-31 15:45:00.180000,3372,2019-01-31 15:45:00.180000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30214,24276,,
24277,30215,BO,0000001962,2019-01-31 00:00:00,,103.01.007,B,17079,07,1399,,,6803778,102.07.001.21,,,,,,3372,2019-01-31 15:45:00.180000,3372,2019-01-31 15:45:00.180000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30215,24277,,
24278,30684,BO,0000002014,2019-02-28 00:00:00,,103.01.007,B,17079,07,1399,,,6926755,102.07.001.21,,,,,,3372,2019-02-28 15:45:41.190000,3372,2019-02-28 15:45:42.970000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30684,24278,,
24279,30685,BO,0000002014,2019-02-28 00:00:00,,103.01.007,B,17079,07,1399,,,6926755,102.07.001.21,,,,,,3372,2019-02-28 15:45:41.203000,3372,2019-02-28 15:45:41.203000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30685,24279,,
24445,30342,BO,0000001966,2019-01-31 00:00:00,,103.01.001,B,161097,01,01,,,6803808,102.01.001.01,,,,,,3372,2019-01-31 17:40:31.093000,3372,2019-01-31 17:40:32.420000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30342,24445,,
24472,29623,BO,0000001929,2019-01-03 00:00:00,,103.01.001,B,161097,01,01,,,6691794,102.01.001.01,,,,,,3372,2019-01-04 08:29:30.713000,3372,2019-01-04 08:29:32.010000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,29623,24472,,
24671,30362,BO,0000001967,2019-01-31 00:00:00,,103.01.004,B,6295623,04,01,,,6803809,102.04.001.08,,,,,,3372,2019-01-31 17:47:51.237000,3372,2019-01-31 17:47:52.850000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30362,24671,,
24749,29622,BO,0000001928,2019-01-03 00:00:00,,103.01.006,B,85876673,06,01,,,6691469,102.06.001.01,,,,,,3372,2019-01-03 09:39:35.523000,3372,2019-01-03 09:39:36.710000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,29622,24749,,
24820,30265,BO,0000001965,2019-01-31 00:00:00,,103.01.006,B,85876673,06,01,,,6803805,102.06.001.01,,,,,,3372,2019-01-31 17:31:38.640000,3372,2019-01-31 17:31:38.640000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30265,24820,,
24857,30266,BO,0000001965,2019-01-31 00:00:00,,103.01.006,B,85876673,06,01,,,6803805,102.06.001.01,,,,,,3372,2019-01-31 17:31:38.640000,3372,2019-01-31 17:31:38.640000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30266,24857,,
24952,30313,BO,0000001966,2019-01-31 00:00:00,,103.01.001,B,161097,01,01,,,6803808,102.01.001.01,,,,,,3372,2019-01-31 17:40:31.077000,3372,2019-01-31 17:40:31.077000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30313,24952,,
24969,30314,BO,0000001966,2019-01-31 00:00:00,,103.01.001,B,161097,01,01,,,6803808,102.01.001.01,,,,,,3372,2019-01-31 17:40:31.077000,3372,2019-01-31 17:40:31.077000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30314,24969,,
24970,30315,BO,0000001966,2019-01-31 00:00:00,,103.01.001,B,161097,01,01,,,6803808,102.01.001.01,,,,,,3372,2019-01-31 17:40:31.077000,3372,2019-01-31 17:40:31.077000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30315,24970,,
24977,30316,BO,0000001966,2019-01-31 00:00:00,,103.01.001,B,161097,01,01,,,6803808,102.01.001.01,,,,,,3372,2019-01-31 17:40:31.077000,3372,2019-01-31 17:40:31.077000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30316,24977,,
24978,30476,BO,0000001976,2019-02-04 00:00:00,,103.01.001,B,161097,01,01,,,6805275,102.01.001.01,,,,,,3372,2019-02-05 08:25:12.087000,3372,2019-02-05 08:25:13.650000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30476,24978,,
24979,30317,BO,0000001966,2019-01-31 00:00:00,,103.01.001,B,161097,01,01,,,6803808,102.01.001.01,,,,,,3372,2019-01-31 17:40:31.077000,3372,2019-01-31 17:40:31.077000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30317,24979,,
24980,30318,BO,0000001966,2019-01-31 00:00:00,,103.01.001,B,161097,01,01,,,6803808,102.01.001.01,,,,,,3372,2019-01-31 17:40:31.077000,3372,2019-01-31 17:40:31.077000,,,,,,,,,K,1900-01-01 00:00:00,2022-08-10 01:45:21.677000,0,,30318,24980,,
