SipNo,CariKod,TedFirmaCode,BelgeNo,SendtoMail,kgid,insUN,insDT,insApp,updUN,updDT,updApp
22200,320.020,100,000608,*,1,yulya,2024-12-26 15:57:42.727000,KGShop,yulya,2024-12-26 17:16:07.237000,KGShop
22201,320.023,100,000608,*,2,yulya,2024-12-26 15:57:42.760000,KGShop,yulya,2024-12-26 17:16:08.260000,KGShop
22202,320.054,100,000608,*,3,yulya,2024-12-26 15:57:42.793000,KGShop,yulya,2024-12-26 17:16:09.150000,KGShop
22203,320.077,100,000608,*,4,yulya,2024-12-26 15:57:42.810000,KGShop,yulya,2024-12-26 17:16:10.070000,KGShop
22204,320.080,100,000608,*,5,yulya,2024-12-26 15:57:42.830000,KGShop,yulya,2024-12-26 17:16:10.863000,KGShop
22205,320.160,100,000608,*,6,yulya,2024-12-26 15:57:42.850000,KGShop,yulya,2024-12-26 17:16:11.707000,KGShop
22206,120.173,100,000619,*,7,yulya,2024-12-26 17:14:32.717000,KGShop,yulya,2024-12-26 17:16:12.653000,KGShop
22207,320.072,100,000602,*,8,yulya,2024-12-30 12:17:48.200000,KGShop,yulya,2024-12-30 12:21:44.523000,KGShop
22208,320.077,100,000602,*,9,yulya,2024-12-30 12:17:48.247000,KGShop,yulya,2024-12-30 12:21:45.627000,KGShop
22209,320.144,100,000602,*,10,yulya,2024-12-30 12:17:48.267000,KGShop,yulya,2024-12-30 12:21:46.697000,KGShop
22210,320.023,100,000604,*,11,yulya,2024-12-30 12:23:06.240000,KGShop,yulya,2024-12-30 12:26:44.253000,KGShop
22211,320.077,100,000604,*,12,yulya,2024-12-30 12:23:06.257000,KGShop,yulya,2024-12-30 12:26:45.230000,KGShop
22212,320.080,100,000604,*,13,yulya,2024-12-30 12:23:06.280000,KGShop,yulya,2024-12-30 12:26:46.153000,KGShop
22213,320.023,100,000607,*,14,yulya,2024-12-30 12:33:26.753000,KGShop,yulya,2024-12-30 12:36:48.857000,KGShop
22214,320.072,100,000607,*,15,yulya,2024-12-30 12:33:26.793000,KGShop,yulya,2024-12-30 12:37:11.290000,KGShop
22215,320.144,100,000607,*,16,yulya,2024-12-30 12:33:26.833000,KGShop,yulya,2024-12-30 12:37:23.137000,KGShop
22216,320.133,100,000607,*,17,yulya,2024-12-30 12:35:04.027000,KGShop,yulya,2024-12-30 12:37:24.477000,KGShop
22217,320.043,100,000607,*,18,yulya,2024-12-30 12:35:59.523000,KGShop,yulya,2024-12-30 12:37:25.340000,KGShop
22218,320.129,100,000607,*,19,yulya,2024-12-30 12:39:28.997000,KGShop,yulya,2024-12-30 12:41:44.207000,KGShop
