FisNo,FisHarinx,ParaCinsi,LineType,Fiyat,Tutar,MasrafTutar,iskTutar,StopajTutar,OTVMatrah,OTVTutar,KDVMatrah,KDVTutar,TevkifatTutar,NetTutar,kgid
2,20,EU,S,1554.516714,1554.520000,0.000000,0.000000,0.000000,1554.520000,0.000000,1554.520000,0.000000,0.000000,1554.520000,68
2,20,TL,S,10375.000000,10375.000000,0.000000,0.000000,0.000000,10375.000000,0.000000,10375.000000,0.000000,0.000000,10375.000000,72
2,20,US,S,1743.492362,1743.490000,0.000000,0.000000,0.000000,1743.490000,0.000000,1743.490000,0.000000,0.000000,1743.490000,74
3,20,EU,S,1583.244316,1583.240000,0.000000,0.000000,0.000000,1583.240000,0.000000,1583.240000,0.000000,0.000000,1583.240000,69
3,20,TL,S,10375.000000,10375.000000,0.000000,0.000000,0.000000,10375.000000,0.000000,10375.000000,0.000000,0.000000,10375.000000,73
3,20,US,S,1755.944825,1755.940000,0.000000,0.000000,0.000000,1755.940000,0.000000,1755.940000,0.000000,0.000000,1755.940000,75
5,19,EU,S,1799.082163,1799.080000,0.000000,0.000000,0.000000,1799.080000,0.000000,1799.080000,0.000000,0.000000,1799.080000,62
5,19,TL,S,11800.000000,11800.000000,0.000000,0.000000,0.000000,11800.000000,0.000000,11800.000000,0.000000,0.000000,11800.000000,64
5,19,US,S,1983.926830,1983.930000,0.000000,0.000000,0.000000,1983.930000,0.000000,1983.930000,0.000000,0.000000,1983.930000,65
6,23,EU,S,441.060218,441.060000,0.000000,0.000000,0.000000,441.060000,0.000000,441.060000,0.000000,0.000000,441.060000,88
6,23,TL,S,2943.680000,2943.680000,0.000000,0.000000,0.000000,2943.680000,0.000000,2943.680000,0.000000,0.000000,2943.680000,92
6,23,US,S,494.677937,494.680000,0.000000,0.000000,0.000000,494.680000,0.000000,494.680000,0.000000,0.000000,494.680000,94
7,23,EU,S,450.862307,450.860000,0.000000,0.000000,0.000000,450.860000,0.000000,450.860000,0.000000,0.000000,450.860000,89
7,23,TL,S,2943.680000,2943.680000,0.000000,0.000000,0.000000,2943.680000,0.000000,2943.680000,0.000000,0.000000,2943.680000,93
7,23,US,S,501.367670,501.370000,0.000000,0.000000,0.000000,501.370000,0.000000,501.370000,0.000000,0.000000,501.370000,95
15,173,EU,S,9762.105010,9762.110000,0.000000,0.000000,0.000000,9762.110000,0.000000,9762.110000,0.000000,0.000000,9762.110000,152
15,173,TL,S,65000.000000,65000.000000,0.000000,0.000000,0.000000,65000.000000,0.000000,65000.000000,0.000000,0.000000,65000.000000,154
15,173,US,S,10881.574982,10881.570000,0.000000,0.000000,0.000000,10881.570000,0.000000,10881.570000,0.000000,0.000000,10881.570000,155
16,181,EU,S,9011.173856,9011.170000,0.000000,0.000000,0.000000,9011.170000,0.000000,9011.170000,0.000000,0.000000,9011.170000,192
16,181,TL,S,60000.000000,60000.000000,0.000000,0.000000,0.000000,60000.000000,0.000000,60000.000000,0.000000,0.000000,60000.000000,194
16,181,US,S,10044.530753,10044.530000,0.000000,0.000000,0.000000,10044.530000,0.000000,10044.530000,0.000000,0.000000,10044.530000,195
17,171,EU,S,692.553982,692.550000,0.000000,0.000000,0.000000,692.550000,0.000000,692.550000,0.000000,0.000000,692.550000,142
17,171,TL,S,4564.000000,4564.000000,0.000000,0.000000,0.000000,4564.000000,0.000000,4564.000000,0.000000,0.000000,4564.000000,144
17,171,US,S,762.904520,762.900000,0.000000,0.000000,0.000000,762.900000,0.000000,762.900000,0.000000,0.000000,762.900000,145
18,169,EU,S,3490.083610,3490.080000,0.000000,0.000000,0.000000,3490.080000,0.000000,3490.080000,0.000000,0.000000,3490.080000,132
18,169,TL,S,23000.000000,23000.000000,0.000000,0.000000,0.000000,23000.000000,0.000000,23000.000000,0.000000,0.000000,23000.000000,134
18,169,US,S,3844.610859,3844.610000,0.000000,0.000000,0.000000,3844.610000,0.000000,3844.610000,0.000000,0.000000,3844.610000,135
19,166,EU,S,874.341816,874.340000,0.000000,0.000000,0.000000,874.340000,0.000000,874.340000,0.000000,0.000000,874.340000,117
19,166,TL,S,5762.000000,5762.000000,0.000000,0.000000,0.000000,5762.000000,0.000000,5762.000000,0.000000,0.000000,5762.000000,119
19,166,US,S,963.158599,963.160000,0.000000,0.000000,0.000000,963.160000,0.000000,963.160000,0.000000,0.000000,963.160000,120
20,174,EU,S,9863.279768,9863.280000,0.000000,0.000000,0.000000,9863.280000,0.000000,9863.280000,0.000000,0.000000,9863.280000,157
20,174,TL,S,65000.000000,65000.000000,0.000000,0.000000,0.000000,65000.000000,0.000000,65000.000000,0.000000,0.000000,65000.000000,159
20,174,US,S,10865.204600,10865.200000,0.000000,0.000000,0.000000,10865.200000,0.000000,10865.200000,0.000000,0.000000,10865.200000,160
21,172,EU,S,2996.009165,2996.010000,0.000000,0.000000,0.000000,2996.010000,0.000000,2996.010000,0.000000,0.000000,2996.010000,147
21,172,TL,S,19744.000000,19744.000000,0.000000,0.000000,0.000000,19744.000000,0.000000,19744.000000,0.000000,0.000000,19744.000000,149
21,172,US,S,3300.347687,3300.350000,0.000000,0.000000,0.000000,3300.350000,0.000000,3300.350000,0.000000,0.000000,3300.350000,150
22,167,EU,S,2427.884251,2427.880000,0.000000,0.000000,0.000000,2427.880000,0.000000,2427.880000,0.000000,0.000000,2427.880000,122
22,167,TL,S,16000.000000,16000.000000,0.000000,0.000000,0.000000,16000.000000,0.000000,16000.000000,0.000000,0.000000,16000.000000,124
22,167,US,S,2674.511902,2674.510000,0.000000,0.000000,0.000000,2674.510000,0.000000,2674.510000,0.000000,0.000000,2674.510000,125
