Einx,Catalog,Yinx
0,Kosem14,-993
0,Kosem14,-992
0,Kosem14,-991
0,Kosem14,-988
0,Kosem14,-986
0,Kosem14,-983
0,Kosem14,-982
0,Kosem14,-979
0,Kosem14,-978
0,Kosem14,-977
0,Kosem14,-971
0,Kosem14,-964
0,Kosem14,-959
0,Kosem14,-957
0,Kosem14,-956
0,Kosem14,-955
0,Kosem14,-954
0,Kosem14,-946
0,Kosem14,-940
0,Kosem14,-937
0,Kosem14,-932
0,Kosem14,-931
0,Kosem14,-930
0,Kosem14,-929
0,Kosem14,-923
0,Kosem14,-922
0,Kosem14,-920
0,Kosem14,-918
0,Kosem14,-916
0,Kosem14,-912
0,Kosem14,-910
0,Kosem14,-907
0,Kosem14,-902
0,Kosem14,-896
0,Kosem14,-892
0,Kosem14,-888
0,Kosem14,-882
0,Kosem14,-881
0,Kosem14,-877
0,Kosem14,-876
0,Kosem14,-875
0,Kosem14,-860
0,Kosem14,-853
0,Kosem14,-850
0,Kosem14,-846
0,Kosem14,-839
0,Kosem14,-826
0,Kosem14,-824
0,Kosem14,-822
0,Kosem14,-813
0,Kosem14,-809
0,Kosem14,-801
0,Kosem14,-798
0,Kosem14,-797
0,Kosem14,-796
0,Kosem14,-792
0,Kosem14,-783
0,Kosem14,-782
0,Kosem14,-781
0,Kosem14,-780
0,Kosem14,-778
0,Kosem14,-774
0,Kosem14,-767
0,Kosem14,-762
0,Kosem14,-757
0,Kosem14,-747
0,Kosem14,-746
0,Kosem14,-744
0,Kosem14,-743
0,Kosem14,-741
0,Kosem14,-740
0,Kosem14,-738
0,Kosem14,-734
0,Kosem14,-732
0,Kosem14,-681
0,Kosem14,-679
0,Kosem14,-675
0,Kosem14,-665
0,Kosem14,-656
0,Kosem14,-654
0,Kosem14,-651
0,Kosem14,-644
0,Kosem14,-640
0,Kosem14,-628
0,Kosem14,-622
0,Kosem14,-619
0,Kosem14,-609
0,Kosem14,-597
0,Kosem15,-993
0,Kosem15,-992
0,Kosem15,-991
0,Kosem15,-988
0,Kosem15,-986
0,Kosem15,-983
0,Kosem15,-982
0,Kosem15,-979
0,Kosem15,-978
0,Kosem15,-977
0,Kosem15,-971
0,Kosem15,-964
0,Kosem15,-959
0,Kosem15,-957
0,Kosem15,-956
0,Kosem15,-955
0,Kosem15,-954
0,Kosem15,-946
0,Kosem15,-940
0,Kosem15,-937
0,Kosem15,-932
0,Kosem15,-931
0,Kosem15,-930
0,Kosem15,-929
0,Kosem15,-923
0,Kosem15,-922
0,Kosem15,-920
0,Kosem15,-918
0,Kosem15,-916
0,Kosem15,-912
0,Kosem15,-910
0,Kosem15,-907
0,Kosem15,-902
0,Kosem15,-896
0,Kosem15,-892
0,Kosem15,-888
0,Kosem15,-882
0,Kosem15,-881
0,Kosem15,-877
0,Kosem15,-876
0,Kosem15,-875
0,Kosem15,-860
0,Kosem15,-853
0,Kosem15,-850
0,Kosem15,-846
0,Kosem15,-839
0,Kosem15,-826
0,Kosem15,-824
0,Kosem15,-822
0,Kosem15,-813
0,Kosem15,-809
0,Kosem15,-801
0,Kosem15,-798
0,Kosem15,-797
0,Kosem15,-796
0,Kosem15,-792
0,Kosem15,-783
0,Kosem15,-782
0,Kosem15,-781
0,Kosem15,-780
0,Kosem15,-778
0,Kosem15,-774
0,Kosem15,-767
0,Kosem15,-762
0,Kosem15,-757
0,Kosem15,-747
0,Kosem15,-746
0,Kosem15,-744
0,Kosem15,-743
0,Kosem15,-741
0,Kosem15,-740
0,Kosem15,-738
0,Kosem15,-734
0,Kosem15,-732
0,Kosem15,-681
0,Kosem15,-679
0,Kosem15,-675
0,Kosem16,-993
0,Kosem16,-992
0,Kosem16,-991
0,Kosem16,-988
0,Kosem16,-986
0,Kosem16,-983
0,Kosem16,-982
0,Kosem16,-979
0,Kosem16,-978
0,Kosem16,-977
